entloss,TimestepsSoFar,AttC,MtR,entropy,meankl,optimgain,EpisodesSoFar,AttNC,TtR,Fce,surrgain,TimeElapsed
0.0,3489754,0.225,27.851063375681143,0.06508613,0.0054328847,0.001970226,15202,2.775,147.6,0.19679999999999995,0.001970226,12751.116873502731
0.0,3499754,0.25,25.280335425329262,0.05480839,0.0037236512,0.0019344803,15242,2.75,134.925,0.1799,0.0019344803,12779.814450025558
0.0,3509785,0.1951219512195122,25.836641771512753,0.027164498,0.004869569,0.0020958933,15283,2.8048780487804876,139.90243902439025,0.19273957513768683,0.0020958933,12810.47767996788
0.0,3519785,0.225,26.37103984285839,0.0022531685,0.005562098,0.00218702,15323,2.775,141.825,0.18909999999999993,0.00218702,12841.041785478592
0.0,3529785,0.175,27.169549961989496,0.0019495487,0.004019669,0.0013582057,15363,2.825,145.65,0.1942,0.0013582057,12869.375041484833
0.0,3539785,0.125,28.82821201215264,0.018217297,0.0035413143,0.0014284352,15403,2.875,154.275,0.20570000000000005,0.0014284352,12898.049912452698
0.0,3549785,0.3,26.852761902855708,-0.0035736563,0.003633137,0.0015351123,15443,2.7,146.1,0.19480000000000003,0.0015351123,12927.36124587059
0.0,3559785,0.1,29.06363393314881,-0.060385786,0.006845275,0.0019020055,15483,2.9,156.525,0.20869999999999997,0.0019020055,12956.521518230438
0.0,3569785,0.075,29.623670263950224,-0.11457064,0.008186051,0.001725618,15523,2.925,159.75,0.213,0.001725618,12984.626315116882
0.0,3579785,0.1,27.767594976545514,-0.12215251,0.0077390852,0.0021356405,15563,2.9,150.3,0.20040000000000005,0.0021356405,13014.147941112518
0.0,3589820,0.5121951219512195,25.827952113663507,-0.1378174,0.0047954703,0.004258051,15604,2.4878048780487805,137.4878048780488,0.19470383275261327,0.004258051,13042.685042142868
0.0,3599820,0.5,26.57592281159332,-0.13567498,0.008194838,0.0033783074,15644,2.5,139.425,0.1859,0.0033783074,13071.236737251282
0.0,3609820,0.225,31.128715144846968,-0.15094675,0.004764027,0.002076803,15684,2.775,167.325,0.2231,0.002076803,13099.986800193787
0.0,3619820,0.25,30.74741551813879,-0.14576718,0.0042742314,0.0023940254,15724,2.75,165.675,0.22089999999999996,0.0023940254,13127.6620824337
0.0,3629820,0.05,30.265385455135352,-0.17124978,0.007739289,0.0021821065,15764,2.95,161.025,0.21469999999999997,0.0021821065,13155.917790174484
0.0,3639820,0.1,28.95819544955814,-0.1539205,0.003464819,0.0025870942,15804,2.9,156.825,0.2091,0.0025870942,13183.640216827393
0.0,3649820,0.1,28.898265845232242,-0.16863398,0.00542362,0.0020314744,15844,2.9,156.525,0.20870000000000005,0.0020314744,13211.922053813934
0.0,3659820,0.1,28.440064486152743,-0.14942898,0.005541068,0.003055774,15884,2.9,155.175,0.2069,0.003055774,13240.785153150558
0.0,3669831,0.12195121951219512,30.261153072362266,-0.15908192,0.008742696,0.0037855003,15925,2.8780487804878048,163.7560975609756,0.22470066518847007,0.0037855003,13268.79161977768
0.0,3679831,0.075,29.467677623364978,-0.14535691,0.006570283,0.0017256873,15965,2.925,158.325,0.21109999999999998,0.0017256873,13296.529956102371
0.0,3689831,0.1,27.022259423790075,-0.11615043,0.0058564525,0.002825034,16005,2.9,145.725,0.1943,0.002825034,13323.917997837067
0.0,3699831,0.175,29.102067078869105,-0.14410263,0.0062782154,0.0042590336,16045,2.825,155.25,0.207,0.0042590336,13351.188700675964
0.0,3709831,0.075,30.604090802461833,-0.15660635,0.0036854756,0.0018389894,16085,2.925,165.45,0.22059999999999996,0.0018389894,13378.915093660355
0.0,3719831,0.225,30.471606265421684,-0.17616832,0.005351085,0.0027705627,16125,2.775,163.2,0.21759999999999996,0.0027705627,13407.44335770607
0.0,3729831,0.125,30.25264204147639,-0.15247978,0.005448136,0.0021238388,16165,2.875,163.425,0.21789999999999998,0.0021238388,13434.933119773865
0.0,3739831,0.075,30.892856661203627,-0.17471762,0.0054357788,0.0017558315,16205,2.925,164.925,0.21990000000000007,0.0017558315,13462.041918754578
0.0,3749831,0.1,31.15428772721083,-0.16557156,0.0030829427,0.0016979456,16245,2.9,168.75,0.225,0.0016979456,13490.21236371994
