meankl,EpisodesSoFar,Ptt,AttNC,AttC,surrgain,entloss,TtR,optimgain,entropy,MtR,Tmt,Tmc,Tbt,TimeElapsed,MpbtN,TimestepsSoFar,MpbtA
0.010396377,18175,79.89261976425185,0.775,0.225,0.002839322,0.0,-64.375,0.002839322,0.1514477,-36.56217172377285,82.175,21.825,336588.8,48810.06544446945,78.32023985226085,3799892,21.67976014773914
0.010574794,18215,80.66604601914128,0.725,0.275,0.0028042006,0.0,-64.45,0.0028042006,0.15154837,-36.502654093813995,82.925,20.975,339660.8,48915.45160794258,77.72943193486931,3809953,22.27056806513069
0.0096633565,18254,80.02224579859212,0.7692307692307693,0.23076923076923078,0.0042497697,0.0,-63.12820512820513,0.0042497697,0.14369467,-35.534363330053054,82.23076923076923,21.666666666666668,336817.23076923075,49017.51816725731,76.70884065557512,3819962,23.29115934442488
0.010289364,18293,79.701900005568,0.8205128205128205,0.1794871794871795,0.0036596009,0.0,-63.23076923076923,0.0036596009,0.14572315,-35.80773597886746,81.94871794871794,22.025641025641026,335661.9487179487,49122.65113925934,77.13564359045354,3829931,22.86435640954646
0.009877118,18333,79.83868243813536,0.725,0.275,0.0053918045,0.0,-64.175,0.0053918045,0.15120362,-36.507192023199394,82.075,21.875,336179.2,49230.092378139496,78.18354354851685,3839831,21.816456451483145
0.009696254,18371,78.6502589519707,0.6842105263157895,0.3157894736842105,0.0036131172,0.0,-61.5,0.0036131172,0.14925835,-34.74848433383949,80.84210526315789,23.157894736842106,331129.2631578947,49337.972673654556,76.0497555940524,3849768,23.95024440594758
0.0095975995,18411,80.0503017725213,0.725,0.275,0.0026954683,0.0,-62.425,0.0026954683,0.1400613,-35.741424833648466,82.325,21.65,337203.2,49446.4588868618,75.82192365640864,3859989,24.178076343591385
0.008497951,18448,79.07078523309588,0.972972972972973,0.02702702702702703,0.004458608,0.0,-61.75675675675676,0.004458608,0.14091593,-35.31208815097004,81.27027027027027,22.7027027027027,332883.02702702704,49551.617564201355,75.95441625469995,3869772,24.045583745300053
0.010639484,18487,79.8860206253774,0.9743589743589743,0.02564102564102564,0.0041457536,0.0,-63.30769230769231,0.0041457536,0.1541627,-36.10358890103514,82.12820512820512,21.82051282051282,336397.1282051282,49654.91363096237,77.09244121443723,3879872,22.90755878556279
0.009660837,18524,79.49273984146656,0.918918918918919,0.08108108108108109,0.004625859,0.0,-62.13513513513514,0.004625859,0.15462066,-35.10501732716723,81.70270270270271,22.243243243243242,334654.2702702703,49759.884349823,76.03272398248733,3889712,23.96727601751269
0.009375981,18566,79.10706153431872,0.8571428571428571,0.14285714285714285,0.006406055,0.0,-62.642857142857146,0.006406055,0.14143221,-36.93651324858357,81.33333333333333,22.666666666666668,333141.3333333333,49873.70150351524,76.9536142449555,3899988,23.04638575504448
0.00985193,18604,79.55740210770732,0.9210526315789473,0.07894736842105263,0.0055604866,0.0,-62.18421052631579,0.0055604866,0.1547785,-34.89815623079336,81.8157894736842,22.18421052631579,335117.4736842105,49976.138266563416,75.98127024562775,3909787,24.018729754372263
0.008963205,18647,79.22571021943398,0.7906976744186046,0.20930232558139536,0.0054816008,0.0,-64.23255813953489,0.0054816008,0.14199369,-38.23724633797027,81.44186046511628,22.53488372093023,333585.8604651163,50091.28998160362,78.8728623011037,3919844,21.12713769889632
