EpisodesSoFar,meankl,AttC,entropy,MtR,entloss,surrgain,AttNC,TimeElapsed,TimestepsSoFar,TtR,Fce,optimgain
14167,0.0039242506,0.024390243902439025,0.4862696,18.449590731339796,0.0,0.0052694427,0.975609756097561,11552.931210756302,3009914,32.48780487804878,0.12995121951219513,0.0052694427
14214,0.005426323,0.14893617021276595,0.4620776,16.245801682941323,0.0,0.0049380036,0.851063829787234,11591.654781103134,3019949,28.5531914893617,0.11946257997321828,0.0049380036
14260,0.0036203456,0.15217391304347827,0.44876012,16.123245187697023,0.0,0.003702748,0.8478260869565217,11629.487158298492,3029764,28.347826086956523,0.12794519546949212,0.003702748
14302,0.003358792,0.047619047619047616,0.4744871,18.02073704271501,0.0,0.0053970804,0.9523809523809523,11663.9240629673,3039766,31.476190476190474,0.12590476190476194,0.0053970804
14347,0.0039613033,0.1111111111111111,0.477468,17.028872432984752,0.0,0.0053425506,0.8888888888888888,11702.576345682144,3049771,29.266666666666666,0.11706666666666668,0.0053425506
14390,0.0021108151,0.06976744186046512,0.4733763,18.037694133873238,0.0,0.004778968,0.9302325581395349,11738.015948295593,3059778,31.488372093023255,0.12595348837209305,0.004778968
14430,0.004398253,0.0,0.48110968,18.119090424278472,0.0,0.005076439,1.0,11774.50677394867,3069778,31.15,0.1246,0.005076439
14476,0.0035427022,0.13043478260869565,0.49325323,15.450554257336782,0.0,0.0054681944,0.8695652173913043,11813.113522052765,3079788,26.956521739130434,0.10782608695652178,0.0054681944
14519,0.0028863575,0.06976744186046512,0.4845991,17.59812808786958,0.0,0.0039178175,0.9302325581395349,11851.056180238724,3089791,30.72093023255814,0.12288372093023261,0.0039178175
14565,0.0031323337,0.13043478260869565,0.49603188,16.89171366187861,0.0,0.005581501,0.8695652173913043,11891.537322044373,3099811,29.32608695652174,0.12108300395256917,0.005581501
14608,0.0039824373,0.06976744186046512,0.48924005,17.414539667273147,0.0,0.004030223,0.9302325581395349,11929.06263422966,3109820,30.325581395348838,0.12130232558139538,0.004030223
14655,0.002457363,0.14893617021276595,0.48591128,15.832510942904271,0.0,0.0034114,0.851063829787234,11965.276882648468,3119831,27.97872340425532,0.11191489361702131,0.0034114
