EpisodesSoFar,entloss,TimeElapsed,MtR,AttC,Fce,TtR,entropy,AttNC,surrgain,meankl,TimestepsSoFar,optimgain
9860,0.0,6744.877778768539,20.96740811256395,0.0,0.1462,36.55,-0.022120494,1.0,0.005106939,0.0059943465,2169999,0.005106939
9901,0.0,6775.996610403061,19.1720940756061,0.024390243902439025,0.13580487804878047,33.951219512195124,-0.014354733,0.975609756097561,0.005255829,0.005581259,2180000,0.005255829
9941,0.0,6806.696702241898,21.380938046863772,0.025,0.14920000000000005,37.3,-0.021388054,0.975,0.00575819,0.0064851427,2189751,0.00575819
9982,0.0,6838.109089136124,19.60312576147506,0.024390243902439025,0.13921951219512196,34.80487804878049,-0.049915306,0.975609756097561,0.0046371855,0.006176155,2199752,0.0046371855
10022,0.0,6868.76721072197,21.038142512484647,0.0,0.14810000000000004,37.025,-0.04298768,1.0,0.0058619794,0.0054113567,2209752,0.0058619794
10063,0.0,6899.359281539917,19.580757377086474,0.024390243902439025,0.1361951219512195,34.048780487804876,-0.05667667,0.975609756097561,0.004111786,0.005573852,2219753,0.004111786
10104,0.0,6930.018438339233,20.87884014755819,0.024390243902439025,0.14770731707317072,36.926829268292686,-0.068008415,0.975609756097561,0.00532267,0.007549415,2229754,0.00532267
10145,0.0,6961.082865953445,19.85863123997878,0.024390243902439025,0.1382439024390244,34.5609756097561,-0.038706306,0.975609756097561,0.004972238,0.005216306,2239755,0.004972238
10185,0.0,6991.794457912445,20.57017898707837,0.0,0.14550000000000002,36.375,-0.0413861,1.0,0.004097355,0.0057998537,2249755,0.004097355
10225,0.0,7022.4518430233,20.409292814341125,0.0,0.1459,36.475,-0.04010525,1.0,0.0046991957,0.005779799,2259755,0.0046991957
10266,0.0,7053.068465948105,20.78096541899629,0.024390243902439025,0.1495077605321508,36.31707317073171,-0.011155571,0.975609756097561,0.0056718164,0.0064227553,2269766,0.0056718164
10306,0.0,7083.914625406265,20.939393686802234,0.0,0.14489999999999997,36.225,0.021987986,1.0,0.005273445,0.0061267824,2279766,0.005273445
10346,0.0,7115.418053150177,21.225450988142992,0.0,0.15089999999999998,37.725,0.018418333,1.0,0.0051633837,0.0056335917,2289766,0.0051633837
10388,0.0,7145.698340415955,20.125900034497832,0.047619047619047616,0.14511564625850343,35.642857142857146,0.027519211,0.9523809523809523,0.00433806,0.0059403786,2299830,0.00433806
10428,0.0,7176.784576177597,21.063313222497733,0.0,0.1487,37.175,0.0129932985,1.0,0.004518938,0.0069765304,2309830,0.004518938
10472,0.0,7207.534080982208,19.39347713681785,0.09090909090909091,0.1623469387755102,34.18181818181818,-0.022255879,0.9090909090909091,0.0037359397,0.006233685,2319882,0.0037359397
10514,0.0,7238.204704523087,19.624620920601018,0.047619047619047616,0.14291041162227602,34.57142857142857,-0.050295,0.9523809523809523,0.0056411317,0.0076514715,2329942,0.0056411317
10555,0.0,7268.550067901611,20.531837148714008,0.024390243902439025,0.14638163558106174,35.926829268292686,-0.037009574,0.975609756097561,0.003419471,0.0060162838,2339959,0.003419471
10597,0.0,7299.592314243317,20.49444498584255,0.047619047619047616,0.15464508562045504,35.73809523809524,-0.055776782,0.9523809523809523,0.0043539046,0.006482785,2349995,0.0043539046
10637,0.0,7330.092508792877,21.545187964863473,0.0,0.1516,37.9,-0.07702756,1.0,0.0045115286,0.0055586738,2359995,0.0045115286
10677,0.0,7360.496879339218,21.781350070472847,0.0,0.15360000000000001,38.4,-0.11590244,1.0,0.0058906944,0.007286766,2369995,0.0058906944
10717,0.0,7391.139181613922,21.162659387971917,0.0,0.14909999999999998,37.275,-0.11643899,1.0,0.004520814,0.0064975424,2379995,0.004520814
10757,0.0,7421.816877365112,20.495395535455437,0.025,0.14746190476190477,35.775,-0.13992375,0.975,0.0059626875,0.0080968905,2389766,0.0059626875
10797,0.0,7452.788051128387,21.930011892471043,0.0,0.15319999999999998,38.3,-0.124237254,1.0,0.004451828,0.0045173303,2399766,0.004451828
10838,0.0,7484.014125585556,21.145619540959093,0.024390243902439025,0.1478048780487805,36.951219512195124,-0.12305707,0.975609756097561,0.0045540202,0.0046849153,2409767,0.0045540202
10878,0.0,7514.156193494797,20.984900430327247,0.0,0.14910000000000004,37.275,-0.14607184,1.0,0.00514642,0.0072378386,2419767,0.00514642
10919,0.0,7545.082087278366,20.613627442363924,0.024390243902439025,0.14419512195121956,36.048780487804876,-0.117032364,0.975609756097561,0.0032233505,0.004865626,2429768,0.0032233505
10959,0.0,7576.096387863159,21.45919975526109,0.0,0.14950000000000002,37.375,-0.11406371,1.0,0.004298513,0.0058643227,2439768,0.004298513
11000,0.0,7606.9192905426025,20.576958714438774,0.024390243902439025,0.14487804878048782,36.21951219512195,-0.12393173,0.975609756097561,0.005246779,0.0066450792,2449769,0.005246779
11040,0.0,7637.326163768768,21.867787575693917,0.0,0.1517,37.925,-0.09692008,1.0,0.004433982,0.0064562783,2459769,0.004433982
11082,0.0,7667.790572404861,21.467743128500203,0.047619047619047616,0.15593770139634802,37.285714285714285,-0.09935021,0.9523809523809523,0.006010794,0.0067887045,2469879,0.006010794
11125,0.0,7698.882298707962,20.408374481055496,0.06976744186046512,0.15263324680215745,35.372093023255815,-0.09647083,0.9302325581395349,0.005567465,0.0070707947,2479918,0.005567465
11165,0.0,7729.5062963962555,21.33174723805715,0.0,0.1497,37.425,-0.081450514,1.0,0.0039423006,0.0053150775,2489918,0.0039423006
11206,0.0,7760.387999534607,21.284046629019585,0.024390243902439025,0.1528315911730546,36.8780487804878,-0.10798353,0.975609756097561,0.005683723,0.009221495,2499939,0.005683723
11247,0.0,7791.244585752487,21.160973801987417,0.024390243902439025,0.14741463414634148,36.853658536585364,-0.11693568,0.975609756097561,0.0057352073,0.006251721,2509940,0.0057352073
11287,0.0,7821.598555088043,21.70130351904935,0.0,0.15030000000000002,37.575,-0.13480853,1.0,0.004102517,0.006202294,2519940,0.004102517
11327,0.0,7852.4392619133,20.619827989569067,0.0,0.14580000000000004,36.45,-0.111587316,1.0,0.0041601057,0.0066333856,2529940,0.0041601057
11367,0.0,7882.933518886566,21.921469678730396,0.0,0.15580000000000005,38.95,-0.13195333,1.0,0.004296374,0.0063351747,2539940,0.004296374
11407,0.0,7914.086869239807,20.185576554061953,0.0,0.1433,35.825,-0.10682191,1.0,0.0054424605,0.0059637423,2549940,0.0054424605
11447,0.0,7944.346288204193,20.514406625156795,0.0,0.1432,35.8,-0.08491545,1.0,0.006277855,0.007883077,2559940,0.006277855
11487,0.0,7975.121479988098,21.887100962245615,0.0,0.1518,37.95,-0.105781615,1.0,0.0045034518,0.008221894,2569940,0.0045034518
11527,0.0,8005.889995336533,22.3056188814223,0.0,0.1558,38.95,-0.07566831,1.0,0.005037086,0.0073944977,2579940,0.005037086
11568,0.0,8036.774801015854,20.82254981300223,0.024390243902439025,0.14643902439024392,36.609756097560975,-0.039234202,0.975609756097561,0.005227591,0.0062018526,2589941,0.005227591
11608,0.0,8067.450926780701,20.62920078064833,0.0,0.14440000000000003,36.1,-0.039291225,1.0,0.0058286632,0.007946071,2599941,0.0058286632
11648,0.0,8098.436404466629,21.266353933074022,0.0,0.14950000000000002,37.375,-0.03661362,1.0,0.0045119887,0.006879483,2609941,0.0045119887
11688,0.0,8129.181265830994,21.51751606109146,0.0,0.1503,37.575,-0.035037342,1.0,0.0035509362,0.0069261016,2619941,0.0035509362
11729,0.0,8160.059546709061,20.647794417527937,0.024390243902439025,0.14721951219512197,36.80487804878049,-0.044612348,0.975609756097561,0.005047299,0.0074227755,2629942,0.005047299
11770,0.0,8190.731982946396,21.50046581813654,0.024390243902439025,0.15577700348432055,38.09756097560975,0.0053768866,0.975609756097561,0.0039611296,0.0073032514,2639949,0.0039611296
11810,0.0,8221.291662216187,22.93314097102709,0.0,0.15990000000000004,39.975,0.002678275,1.0,0.0035575286,0.0066721803,2649949,0.0035575286
11853,0.0,8251.898002624512,20.379960882670392,0.06976744186046512,0.14945636409102275,35.81395348837209,-0.026251059,0.9302325581395349,0.0037618896,0.005183531,2659996,0.0037618896
11893,0.0,8283.379058122635,21.81308621248002,0.025,0.15180000000000002,37.95,-0.013495869,0.975,0.0042180284,0.0071523315,2669759,0.0042180284
11933,0.0,8314.27785038948,22.23701193748651,0.0,0.1568,39.2,-0.023426993,1.0,0.004362329,0.0067733284,2679759,0.004362329
11977,0.0,8345.44213438034,21.15432461603806,0.09090909090909091,0.15799068776964068,37.06818181818182,-0.03331567,0.9090909090909091,0.00427713,0.0068265344,2689941,0.00427713
12017,0.0,8375.698755264282,21.84466247762124,0.0,0.15460000000000002,38.65,-0.06355048,1.0,0.004232831,0.008118399,2699941,0.004232831
12057,0.0,8406.566157341003,21.330539773043643,0.0,0.15089999999999998,37.725,-0.073240854,1.0,0.005366322,0.007040213,2709941,0.005366322
12097,0.0,8437.42394900322,21.63517418291109,0.0,0.1506,37.65,-0.07898042,1.0,0.0044712373,0.006916371,2719941,0.0044712373
12138,0.0,8467.721472263336,21.457941275944556,0.024390243902439025,0.15288166214995488,37.41463414634146,-0.042568073,0.975609756097561,0.0052459724,0.007248677,2729968,0.0052459724
