EpisodesSoFar,surrgain,AttNC,TtR,Fce,meankl,TimeElapsed,entloss,AttC,MtR,entropy,TimestepsSoFar,optimgain
3863,0.0014371842,1.7619047619047619,102.78571428571429,0.14658860265417645,0.0027263295,3394.6260232925415,0.0,1.2380952380952381,19.54459572512682,0.95228386,819777,0.0014371842
3904,0.0015846003,1.5121951219512195,103.46341463414635,0.1412149102623102,0.0033202493,3436.66699552536,0.0,1.4878048780487805,19.513382972461383,0.9380457,829830,0.0015846003
3945,0.0017324463,1.5121951219512195,105.73170731707317,0.1420672513322937,0.0032378521,3477.3870179653168,0.0,1.4878048780487805,20.299777105503843,0.9223167,839990,0.0017324463
3988,0.001519986,1.2325581395348837,102.13953488372093,0.14302736709445296,0.0045787636,3519.2761528491974,0.0,1.7674418604651163,19.276917412797104,0.9195091,849966,0.001519986
4029,0.0021716023,1.5365853658536586,110.1219512195122,0.1468292682926829,0.0044139097,3559.4470880031586,0.0,1.4634146341463414,21.310659831827046,0.908263,859969,0.0021716023
4069,0.0011514516,1.4,103.725,0.1383,0.0036428054,3600.7517352104187,0.0,1.6,19.40543265920485,0.9199038,869969,0.0011514516
4111,0.0014365173,1.5238095238095237,104.57142857142857,0.14197883597883604,0.004130887,3646.050619363785,0.0,1.4761904761904763,19.996594704805595,0.94459355,879981,0.0014365173
4153,0.0017473148,1.3333333333333333,108.21428571428571,0.1469112300777715,0.0055079237,3686.414844751358,0.0,1.6666666666666667,20.652073214854553,0.9702318,889938,0.0017473148
4193,0.0013833229,1.525,114.375,0.15250000000000002,0.0034876836,3727.247160434723,0.0,1.475,21.684935325402485,0.9409171,899938,0.0013833229
4234,0.0018047475,1.4634146341463414,109.2439024390244,0.15369105691056908,0.006091315,3767.9554738998413,0.0,1.5365853658536586,20.962886921564564,0.92079425,909941,0.0018047475
4276,0.0014258698,1.2380952380952381,110.92857142857143,0.15759146280076516,0.0045548747,3811.7736115455627,0.0,1.7619047619047619,21.34263325948487,0.92169076,919800,0.0014258698
4321,0.0014734843,1.3111111111111111,107.2,0.153630359155818,0.003243023,3852.5600080490112,0.0,1.6888888888888889,20.377101218725333,0.8957944,929981,0.0014734843
4365,0.0015448775,1.5227272727272727,104.18181818181819,0.1436583147492238,0.003623315,3895.8344011306763,0.0,1.4772727272727273,19.61845616061692,0.92114705,939844,0.0015448775
4411,0.0010826851,1.2826086956521738,97.43478260869566,0.1376792080301545,0.0019707389,3936.1196689605713,0.0,1.7173913043478262,18.566860385792737,0.93322414,949994,0.0010826851
4454,0.001675355,1.7674418604651163,107.79069767441861,0.15509301349221247,0.004146551,3978.811087846756,0.0,1.2325581395348837,20.239316025348923,0.93201107,959922,0.001675355
4496,0.0016948759,1.5714285714285714,110.28571428571429,0.15525418372477198,0.003922321,4018.5922594070435,0.0,1.4285714285714286,21.18844838203654,0.90038705,969753,0.0016948759
4536,0.0013660431,2.025,120.525,0.16069999999999998,0.0033675863,4061.7048239707947,0.0,0.975,22.96342869935753,0.88964874,979753,0.0013660431
4576,0.002223197,1.8,114.825,0.15309999999999999,0.0063395617,4104.161097049713,0.0,1.2,21.619150922907746,0.9092869,989753,0.002223197
4620,0.0018185629,1.5681818181818181,106.1590909090909,0.14593460778693396,0.0037329101,4145.44983458519,0.0,1.4318181818181819,20.33924102032888,0.8877141,999932,0.0018185629
4662,0.0018846415,1.6428571428571428,111.21428571428571,0.15986997316409077,0.0039953655,4187.222416162491,0.0,1.3571428571428572,21.62787607141202,0.8649902,1009819,0.0018846415
4705,0.0012596562,1.4651162790697674,102.13953488372093,0.13772265288544355,0.0040502762,4228.082731485367,0.0,1.5348837209302326,19.32208693669736,0.8768767,1019866,0.0012596562
4748,0.002397469,1.5813953488372092,105.13953488372093,0.14550329560999875,0.0059543946,4273.313428163528,0.0,1.4186046511627908,20.014150009285476,0.82178116,1029905,0.002397469
4788,0.0022065414,1.95,112.65,0.15020000000000003,0.004642677,4313.3547830581665,0.0,1.05,21.037894325156785,0.78818715,1039905,0.0022065414
4829,0.0015201267,1.4634146341463414,114.4390243902439,0.15258536585365853,0.005466573,4356.677341222763,0.0,1.5365853658536586,21.578034656390187,0.8158531,1049910,0.0015201267
4869,0.001977816,1.925,108.15,0.1442,0.0049241497,4396.689911842346,0.0,1.075,20.24034243310455,0.77862513,1059910,0.001977816
4909,0.0016508064,1.95,106.725,0.14230000000000004,0.0040422115,4439.678509235382,0.0,1.05,20.074245305940803,0.7578139,1069910,0.0016508064
4949,0.0014770284,2.275,110.475,0.14730000000000004,0.004176235,4479.448050022125,0.0,0.725,20.675182466226527,0.774109,1079910,0.0014770284
4991,0.0017690506,1.9523809523809523,109.71428571428571,0.15171428571428575,0.005004377,4522.1404230594635,0.0,1.0476190476190477,21.04192498684808,0.7542324,1090000,0.0017690506
5031,0.0015587377,1.875,106.2,0.14160000000000003,0.004198497,4563.620796203613,0.0,1.125,20.234423767744833,0.74888456,1100000,0.0015587377
5071,0.0017456309,1.825,107.625,0.14624117647058826,0.0061891787,4606.319927930832,0.0,1.175,20.454434205787173,0.7201535,1109767,0.0017456309
5113,0.0012867787,2.0,106.21428571428571,0.14161904761904762,0.0030053146,4646.827121257782,0.0,1.0,19.937312090266825,0.7138676,1119769,0.0012867787
