TimestepsSoFar,AttNC,MtR,EpisodesSoFar,entloss,meankl,Fce,entropy,TimeElapsed,AttC,TtR,optimgain,surrgain
3589995,10.0,142.8784238871937,14932,0.0,0.008933204,1.0,-0.088119276,39255.7880256176,0.0,2500.0,0.00031652517,0.00031652517
3599995,10.0,142.8784238871937,14972,0.0,0.008933204,1.0,0.009471764,39348.2699508667,0.0,2500.0,0.00013659787,0.00013659787
3609995,10.0,142.8784238871937,15012,0.0,0.008933416,1.0,0.107062615,39441.52428340912,0.0,2500.0,0.00046884178,0.00046884178
3619995,9.95,142.63814972807845,15052,0.0,0.01017476,0.9982,0.009472023,39542.1861884594,0.05,2495.5,0.000201237,0.000201237
3629995,10.0,142.8784238871937,15092,0.0,0.008933196,1.0,0.107062615,39633.401051044464,0.0,2500.0,0.00030988347,0.00030988347
3639995,10.0,142.84515485426545,15132,0.0,0.008933196,0.9997,0.20465098,39736.56488776207,0.0,2499.25,0.00048511886,0.00048511886
3649995,10.0,142.87053076947086,15172,0.0,0.008933196,0.9999,0.30224293,39821.55243086815,0.0,2499.75,0.0005799724,0.0005799724
3659995,10.0,142.82631823577216,15212,0.0,0.008933204,0.9995999999999998,0.3998317,39928.29601740837,0.0,2499.0,0.00041089708,0.00041089708
3669772,9.75,139.41524534214554,15252,0.0,0.008933196,0.9840851851851854,0.49742648,40017.34436869621,0.25,2437.5,0.0005134196,0.0005134196
3679772,10.0,142.70473460516263,15292,0.0,0.008933204,0.9987000000000001,0.59500796,40112.71920466423,0.0,2496.75,0.0005438586,0.0005438586
3689779,9.75609756097561,138.8153796479169,15333,0.0,0.010174863,0.9816724738675957,0.49742648,40206.39256978035,0.24390243902439024,2428.7804878048782,7.694622e-05,7.694622e-05
3699779,10.0,142.61474875014108,15373,0.0,0.010174781,0.9981,0.39983132,40308.14529824257,0.0,2495.25,3.4950943e-05,3.4950943e-05
3709779,10.0,142.7659487442253,15413,0.0,0.008933102,0.9993000000000001,0.49741605,40395.48755931854,0.0,2498.25,6.68734e-05,6.68734e-05
3719784,9.75609756097561,139.2376624440702,15454,0.0,0.0101747215,0.9793170731707316,0.3998317,40493.08425164223,0.24390243902439024,2436.3414634146343,4.5672437e-05,4.5672437e-05
3729784,10.0,142.7996589819173,15494,0.0,0.008933196,0.9995,0.4974265,40590.257113456726,0.0,2498.75,6.326763e-05,6.326763e-05
3739784,10.0,142.48211128524258,15534,0.0,0.00893351,0.9972999999999999,0.5950081,40682.11897397041,0.0,2493.25,0.0006362685,0.0006362685
3749784,10.0,142.41841623383394,15574,0.0,0.010174863,0.9969999999999999,0.4974266,40790.307503700256,0.0,2492.5,0.00030602317,0.00030602317
3759784,10.0,142.67024394578044,15614,0.0,0.008933102,0.9984,0.5950081,40883.581780195236,0.0,2496.0,9.6355725e-05,9.6355725e-05
3769784,10.0,142.4359177810054,15654,0.0,0.008933196,0.9971,0.69259953,40983.45548772812,0.0,2492.75,0.000115995,0.000115995
3779833,9.30232558139535,131.9058182204465,15697,0.0,0.01017476,0.9376893878642074,0.5950081,41083.32801103592,0.6976744186046512,2306.046511627907,0.0005233561,0.0005233561
3789833,10.0,142.4223330228347,15737,0.0,0.010174863,0.9970000000000001,0.4974265,41179.44491362572,0.0,2492.5,0.00034309216,0.00034309216
3799833,9.95,142.38054964262443,15777,0.0,0.008933204,0.9963,0.5950081,41275.95200610161,0.05,2490.75,0.00028474908,0.00028474908
3809838,9.75609756097561,138.94617550063217,15818,0.0,0.008933196,0.9771707317073167,0.69259953,41374.554933309555,0.24390243902439024,2430.9756097560976,0.00013342191,0.00013342191
3819838,10.0,141.32630918965478,15858,0.0,0.008933102,0.9892,0.7901864,41467.77881479263,0.0,2473.0,4.745593e-05,4.745593e-05
3829849,9.75609756097561,136.87668722548895,15899,0.0,0.008933416,0.9659423503325943,0.8877778,41565.620918512344,0.24390243902439024,2393.6585365853657,0.00018712108,0.00018712108
3839849,10.0,138.10101900077078,15939,0.0,0.008933067,0.9667000000000003,0.9853671,41657.490884780884,0.0,2416.75,1.0972995e-05,1.0972995e-05
3849984,7.764705882352941,105.01393795291706,15990,0.0,0.010174863,0.7772121801939763,0.8877775,41748.68959760666,2.235294117647059,1835.4901960784314,0.00032549072,0.00032549072
