entloss,AttNC,TimestepsSoFar,TtR,AttC,TimeElapsed,Tmc,meankl,entropy,Ptt,EpisodesSoFar,MpbtN,surrgain,optimgain,MtR,MpbtA,Tmt,Tbt
0.0,4.529411764705882,2129998,-121.76470588235294,5.470588235294118,31887.219707489014,50.161764705882355,0.004207323,0.27439517,53.74191389701606,15319,22.055056310710487,0.0022615043,0.0022615043,-8.865769289363316,77.94494368928953,55.10294117647059,225701.64705882352
0.0,5.17910447761194,2139940,-128.3582089552239,4.82089552238806,31996.157302379608,50.16417910447761,0.005219687,0.27035242,53.718948054470566,15386,23.108775502046715,0.0022892375,0.0022892375,-9.227839961214215,76.89122449795329,55.059701492537314,225524.53731343284
0.0,6.260869565217392,2149949,-109.56521739130434,3.739130434782609,32104.061983585358,49.84057971014493,0.0049530626,0.24952355,54.045132874211966,15455,19.759195478874812,0.0023958674,0.0023958674,-8.224301182060515,80.24080452112518,55.42028985507246,227001.5072463768
0.0,6.338235294117647,2159946,-116.61764705882354,3.661764705882353,32215.264928102493,51.544117647058826,0.00532112,0.28311783,52.49077140610324,15523,21.729307248501744,0.0025441302,0.0025441302,-8.757873408569766,78.27069275149825,53.838235294117645,220521.41176470587
0.0,4.597014925373134,2169827,-148.2089552238806,5.402985074626866,32323.434417963028,47.701492537313435,0.004856546,0.2871235,56.0097457853393,15590,24.865034335264365,0.0023579365,0.0023579365,-9.887754895100445,75.13496566473563,57.44776119402985,235306.02985074627
0.0,6.176470588235294,2179953,-119.41176470588235,3.823529411764706,32432.94127678871,50.48529411764706,0.0049521336,0.2866036,53.46505958410528,15658,21.779647127051827,0.0025992466,0.0025992466,-8.725783491154223,78.22035287294817,54.838235294117645,224617.41176470587
0.0,5.014925373134329,2189972,-133.13432835820896,4.985074626865671,32540.864177942276,48.07462686567164,0.004678493,0.2593701,55.66411261459402,15725,22.78926623243187,0.0020714728,0.0020714728,-9.237047235137712,77.21073376756813,57.07462686567164,233777.67164179104
0.0,5.522388059701493,2199951,-114.92537313432835,4.477611940298507,32650.5253739357,50.53731343283582,0.0042042583,0.2522814,53.41567259090686,15792,20.927666407445383,0.0019766802,0.0019766802,-8.562851288113489,79.07233359255456,54.791044776119406,224424.1194029851
0.0,5.705882352941177,2209947,-108.23529411764706,4.294117647058823,32761.33147740364,50.48529411764706,0.0041944073,0.24097829,53.451066325408156,15860,19.723465554503505,0.0021735576,0.0021735576,-8.139655606256447,80.2765344454965,54.80882352941177,224496.9411764706
0.0,7.119402985074627,2219875,-122.83582089552239,2.8805970149253732,32873.2262609005,50.3134328358209,0.005281898,0.28083163,53.61633533619076,15927,22.404033951428943,0.002393593,0.002393593,-9.066328686286656,77.59596604857104,54.985074626865675,225218.8656716418
