entloss,surrgain,AttNC,TimestepsSoFar,EpisodesSoFar,AttC,Tbt,MpbtN,TtR,MtR,Ptt,MpbtA,meankl,entropy,TimeElapsed,optimgain,Tmt,Tmc
0.0,0.006416806,1.0238095238095237,909830,6513,1.9761904761904763,317830.09523809527,64.21945304064553,-149.71428571428572,-29.295089862244033,75.60791805254041,35.780546959354474,0.004532556,0.34906363,16458.351523160934,0.006416806,77.5952380952381,26.428571428571427
0.0,0.0066997833,0.9375,919886,6561,2.0625,315989.3333333333,64.37477176168638,-149.1875,-29.891677731034736,75.20648471736115,35.625228238313646,0.004387089,0.31273258,16583.593430757523,0.0066997833,77.14583333333333,26.854166666666668
0.0,0.0053730044,1.0227272727272727,929961,6605,1.9772727272727273,314368.0,63.152895446674236,-145.5681818181818,-28.954606859914687,74.83588741849502,36.84710455332577,0.0049563944,0.32742745,16705.025228977203,0.0053730044,76.75,27.25
0.0,0.006103939,1.3255813953488371,939963,6648,1.6744186046511629,317201.8604651163,61.05397272386355,-141.8372093023256,-28.079110766363318,75.48164386672707,38.94602727613644,0.0049683168,0.31091434,16819.076994657516,0.006103939,77.44186046511628,26.558139534883722
0.0,0.0061509158,1.0666666666666667,949943,6693,1.9333333333333333,319214.93333333335,61.33821370044597,-143.26666666666668,-28.79830139467949,75.92849497912498,38.66178629955403,0.004445302,0.32274505,16935.43192601204,0.0061509158,77.93333333333334,26.08888888888889
0.0,0.005776298,1.069767441860465,959886,6736,1.930232558139535,319583.25581395347,63.692947008003586,-149.1627906976744,-29.607690641684485,76.02623192351864,36.307052991996414,0.004119555,0.31281957,17054.23701930046,0.005776298,78.02325581395348,25.976744186046513
0.0,0.004836523,1.0227272727272727,969901,6780,1.9772727272727273,317533.0909090909,65.44341785266613,-152.25,-29.92855549575552,75.55848877173531,34.55658214733388,0.004105211,0.29784337,17168.478814840317,0.004836523,77.52272727272727,26.477272727272727
0.0,0.0066923327,1.2045454545454546,979910,6824,1.7954545454545454,314088.7272727273,62.56007315755085,-144.0,-28.706387089746478,74.75773057569496,37.43992684244913,0.005275135,0.30734196,17285.164800167084,0.0066923327,76.68181818181819,27.34090909090909
0.0,0.0054963175,1.0888888888888888,989990,6869,1.9111111111111112,317576.5333333333,61.47680647079455,-143.26666666666668,-28.63427739929303,75.55449710327524,38.52319352920544,0.004868939,0.3050695,17404.207297086716,0.0054963175,77.53333333333333,26.488888888888887
0.0,0.0062195067,0.7674418604651163,999794,6912,2.2325581395348837,312629.5813953488,63.5608400849144,-145.67441860465115,-28.695418319500945,74.43774141568787,36.43915991508556,0.0044707395,0.30122,17522.41092467308,0.0062195067,76.32558139534883,27.674418604651162
0.0,0.005793097,0.8695652173913043,1009798,6958,2.130434782608696,312097.39130434784,61.62782627604938,-141.0,-28.463479280241536,74.31824707667899,38.3721737239506,0.0045810007,0.28302896,17641.806376457214,0.005793097,76.19565217391305,27.804347826086957
0.0,0.005882626,0.8444444444444444,1019913,7003,2.1555555555555554,312115.2,61.906665292588706,-141.73333333333332,-28.546620669991498,74.29376590289223,38.09333470741134,0.0045149247,0.28675795,17758.283638715744,0.005882626,76.2,27.844444444444445
0.0,0.0066710957,0.6739130434782609,1029917,7049,2.3260869565217392,315213.9130434783,62.54396816740982,-144.3913043478261,-28.763565810563044,75.02910371793693,37.456031832590185,0.004861193,0.28596023,17878.224010705948,0.0066710957,76.95652173913044,27.043478260869566
0.0,0.006053129,0.5909090909090909,1039801,7093,2.409090909090909,318557.0909090909,65.68957057889126,-153.6818181818182,-30.296309297185193,75.78888204280246,34.31042942110873,0.0047375825,0.28367963,17997.1125228405,0.006053129,77.77272727272727,26.227272727272727
0.0,0.005537071,0.8,1049904,7138,2.2,312843.3777777778,62.61449586902882,-143.4,-28.485898065154373,74.48810262913203,37.38550413097117,0.0038806756,0.28115588,18118.25086760521,0.005537071,76.37777777777778,27.622222222222224
0.0,0.0054688836,0.9318181818181818,1059936,7182,2.0681818181818183,314088.7272727273,61.42405041578541,-141.47727272727272,-27.96231932031188,74.77185081674199,38.57594958421459,0.0045124344,0.28570697,18234.253743886948,0.0054688836,76.68181818181819,27.318181818181817
0.0,0.006464986,1.0909090909090908,1069761,7226,1.9090909090909092,316229.8181818182,64.13187288515925,-148.77272727272728,-29.35337785110062,75.24582503062699,35.86812711484078,0.0053350157,0.29969943,18356.49609565735,0.006464986,77.20454545454545,26.818181818181817
0.0,0.0062389374,0.9361702127659575,1079918,7273,2.0638297872340425,317483.57446808513,65.7286369403492,-153.19148936170214,-30.154872297873307,75.5460618328664,34.271363059650795,0.004146886,0.27912638,18477.073372364044,0.0062389374,77.51063829787235,26.48936170212766
