entloss,TimeElapsed,AttC,optimgain,AttNC,meankl,surrgain,TimestepsSoFar,entropy,Fce,EpisodesSoFar,MtR,TtR
0.0,79248.57855796814,0.0,0.0012608153,10.0,0.005866403,0.0012608153,2259816,-0.34426907,0.9857000000000002,9449,140.68947977581945,2464.25
0.0,79632.8199646473,0.0,0.0011326693,10.0,0.006225241,0.0011326693,2269816,-0.3635053,0.9925999999999998,9489,141.75506268782613,2481.5
0.0,79990.4659883976,0.0,0.0012924704,10.0,0.0052607013,0.0012924704,2279816,-0.32693172,0.9909999999999997,9529,141.39370577836178,2477.5
0.0,80371.82822108269,0.0,0.0011650207,10.0,0.0041620075,0.0011650207,2289816,-0.31835935,0.9919999999999994,9569,141.6241806361492,2480.0
0.0,80700.44903635979,0.0,0.0013294992,10.0,0.004758865,0.0013294992,2299816,-0.3064537,0.9949000000000001,9609,142.1062515543444,2487.25
0.0,81066.13140153885,0.0,0.001020174,10.0,0.004760035,0.001020174,2309816,-0.33840594,0.9934000000000001,9649,141.80818437864954,2483.5
0.0,81436.6487607956,0.0,0.0014594757,10.0,0.007086904,0.0014594757,2319816,-0.37403366,0.9955,9689,142.24647399648876,2488.75
0.0,81759.14161777496,0.0,0.0016693113,10.0,0.007823026,0.0016693113,2329816,-0.4057196,0.9949999999999999,9729,142.0887312954037,2487.5
0.0,82119.07291460037,0.0,0.0012954659,10.0,0.0046198983,0.0012954659,2339816,-0.4198296,0.9964999999999999,9769,142.34233393123546,2491.25
0.0,82458.0231089592,0.0,0.0013600057,10.0,0.0049899095,0.0013600057,2349816,-0.40188602,0.9984,9809,142.65244217429318,2496.0
0.0,82815.24022555351,0.0,0.0015980147,10.0,0.005462627,0.0015980147,2359816,-0.3612229,0.9984999999999999,9849,142.65354643644795,2496.25
0.0,83158.04998350143,0.0,0.001395471,10.0,0.0070533254,0.001395471,2369816,-0.34976283,0.9978999999999999,9889,142.53975179979233,2494.75
0.0,83521.84063744545,0.0,0.0011301286,10.0,0.0049584694,0.0011301286,2379816,-0.32231164,0.9964999999999999,9929,142.3389252913226,2491.25
0.0,83887.32123684883,0.0,0.0011764737,10.0,0.0058768773,0.0011764737,2389816,-0.374499,0.9974000000000001,9969,142.4802830692267,2493.5
0.0,84236.97461438179,0.0,0.001411941,10.0,0.006864294,0.001411941,2399816,-0.32005382,0.9978999999999999,10009,142.57192235733226,2494.75
0.0,84567.19455075264,0.0,0.0009833665,10.0,0.005504316,0.0009833665,2409816,-0.27874413,0.9972,10049,142.46111335306895,2493.0
0.0,84931.71566724777,0.0,0.0016773465,10.0,0.0077926503,0.0016773465,2419816,-0.28553876,0.9958,10089,142.30092836124612,2489.5
0.0,85277.02309846878,0.5,0.001315831,9.5,0.011190814,0.001315831,2429832,-0.28770554,0.9756961451247164,10131,135.8921031467027,2376.190476190476
0.0,85623.05713963509,0.0,0.001718193,10.0,0.0077003967,0.001718193,2439832,-0.24154769,0.9987999999999998,10171,142.6895619628477,2497.0
0.0,85953.80469751358,0.0,0.0013181242,10.0,0.0065560644,0.0013181242,2449832,-0.21156313,0.9974000000000001,10211,142.54985232744562,2493.5
0.0,86285.40527796745,0.0,0.0014017428,10.0,0.00480419,0.0014017428,2459832,-0.21195513,0.9970000000000001,10251,142.42144151998636,2492.5
0.0,86613.99744486809,0.0,0.0011258647,10.0,0.0065056277,0.0011258647,2469832,-0.24424872,0.9982999999999999,10291,142.60647352065592,2495.75
0.0,86962.97810411453,0.0,0.0013693755,10.0,0.0069117784,0.0013693755,2479832,-0.2790025,0.9978999999999999,10331,142.53006603124646,2494.75
0.0,87293.93530249596,0.0,0.0014189641,10.0,0.0075308154,0.0014189641,2489832,-0.25150946,0.9962000000000002,10371,142.2560567008089,2490.5
0.0,87643.0797047615,0.0,0.00086279085,10.0,0.0035871079,0.00086279085,2499832,-0.25929257,0.9956999999999997,10411,142.14597206247325,2489.25
0.0,87956.64947676659,0.0,0.0017044214,10.0,0.005170317,0.0017044214,2509832,-0.24060027,0.9952,10451,142.13971210731964,2488.0
