EpisodesSoFar,surrgain,AttNC,AttC,MtR,TimeElapsed,optimgain,entropy,entloss,TtR,Fce,TimestepsSoFar,meankl
7759,0.0004346302,1.9285714285714286,1.0714285714285714,15.878909997815484,23953.441247463226,0.0004346302,1.4087363,0.0,81.78571428571429,0.11092640692640694,1699811,0.0032515067
7800,0.0009063924,1.7560975609756098,1.2439024390243902,16.66588437911765,24096.368941545486,0.0009063924,1.4448215,0.0,87.8780487804878,0.11717073170731711,1709816,0.00201401
7841,0.00073092675,1.8048780487804879,1.1951219512195121,16.471294011252308,24228.902971744537,0.00073092675,1.498823,0.0,85.3170731707317,0.11681300813008134,1719831,0.0061667114
7885,0.0009946132,1.7727272727272727,1.2272727272727273,15.147430405902162,24359.432649374008,0.0009946132,1.530317,0.0,79.29545454545455,0.10572727272727275,1729837,0.0040456145
7926,0.00074109907,1.7560975609756098,1.2439024390243902,17.672316705393346,24488.982314825058,0.00074109907,1.5398057,0.0,92.04878048780488,0.1227317073170732,1739838,0.0027417142
7970,0.0006411153,1.6136363636363635,1.3863636363636365,16.977479093064208,24629.17442393303,0.0006411153,1.5593175,0.0,88.97727272727273,0.12289747095010255,1749868,0.0037227327
8013,0.0007499385,1.4651162790697674,1.5348837209302326,19.27927694053887,24782.455464839935,0.0007499385,1.5649015,0.0,100.11627906976744,0.1409612403100775,1759885,0.004005419
8057,0.00076574704,1.3863636363636365,1.6136363636363635,18.404739150100998,24943.294744968414,0.00076574704,1.572385,0.0,95.31818181818181,0.1368766687857597,1769776,0.0068576834
8107,0.000830308,1.46,1.54,14.624671620681577,25075.254006385803,0.000830308,1.5441921,0.0,76.08,0.13180463949843263,1779860,0.0059985016
8156,0.00086748507,1.3061224489795917,1.6938775510204083,15.149818952019945,25197.933639764786,0.00086748507,1.5404049,0.0,80.44897959183673,0.11377259475218662,1789923,0.0023347097
8198,0.0012845632,1.9047619047619047,1.0952380952380953,16.038697269983047,25336.184895277023,0.0012845632,1.5343015,0.0,85.42857142857143,0.11737844611528825,1799949,0.0024162019
8243,0.0005500661,1.511111111111111,1.488888888888889,16.660203795260333,25461.111199378967,0.0005500661,1.5283556,0.0,87.46666666666667,0.12394074074074077,1809966,0.0015275475
