Fce,AttC,meankl,EpisodesSoFar,MtR,TimeElapsed,TimestepsSoFar,TtR,entloss,entropy,AttNC,optimgain,surrgain
0.16200000000000003,7.175,0.008932625,6384,23.32152939205101,15063.049963474274,1539909,405.0,0.0,6.4287515,2.825,-3.0517577e-09,-3.0517577e-09
0.1708446726572529,6.609756097560975,0.00893351,6425,24.422470767460858,15160.457732439041,1549928,424.1463414634146,0.0,6.52637,3.3902439024390243,7.781982e-09,7.781982e-09
0.175103738317757,6.575,0.008933102,6465,25.052220496994742,15258.49911737442,1559785,433.75,0.0,6.624011,3.425,6.1035155e-09,6.1035155e-09
0.1752831816298025,6.463414634146342,0.008933067,6506,24.8623550722989,15360.332775831223,1569769,429.0243902439024,0.0,6.7216325,3.5365853658536586,1.6784668e-09,1.6784668e-09
0.18600000000000003,5.875,0.008933204,6546,26.799628496433535,15456.99076628685,1579769,465.0,0.0,6.819184,4.125,6.1035155e-10,6.1035155e-10
0.15699224806201553,6.906976744186046,0.010174751,6589,21.358667739421467,15563.631052017212,1589814,375.3488372093023,0.0,6.7216325,3.0930232558139537,3.967285e-09,3.967285e-09
0.1698704068499987,6.833333333333333,0.008933067,6631,23.67688756696936,15661.854216098785,1599900,413.3333333333333,0.0,6.81916,3.1666666666666665,1.1444092e-08,1.1444092e-08
0.16783333333333333,6.625,0.010174781,6671,23.74947175410889,15762.797570228577,1609755,414.75,0.0,6.7216325,3.375,3.3569336e-09,3.3569336e-09
0.15942092840283242,7.121951219512195,0.010174781,6712,22.80274123953875,15852.734484910965,1619786,396.8292682926829,0.0,6.7216325,2.8780487804878048,3.3569336e-09,3.3569336e-09
0.16523076923076926,6.488372093023256,0.010174781,6755,23.286730770527697,15954.106687545776,1629875,405.1162790697674,0.0,6.7216325,3.511627906976744,3.3569336e-09,3.3569336e-09
0.15637732809825833,6.813953488372093,0.008933067,6798,22.467551259385896,16049.873743772507,1639936,385.3488372093023,0.0,6.81916,3.186046511627907,-7.93457e-09,-7.93457e-09
0.16402469135802472,6.214285714285714,0.008933204,6840,23.80892320898753,16157.633116722107,1649970,408.0952380952381,0.0,6.916689,3.7857142857142856,-3.0517577e-09,-3.0517577e-09
0.16596019756491728,6.785714285714286,0.008933196,6882,23.167397531534395,16250.852530956268,1659871,402.6190476190476,0.0,7.0143075,3.2142857142857144,-1.8310546e-09,-1.8310546e-09
0.16323809523809524,6.833333333333333,0.008933196,6924,22.76284321885193,16351.676323890686,1669901,397.3809523809524,0.0,7.0143075,3.1666666666666665,-1.8310546e-09,-1.8310546e-09
0.17799303135888497,6.195121951219512,0.008933196,6965,24.635350951031224,16444.897189617157,1679908,428.0487804878049,0.0,7.0143075,3.8048780487804876,-1.8310546e-09,-1.8310546e-09
0.16403180328675837,6.837209302325581,0.00060510635,7008,22.639348522755576,16544.24946498871,1689964,398.6046511627907,0.0,6.989918,3.1627906976744184,3.2043457e-09,3.2043457e-09
0.16860000000000003,6.175,0.010174751,7048,24.267176820005094,16646.103510141373,1699964,421.5,0.0,6.892393,3.825,1.1367798e-08,1.1367798e-08
0.16465505226480837,6.780487804878049,0.008933196,7089,23.018942903325087,16743.700934410095,1709760,401.4634146341463,0.0,6.989918,3.2195121951219514,-1.2207031e-09,-1.2207031e-09
0.17034583181652707,6.634146341463414,0.008933196,7130,23.981858914813934,16837.24369120598,1719827,418.5365853658537,0.0,6.989918,3.3658536585365852,-1.2207031e-09,-1.2207031e-09
0.1584390243902439,7.097560975609756,0.008933204,7171,22.790981161730176,16934.569441080093,1729834,396.0975609756098,0.0,7.0875382,2.902439024390244,1.2207031e-08,1.2207031e-08
0.16032472187310895,6.833333333333333,0.008933204,7213,22.558277116855212,17031.837560892105,1739898,390.95238095238096,0.0,7.0875382,3.1666666666666665,1.2207031e-08,1.2207031e-08
0.16139999999999996,7.125,0.008933204,7253,23.00774926944643,17117.60670042038,1749898,403.5,0.0,7.0875382,2.875,1.2207031e-08,1.2207031e-08
0.16294934333958727,6.560975609756097,0.008933204,7294,23.418000628516857,17219.200903892517,1759911,402.9268292682927,0.0,7.18507,3.4390243902439024,-3.8146974e-09,-3.8146974e-09
0.1642814549791294,6.744186046511628,0.01017476,7337,21.929114395679733,17314.169898986816,1769952,379.7674418604651,0.0,7.0875382,3.255813953488372,7.3242186e-09,7.3242186e-09
0.16630000000000006,6.8,0.01017476,7377,23.92796832003682,17406.142467021942,1779952,415.75,0.0,7.0875382,3.2,7.3242186e-09,7.3242186e-09
0.18099999999999997,6.15,0.010172965,7417,25.802915666178638,17501.53635430336,1789952,452.5,0.0,6.989918,3.85,5.645752e-09,5.645752e-09
0.1616165280927186,6.880952380952381,0.010174282,7459,22.721245301170093,17598.184037685394,1799986,393.8095238095238,0.0,6.892395,3.119047619047619,7.3242186e-09,7.3242186e-09
0.16409999999999997,6.8,0.010174282,7499,23.612149638933044,17690.141998291016,1809986,410.25,0.0,6.892395,3.2,7.3242186e-09,7.3242186e-09
0.16414190687361416,6.7317073170731705,0.008933102,7540,23.148240751059706,17785.35348033905,1819754,399.7560975609756,0.0,6.98992,3.268292682926829,6.866455e-10,6.866455e-10
