TimestepsSoFar,EpisodesSoFar,Ptt,Tmc,meankl,TtR,entropy,Tmt,entloss,surrgain,optimgain,AttNC,TimeElapsed,MtR,Tbt,AttC,MpbtN,MpbtA
329875,4597,80.12735634721632,21.5609756097561,0.0038424046,-67.53658536585365,0.28167516,82.39024390243902,0.0,0.0042703478,0.0042703478,0.5365853658536586,11612.510344266891,-38.313557638168426,337470.43902439025,0.4634146341463415,81.95400052336282,18.04599947663721
339785,4638,80.31327583145215,21.365853658536587,0.005472044,-69.02439024390245,0.24734497,82.60975609756098,0.0,0.004703879,0.004703879,0.6585365853658537,11728.25475525856,-39.2576097525941,338369.56097560975,0.34146341463414637,83.53764647916594,16.46235352083407
349908,4678,80.00560123319846,21.7,0.005308557,-68.85,0.24783716,82.3,0.0,0.0049361666,0.0049361666,0.725,11840.510797023773,-39.1714223061132,337100.8,0.275,83.65299913048572,16.347000869514254
359970,4716,79.67664742445886,22.05263157894737,0.0030699498,-67.52631578947368,0.23396707,81.94736842105263,0.0,0.0022042603,0.0022042603,0.7368421052631579,11950.245157241821,-37.37715082499076,335656.4210526316,0.2631578947368421,82.37139822259081,17.62860177740919
369847,4753,81.41902285772899,20.16216216216216,0.008404086,-69.21621621621621,0.2821042,83.72972972972973,0.0,0.006180748,0.006180748,0.918918918918919,12056.566025018692,-38.567131337359164,342956.97297297296,0.08108108108108109,82.62660709183615,17.373392908163847
379908,4793,80.75762529979538,20.875,0.0060851737,-68.4,0.24658673,83.025,0.0,0.0046609445,0.0046609445,0.775,12165.756154060364,-39.002354394372695,340070.4,0.225,82.35263825271669,17.647361747283277
389746,4832,79.50271479008471,22.23076923076923,0.0056783934,-68.0,0.22081862,81.71794871794872,0.0,0.0031202647,0.0031202647,0.7435897435897436,12277.842447280884,-37.97911428349018,334716.71794871794,0.2564102564102564,83.19150006641905,16.808499933580947
399793,4868,80.56954903855134,21.083333333333332,0.0067353216,-68.75,0.28201586,82.86111111111111,0.0,0.005261667,0.005261667,1.0,12382.620592594147,-38.497661322574004,339399.1111111111,0.0,82.92883010551333,17.07116989448665
409936,4910,79.9656571435726,21.738095238095237,0.006593563,-68.5,0.27126893,82.23809523809524,0.0,0.0065940134,0.0065940134,0.6904761904761905,12498.615046977997,-39.59601357290103,336847.2380952381,0.30952380952380953,83.25246916671216,16.747530833287847
419710,4951,80.53117769183338,21.121951219512194,0.006153422,-68.8780487804878,0.23877017,82.8048780487805,0.0,0.0060213683,0.0060213683,0.7317073170731707,12614.78454208374,-41.07012674813195,339168.7804878049,0.2682926829268293,83.10933711346132,16.890662886538703
429934,4991,80.11919660748418,21.575,0.003905549,-67.65,0.25504804,82.4,0.0,0.0025559403,0.0025559403,0.775,12725.644047498703,-38.899453981494595,337510.4,0.225,82.06783119645958,17.93216880354043
439909,5030,80.3682096888321,21.307692307692307,0.010215554,-67.64102564102564,0.3033437,82.66666666666667,0.0,0.006500682,0.006500682,0.5384615384615384,12835.66936302185,-38.483415247174946,338602.6666666667,0.46153846153846156,81.7948064707551,18.2051935292449
449806,5070,80.06779887808904,21.625,0.0074859345,-66.575,0.25175977,82.325,0.0,0.005441307,0.005441307,0.575,12947.979848861694,-37.72060863501554,337203.2,0.425,80.85782454902397,19.14217545097601
459894,5109,80.2442010387632,21.435897435897434,0.009754886,-66.82051282051282,0.3311169,82.51282051282051,0.0,0.0046282425,0.0046282425,0.7692307692307693,13054.6044049263,-37.620254634070776,337972.5128205128,0.23076923076923078,80.92910910623138,19.070890893768638
469955,5154,79.51534064844319,22.22222222222222,0.0066327667,-66.97777777777777,0.23636812,81.75555555555556,0.0,0.005658838,0.005658838,0.24444444444444444,13175.371737241745,-38.4202575141484,334870.7555555556,0.7555555555555555,81.91992875265903,18.080071247340985
479837,5193,80.9121724995074,20.71794871794872,0.0041867686,-67.61538461538461,0.27550778,83.23076923076923,0.0,0.0026107223,0.0026107223,0.6923076923076923,13282.944567680359,-38.131372479468304,340913.23076923075,0.3076923076923077,81.24443401140478,18.755565988595233
489861,5234,80.01564547272818,21.682926829268293,0.005006122,-67.04878048780488,0.26649803,82.26829268292683,0.0,0.00423663,0.00423663,0.6585365853658537,13393.144260406494,-38.04331718743852,336970.9268292683,0.34146341463414637,81.50002319142517,18.49997680857484
499848,5275,80.1584575535569,21.536585365853657,0.006536136,-67.51219512195122,0.24297607,82.46341463414635,0.0,0.0060309325,0.0060309325,0.7804878048780488,13507.035046100616,-39.65058755210052,337770.14634146343,0.21951219512195122,81.8445640618648,18.155435938135206
509910,5313,80.31528466199404,21.36842105263158,0.005060933,-67.92105263157895,0.259744,82.63157894736842,0.0,0.001711842,0.001711842,0.9210526315789473,13611.260661125183,-37.68417251500054,338458.94736842107,0.07894736842105263,82.20379940310988,17.796200596890106
519848,5350,80.20329828392939,21.486486486486488,0.0069283675,-67.43243243243244,0.2979848,82.51351351351352,0.0,0.0044502313,0.0044502313,0.8918918918918919,13718.05399274826,-37.745787202603644,337975.35135135136,0.10810810810810811,81.66178829370848,18.33821170629152
529977,5391,80.32943333650783,21.341463414634145,0.0049447264,-66.41463414634147,0.23934585,82.58536585365853,0.0,0.004090344,0.004090344,0.6585365853658537,13827.128667354584,-37.918013570537056,338269.65853658534,0.34146341463414637,80.38812976167802,19.611870238322016
539746,5429,80.1878814206102,21.5,0.010670807,-66.39473684210526,0.30465037,82.47368421052632,0.0,0.0027795592,0.0027795592,0.8421052631578947,13935.063825130463,-37.41464111276374,337812.2105263158,0.15789473684210525,80.47337108918612,19.5266289108139
549797,5472,79.67867173944468,22.046511627906977,0.007002933,-66.81395348837209,0.23455772,81.93023255813954,0.0,0.0053320862,0.0053320862,0.4883720930232558,14055.196951150894,-38.686890862242976,335586.23255813954,0.5116279069767442,81.5844830660279,18.415516933972114
559880,5512,80.1570625678578,21.525,0.005379718,-66.85,0.26378286,82.4,0.0,0.0029202697,0.0029202697,0.425,14166.44177031517,-38.14635225940642,337510.4,0.575,81.10446803614585,18.89553196385416
569994,5552,80.46434510261737,21.2,0.0064794724,-66.625,0.24226812,82.75,0.0,0.0047006886,0.0047006886,0.725,14277.753384590149,-37.98944900413541,338944.0,0.275,80.52075700205735,19.479242997942602
579847,5592,80.07736123210609,21.625,0.0062419334,-67.2,0.27325436,82.375,0.0,0.0012910332,0.0012910332,0.675,14388.904238462448,-38.68901146956121,337408.0,0.325,81.56265283303028,18.437347166969722
589948,5634,80.01246166950864,21.69047619047619,0.0065166727,-66.14285714285714,0.24645957,82.28571428571429,0.0,0.0030026557,0.0030026557,0.4523809523809524,14501.431317329407,-37.1709915035218,337042.28571428574,0.5476190476190477,80.36419722296169,19.63580277703828
599957,5674,79.48524403225834,22.25,0.0051684696,-65.4,0.25841534,81.7,0.0,0.0024034039,0.0024034039,0.525,14614.183381795883,-36.774578999718855,334643.2,0.475,80.01138260034065,19.988617399659358
609815,5713,80.41101041582084,21.256410256410255,0.0071364646,-66.33333333333333,0.23644212,82.6923076923077,0.0,0.0037264165,0.0037264165,0.717948717948718,14723.461866617203,-38.42468832364302,338707.6923076923,0.28205128205128205,80.17296216362377,19.827037836376252
619943,5754,79.56593425902513,22.170731707317074,0.0048698667,-66.21951219512195,0.22565098,81.8048780487805,0.0,0.0029076294,0.0029076294,0.6829268292682927,14834.365249633789,-37.916420376668725,335072.7804878049,0.3170731707317073,80.95666585011249,19.04333414988752
629839,5793,80.57903533899703,21.076923076923077,0.006711116,-67.07692307692308,0.23590642,82.87179487179488,0.0,0.003154502,0.003154502,0.7435897435897436,14942.118410348892,-37.69733988732178,339442.8717948718,0.2564102564102564,80.93436713757572,19.065632862424277
639933,5832,80.10918299934332,21.58974358974359,0.0068033235,-67.05128205128206,0.23373887,82.41025641025641,0.0,0.0040666014,0.0040666014,0.717948717948718,15050.288577318192,-37.990688166379314,337552.41025641025,0.28205128205128205,81.32420074428124,18.675799255718736
649826,5871,80.72489718730513,20.923076923076923,0.009216346,-66.71794871794872,0.22877534,83.05128205128206,0.0,0.006040602,0.006040602,0.7692307692307693,15158.04289484024,-38.10414609389294,340178.0512820513,0.23076923076923078,80.30508358279667,19.694916417203338
