TimestepsSoFar,TimeElapsed,meankl,entloss,Fce,entropy,optimgain,AttNC,surrgain,EpisodesSoFar,TtR,AttC,MtR
1539756,20237.616197824478,0.008933196,0.0,0.17414736842105263,7.891116,5.340576e-09,3.3,5.340576e-09,6493,427.75,6.7,24.66849251643301
1549786,20352.49097585678,0.008933196,0.0,0.16076190476190474,7.891116,5.340576e-09,3.0952380952380953,5.340576e-09,6535,390.7142857142857,6.904761904761905,22.25434192078931
1559804,20470.963477134705,0.008933196,0.0,0.1636931216931217,7.891116,5.340576e-09,3.119047619047619,5.340576e-09,6577,402.85714285714283,6.880952380952381,23.43176148915241
1569804,20597.624312400818,0.008933196,0.0,0.17229999999999995,7.891116,5.340576e-09,3.425,5.340576e-09,6617,430.75,6.575,24.645412737353936
1579811,20726.142733335495,0.010174863,0.0,0.16738675958188157,7.79349,1.2207031e-08,3.0,1.2207031e-08,6658,410.0,7.0,23.257490093398335
1589811,20841.305876255035,0.010174863,0.0,0.166,7.79349,1.2207031e-08,3.625,1.2207031e-08,6698,415.0,6.375,24.110896126726388
1599889,20966.793683052063,0.010174863,0.0,0.1601702713872434,7.79349,1.2207031e-08,3.142857142857143,1.2207031e-08,6740,389.04761904761904,6.857142857142857,22.230374035718803
1609940,21087.314702033997,0.010174863,0.0,0.1771660513177755,7.79349,1.2207031e-08,3.1333333333333333,1.2207031e-08,6785,380.44444444444446,6.866666666666666,22.04400282764194
1619940,21205.34762263298,0.010174863,0.0,0.17360000000000003,7.79349,1.2207031e-08,3.775,1.2207031e-08,6825,434.0,6.225,25.12120127104871
1629940,21322.99102783203,0.010174863,0.0,0.1804,7.79349,1.2207031e-08,3.5,1.2207031e-08,6865,451.0,6.5,26.11884104303864
1639949,21460.117171287537,0.008933196,0.0,0.16273170731707318,7.891116,-1.2359619e-08,3.1463414634146343,-1.2359619e-08,6906,406.8292682926829,6.853658536585366,23.53278166138808
1649981,21578.273505687714,0.008933196,0.0,0.16379962894248606,7.891116,-1.2359619e-08,3.0714285714285716,-1.2359619e-08,6948,386.1904761904762,6.928571428571429,22.408040320539197
1659754,21705.776984214783,0.0023052692,0.0,0.18018695652173916,7.9399405,-8.544922e-09,3.875,-8.544922e-09,6988,448.0,6.125,25.592339719270807
1669814,21829.657131910324,0.0023052692,0.0,0.1657995642701525,7.9399405,-8.544922e-09,3.0714285714285716,-8.544922e-09,7030,399.76190476190476,6.928571428571429,22.813757028138244
1679817,21952.004056692123,0.008933196,0.0,0.16744715447154476,8.037565,-9.727478e-09,3.097560975609756,-9.727478e-09,7071,398.5365853658537,6.902439024390244,22.821455024780054
1689817,22070.183383464813,0.008933196,0.0,0.16850000000000004,8.037565,-9.727478e-09,3.65,-9.727478e-09,7111,421.25,6.35,24.14033206290425
1699872,22185.685404777527,0.008933196,0.0,0.16282015017861048,8.037565,-9.727478e-09,2.8372093023255816,-9.727478e-09,7154,380.69767441860466,7.162790697674419,22.157130113321383
1709910,22310.863092422485,0.008933196,0.0,0.1784057653712826,8.037565,-9.727478e-09,3.5952380952380953,-9.727478e-09,7196,432.3809523809524,6.404761904761905,25.098145726897407
1719928,22420.798216819763,0.008933196,0.0,0.164734693877551,8.037565,-9.727478e-09,2.738095238095238,-9.727478e-09,7238,403.57142857142856,7.261904761904762,23.323024631389078
1729948,22549.894324302673,0.008933196,0.0,0.1695026455026455,8.037565,-9.727478e-09,3.5714285714285716,-9.727478e-09,7280,417.3809523809524,6.428571428571429,24.093702157740875
1739809,22665.556540966034,0.008933196,0.0,0.16674353017210158,8.037565,-9.727478e-09,3.3095238095238093,-9.727478e-09,7322,403.3333333333333,6.690476190476191,23.347789777950123
1749833,22788.783467531204,0.008933196,0.0,0.17123809523809524,8.037565,-9.727478e-09,3.2857142857142856,-9.727478e-09,7364,404.76190476190476,6.714285714285714,23.02389489691818
1759846,22907.227975845337,0.008933196,0.0,0.16429268292682928,8.037565,-9.727478e-09,3.731707317073171,-9.727478e-09,7405,410.7317073170732,6.2682926829268295,23.927321690831363
1769917,23030.673426389694,0.008933196,0.0,0.16678254895225011,8.037565,-9.727478e-09,3.5853658536585367,-9.727478e-09,7446,416.3414634146341,6.414634146341464,24.083909797051046
