entropy,AttNC,entloss,surrgain,meankl,AttC,Fce,TimeElapsed,TtR,MtR,optimgain,EpisodesSoFar,TimestepsSoFar
0.10464772,10.0,0.0,0.00055439473,0.008933102,0.0,1.0,22420.9494035244,2500.0,142.8784238871937,0.00055439473,3242,679773
0.007058101,10.0,0.0,0.00019038373,0.010174863,0.0,1.0,22699.353541612625,2500.0,142.8784238871937,0.00019038373,3282,689773
-0.09053121,10.0,0.0,0.0007884356,0.01017476,0.0,1.0,23023.968102931976,2500.0,142.8784238871937,0.0007884356,3322,699773
-0.13932757,10.0,0.0,1.6065998e-05,0.0024603605,0.0,1.0,23366.059347629547,2500.0,142.8784238871937,1.6065998e-05,3362,709773
-0.041736633,10.0,0.0,0.00042010998,0.008933204,0.0,1.0,23681.060523033142,2500.0,142.8784238871937,0.00042010998,3402,719773
-0.13932757,10.0,0.0,0.00029698928,0.010174781,0.0,1.0,23991.388698101044,2500.0,142.8784238871937,0.00029698928,3442,729773
-0.04173661,10.0,0.0,0.0005010727,0.008933416,0.0,1.0,24292.16055035591,2500.0,142.8784238871937,0.0005010727,3482,739773
0.055853486,10.0,0.0,0.00038195046,0.008933102,0.0,1.0,24580.69106197357,2500.0,142.8784238871937,0.00038195046,3522,749773
-0.041736633,10.0,0.0,0.00010997997,0.010174863,0.0,1.0,24915.19183921814,2500.0,142.8784238871937,0.00010997997,3562,759773
0.055853408,10.0,0.0,0.00063196855,0.008933102,0.0,1.0,25250.998720645905,2500.0,142.8784238871937,0.00063196855,3602,769773
0.15344252,10.0,0.0,0.00046365854,0.008933204,0.0,1.0,25568.07815885544,2500.0,142.8784238871937,0.00046365854,3642,779773
0.25103378,10.0,0.0,0.00042597987,0.008933204,0.0,1.0,25873.021590471268,2500.0,142.8784238871937,0.00042597987,3682,789773
0.15344249,10.0,0.0,0.0006465961,0.010174751,0.0,0.9997999999999999,26189.389624595642,2499.5,142.84844396880263,0.0006465961,3722,799773
0.055853486,10.0,0.0,3.882576e-05,0.010174781,0.0,1.0,26492.663688898087,2500.0,142.8784238871937,3.882576e-05,3762,809773
0.15344249,10.0,0.0,0.00019437057,0.008933102,0.0,1.0,26796.338344097137,2500.0,142.8784238871937,0.00019437057,3802,819773
0.2510338,10.0,0.0,0.00021761072,0.008933204,0.0,1.0,27113.115168571472,2500.0,142.8784238871937,0.00021761072,3842,829773
0.22663748,10.0,0.0,2.4197768e-06,0.00060510635,0.0,0.9999,27465.895879507065,2499.75,142.86721318210715,2.4197768e-06,3882,839773
0.12904541,10.0,0.0,0.00047607295,0.01017476,0.0,1.0,27765.476222515106,2500.0,142.8784238871937,0.00047607295,3922,849773
0.031455956,10.0,0.0,0.0004633012,0.01017476,0.0,1.0,28079.33851623535,2500.0,142.8784238871937,0.0004633012,3962,859773
-0.0661343,10.0,0.0,0.0001515328,0.01017476,0.0,1.0,28416.2276699543,2500.0,142.8784238871937,0.0001515328,4002,869773
-0.16372526,10.0,0.0,0.00035475407,0.010174871,0.0,1.0,28696.34550857544,2500.0,142.8784238871937,0.00035475407,4042,879773
