EpisodesSoFar,AttNC,MtR,TimeElapsed,TimestepsSoFar,optimgain,Fce,entloss,surrgain,AttC,TtR,meankl,entropy
13535,0.975609756097561,18.40649975738832,12198.009234189987,2779991,0.0043171938,0.12965853658536583,0.0,0.0043171938,0.024390243902439025,32.41463414634146,0.0029161305,0.52007824
13580,0.8666666666666667,17.648032817690805,12236.539427042007,2789769,0.00483273,0.1253090909090909,0.0,0.00483273,0.13333333333333333,30.844444444444445,0.0035508445,0.530283
13626,0.8695652173913043,17.250207461170653,12277.597879648209,2799787,0.005378937,0.12017391304347826,0.0,0.005378937,0.13043478260869565,30.043478260869566,0.0034182488,0.5454014
13673,0.851063829787234,16.970749502260944,12326.253314733505,2809804,0.0054657944,0.1263829787234043,0.0,0.0054657944,0.14893617021276595,29.51063829787234,0.0037309353,0.52532053
13714,0.975609756097561,18.516352169435148,12374.35292840004,2819805,0.0046793763,0.13063414634146342,0.0,0.0046793763,0.024390243902439025,32.65853658536585,0.0034731075,0.5267451
13763,0.8163265306122449,15.518977257430683,12417.65944480896,2829816,0.004343783,0.12922448979591836,0.0,0.004343783,0.1836734693877551,27.224489795918366,0.0023532473,0.52171934
13812,0.8163265306122449,15.53861546111341,12459.033330440521,2839841,0.004674805,0.11058998144712431,0.0,0.004674805,0.1836734693877551,27.20408163265306,0.00327397,0.52257335
13857,0.8888888888888888,16.7195267373257,12498.2952439785,2849852,0.00446977,0.11742222222222226,0.0,0.00446977,0.1111111111111111,29.355555555555554,0.002963653,0.53264207
13906,0.8163265306122449,16.417259933804733,12544.310985565186,2859879,0.004386572,0.14335966074741585,0.0,0.004386572,0.1836734693877551,28.897959183673468,0.004363331,0.5331724
13952,0.8695652173913043,16.325907072177184,12586.394221305847,2869885,0.003699593,0.1145217391304348,0.0,0.003699593,0.13043478260869565,28.630434782608695,0.0021057068,0.52961147
13999,0.851063829787234,16.3074037018774,12633.949343204498,2879898,0.0055684447,0.1415602836879432,0.0,0.0055684447,0.14893617021276595,28.340425531914892,0.004167074,0.50513697
14048,0.8163265306122449,16.435254131681237,12679.512198925018,2889971,0.00431994,0.1242185832600579,0.0,0.00431994,0.1836734693877551,28.918367346938776,0.0064517884,0.48609623
14090,0.9523809523809523,18.543853634149976,12724.02814745903,2899973,0.005282236,0.1296190476190476,0.0,0.005282236,0.047619047619047616,32.404761904761905,0.003633676,0.47677362
14135,0.8888888888888888,16.120548109550686,12769.26684641838,2909978,0.004196393,0.11235555555555557,0.0,0.004196393,0.1111111111111111,28.08888888888889,0.0029646438,0.49022403
14175,1.0,18.09553619415302,12813.971125125885,2919978,0.0046050474,0.12700000000000006,0.0,0.0046050474,0.0,31.75,0.0040110177,0.49705234
14218,0.9302325581395349,16.820864139961387,12852.954822540283,2929987,0.005283365,0.14748172757475084,0.0,0.005283365,0.06976744186046512,29.46511627906977,0.004002652,0.5111688
14261,0.9302325581395349,17.869889892901988,12898.538192510605,2939990,0.0050343415,0.12362790697674421,0.0,0.0050343415,0.06976744186046512,30.906976744186046,0.003469926,0.48858964
14304,0.9302325581395349,17.134885534394662,12946.621541976929,2949993,0.005121713,0.12065116279069771,0.0,0.005121713,0.06976744186046512,30.162790697674417,0.0040085204,0.46304315
14352,0.8125,15.630072243265998,12988.271014928818,2959752,0.005775094,0.11083333333333335,0.0,0.005775094,0.1875,27.708333333333332,0.003724685,0.47261563
14392,1.0,18.771486365250123,13030.90416097641,2969752,0.004932721,0.13140000000000002,0.0,0.004932721,0.0,32.85,0.0030029342,0.47634825
14438,0.8695652173913043,15.884851333316305,13079.061166524887,2979778,0.0046487674,0.11710559006211178,0.0,0.0046487674,0.13043478260869565,28.565217391304348,0.0029281154,0.46283212
14485,0.851063829787234,16.861136708646256,13122.141528367996,2989801,0.0055460753,0.11943929912390491,0.0,0.0055460753,0.14893617021276595,29.27659574468085,0.004008567,0.43466547
14528,0.9302325581395349,17.065292123088586,13159.869738817215,2999804,0.0054717544,0.12186046511627907,0.0,0.0054717544,0.06976744186046512,30.46511627906977,0.0031671107,0.4332268
14572,0.9090909090909091,16.422259019679412,13204.843512535095,3009840,0.0056549422,0.11628650137741053,0.0,0.0056549422,0.09090909090909091,28.772727272727273,0.0042125,0.4254614
14616,0.9090909090909091,16.28791098398853,13250.84441113472,3019844,0.0043555177,0.1135454545454546,0.0,0.0043555177,0.09090909090909091,28.386363636363637,0.0028689464,0.44304097
14662,0.8695652173913043,15.790822706206258,13296.575788259506,3029912,0.0054859724,0.11829732818196659,0.0,0.0054859724,0.13043478260869565,27.91304347826087,0.0032602837,0.44186065
