AttC,EpisodesSoFar,Ptt,optimgain,TimeElapsed,MtR,AttNC,surrgain,TtR,TimestepsSoFar,entloss,MpbtN,MpbtA,Tbt,entropy,meankl,Tmc,Tmt
1.3863636363636365,6320,75.24023041601686,0.0044758758,17567.46069931984,-28.072007803214102,1.6136363636363635,0.0044758758,-135.6818181818182,909828,0.0,58.58828268215735,41.411717317842644,316136.7272727273,0.30593684,0.0054301503,26.818181818181817,77.18181818181819
1.3488372093023255,6363,74.73598447978921,0.005361446,17705.331642866135,-27.124691308534885,1.6511627906976745,0.005361446,-132.97674418604652,919744,0.0,57.72947166845168,42.27052833154832,314058.4186046512,0.32189316,0.0058697895,27.372093023255815,76.67441860465117
1.4545454545454546,6407,74.20658515931933,0.0046380474,17841.71734380722,-26.84293471518621,1.5454545454545454,0.0046380474,-133.02272727272728,929796,0.0,58.22442524410851,41.7755747558915,311668.36363636365,0.29347962,0.00531446,27.931818181818183,76.0909090909091
1.3863636363636365,6451,73.81526660178862,0.0039385753,17974.203746557236,-26.490237839552222,1.6136363636363635,0.0039385753,-129.4090909090909,939973,0.0,56.86616664356429,43.13383335643572,310085.8181818182,0.29684633,0.0052523906,28.363636363636363,75.70454545454545
1.7777777777777777,6496,74.33004445232228,0.0045286356,18109.686861753464,-26.794811593388896,1.2222222222222223,0.0045286356,-131.13333333333333,949975,0.0,57.279749044930206,42.720250955069794,312206.22222222225,0.31495,0.0060534338,27.8,76.22222222222223
1.4772727272727273,6540,73.3782242804129,0.0045079733,18242.864214658737,-26.296252779750247,1.5227272727272727,0.0045079733,-130.63636363636363,959845,0.0,57.84798271776815,42.152017282231846,308037.8181818182,0.294412,0.0053682076,28.818181818181817,75.20454545454545
1.3617021276595744,6587,75.24140504964366,0.00519959,18381.930341243744,-28.46463374638905,1.6382978723404256,0.00519959,-138.06382978723406,969975,0.0,59.48951876201884,40.510481237981175,316263.4893617021,0.28401172,0.006127937,26.829787234042552,77.2127659574468
1.0930232558139534,6630,74.59085162019589,0.004496598,18516.74803161621,-26.250424022112124,1.9069767441860466,0.004496598,-128.1627906976744,979746,0.0,55.76607191857717,44.23392808142284,313486.88372093026,0.2915194,0.0057502137,27.53488372093023,76.53488372093024
1.7173913043478262,6676,74.17632977378472,0.004088135,18653.261429071426,-26.822665480879238,1.2826086956521738,0.004088135,-131.6086956521739,989979,0.0,57.721106421420984,42.278893578579,311474.0869565217,0.29396567,0.004761457,27.956521739130434,76.04347826086956
1.8,6721,73.5531827360476,0.0042048898,18791.045830011368,-27.497745439753494,1.2,0.0042048898,-133.13333333333333,999800,0.0,58.748010277267085,41.2519897227329,308747.3777777778,0.28899485,0.0049661584,28.622222222222224,75.37777777777778
