EpisodesSoFar,TtR,Fce,TimestepsSoFar,TimeElapsed,MtR,optimgain,entloss,AttNC,surrgain,meankl,AttC,entropy
15160,82.46511627906976,0.10995348837209304,3309999,17076.925821065903,15.69615331096262,0.0010483243,0.0,1.8372093023255813,0.0010483243,0.00414071,1.1627906976744187,1.3561281
15202,83.57142857142857,0.14173855488141202,3319794,17129.667771100998,15.999574490715357,0.0006962433,0.0,1.8571428571428572,0.0006962433,0.00091786357,1.1428571428571428,1.3751099
15248,77.41304347826087,0.10940764955867933,3329838,17179.842302799225,14.88635956378616,0.0013103912,0.0,1.7173913043478262,0.0013103912,0.0030757482,1.2826086956521738,1.4093136
15291,79.04651162790698,0.11202937576499394,3339875,17232.969601631165,15.258668292709164,0.0005338501,0.0,1.8837209302325582,0.0005338501,0.0029892807,1.1162790697674418,1.4508907
15333,87.0,0.11600000000000002,3349877,17280.84927535057,16.560761740033314,0.0010383466,0.0,1.8095238095238095,0.0010383466,0.0054380447,1.1904761904761905,1.4933224
15378,79.73333333333333,0.11524555303602924,3359968,17333.923573493958,15.138053549838386,0.00050992775,0.0,1.6,0.00050992775,0.001184945,1.4,1.5026828
15420,87.57142857142857,0.117732868757259,3369767,17385.45055270195,16.78194597459499,0.00064670615,0.0,1.7857142857142858,0.00064670615,0.0037607613,1.2142857142857142,1.4453126
15465,77.4,0.13936379112031286,3379870,17441.60938858986,14.777059232551927,0.00070944545,0.0,1.7333333333333334,0.00070944545,0.004150742,1.2666666666666666,1.4188672
15509,81.68181818181819,0.11206493506493508,3389902,17492.692194223404,15.492462686685963,0.0006661987,0.0,1.7045454545454546,0.0006661987,0.0019781173,1.2954545454545454,1.4110578
15554,78.73333333333333,0.1135940597414282,3399776,17547.58014512062,14.827526319614915,0.0001059967,0.0,1.6888888888888889,0.0001059967,0.0012977002,1.3111111111111111,1.4150392
15599,74.93333333333334,0.10356355085243976,3409849,17595.779799222946,14.303964691833167,0.0018844244,0.0,1.7333333333333334,0.0018844244,0.007555409,1.2666666666666666,1.4117429
15643,79.63636363636364,0.11682251082251086,3419863,17650.312117815018,14.902407137667375,0.00025947063,0.0,1.7272727272727273,0.00025947063,0.005356502,1.2727272727272727,1.4072361
15687,84.47727272727273,0.14099864263500628,3429925,17700.730263710022,16.251773539884603,0.0006098704,0.0,1.6590909090909092,0.0006098704,0.002176544,1.3409090909090908,1.4044938
15730,83.72093023255815,0.11454263565891476,3439946,17752.449165582657,15.886270096809351,7.77064e-05,0.0,1.744186046511628,7.77064e-05,0.0048185494,1.255813953488372,1.3880981
15774,77.93181818181819,0.10888075560802836,3449755,17798.307530879974,14.670335904755648,0.0007710063,0.0,1.9545454545454546,0.0007710063,0.0035542827,1.0454545454545454,1.3815926
