TimestepsSoFar,TimeElapsed,meankl,Fce,TtR,entropy,MtR,EpisodesSoFar,surrgain,AttNC,entloss,AttC,optimgain
1439942,4465.770436048508,0.0045318143,0.13043902439024394,32.609756097560975,0.16414644,18.51761020696415,6913,0.0029942237,0.975609756097561,0.0,0.024390243902439025,0.0029942237
1449943,4496.772912502289,0.0061065597,0.13658536585365855,34.146341463414636,0.1644874,19.61394466761196,6954,0.0039445558,0.975609756097561,0.0,0.024390243902439025,0.0039445558
1459945,4527.008599996567,0.0066899545,0.13761904761904764,34.404761904761905,0.13876568,19.822559268232606,6996,0.003262255,0.9523809523809523,0.0,0.047619047619047616,0.003262255
1469945,4557.900897979736,0.003836147,0.13979999999999998,34.95,0.17909035,19.792551934369513,7036,0.002658051,1.0,0.0,0.0,0.002658051
1479946,4588.463961601257,0.0054722005,0.1333658536585366,33.34146341463415,0.20891379,19.56635278535341,7077,0.0032695832,0.975609756097561,0.0,0.024390243902439025,0.0032695832
1489947,4619.291269302368,0.007500878,0.1398048780487805,34.951219512195124,0.19356576,19.84117067074766,7118,0.005166522,0.975609756097561,0.0,0.024390243902439025,0.005166522
1499947,4650.031925439835,0.0063515278,0.13720000000000002,34.3,0.14665021,19.438363641365058,7158,0.0030645493,1.0,0.0,0.0,0.0030645493
1509950,4680.996979475021,0.0062921937,0.1274418604651163,31.86046511627907,0.13829802,18.006928783250522,7201,0.006144879,0.9302325581395349,0.0,0.06976744186046512,0.006144879
1519962,4712.344246387482,0.0058010533,0.1436103896103896,33.833333333333336,0.12108688,18.949263169199153,7243,0.0035133392,0.9523809523809523,0.0,0.047619047619047616,0.0035133392
1529963,4742.965178012848,0.0066752885,0.13912195121951224,34.78048780487805,0.10062311,19.782843466201786,7284,0.004785503,0.975609756097561,0.0,0.024390243902439025,0.004785503
1539965,4773.704327583313,0.006683169,0.1318095238095238,32.95238095238095,0.09880159,18.815019074207378,7326,0.003702707,0.9523809523809523,0.0,0.047619047619047616,0.003702707
1549965,4804.014864206314,0.0061549144,0.14340000000000003,35.85,0.08416072,20.380772042010644,7366,0.0041780304,1.0,0.0,0.0,0.0041780304
1559965,4834.628166675568,0.0072941603,0.1441,36.025,0.11435442,20.441735747869792,7406,0.0050946875,1.0,0.0,0.0,0.0050946875
1569965,4865.065475463867,0.005268542,0.146,36.5,0.13110821,20.938115284841295,7446,0.003806079,1.0,0.0,0.0,0.003806079
1579974,4896.278927326202,0.0068465834,0.1447371273712737,34.8780487804878,0.091949254,20.1623596248486,7487,0.0047970046,0.975609756097561,0.0,0.024390243902439025,0.0047970046
1589974,4926.901334285736,0.006079106,0.1413,35.325,0.10709358,20.196874346224018,7527,0.0034953258,1.0,0.0,0.0,0.0034953258
1599974,4958.191032648087,0.0059074005,0.137,34.25,0.07784153,19.561951629056967,7567,0.003158905,1.0,0.0,0.0,0.003158905
1609976,4989.519374370575,0.0076782885,0.13619047619047625,34.04761904761905,0.06365594,19.603970271862732,7609,0.0048869783,0.9523809523809523,0.0,0.047619047619047616,0.0048869783
1619977,5019.809009313583,0.007240709,0.13912195121951218,34.78048780487805,0.03778271,19.492074475881054,7650,0.0042885016,0.975609756097561,0.0,0.024390243902439025,0.0042885016
1629978,5050.59471654892,0.0070063444,0.14165853658536587,35.41463414634146,0.02136324,20.312230955424468,7691,0.004836306,0.975609756097561,0.0,0.024390243902439025,0.004836306
1639980,5081.386937379837,0.0058462997,0.13466666666666668,33.666666666666664,0.005405497,19.38582630035696,7733,0.0038272468,0.9523809523809523,0.0,0.047619047619047616,0.0038272468
1649980,5111.865268230438,0.0063368874,0.1461,36.525,-0.00766473,20.56168761672509,7773,0.0039722673,1.0,0.0,0.0,0.0039722673
1659980,5142.955272436142,0.0044507245,0.1408,35.2,-0.012174161,20.091608042270053,7813,0.0026609527,1.0,0.0,0.0,0.0026609527
1669981,5173.37294626236,0.00703551,0.144,36.0,-0.0099014845,20.394832874742566,7854,0.0049908874,0.975609756097561,0.0,0.024390243902439025,0.0049908874
1679981,5204.157609939575,0.006433249,0.14730000000000004,36.825,0.0017268658,21.132897118265824,7894,0.004854703,1.0,0.0,0.0,0.004854703
1689982,5234.736284971237,0.004808546,0.1385365853658537,34.63414634146341,0.006999016,19.616136322005495,7935,0.0033865941,0.975609756097561,0.0,0.024390243902439025,0.0033865941
1699985,5265.5800704956055,0.007236644,0.13834146341463413,34.58536585365854,0.0110936165,19.866051057153253,7976,0.0062051048,0.975609756097561,0.0,0.024390243902439025,0.0062051048
1709836,5296.419264554977,0.0061110384,0.15733069306930691,38.3,0.020683307,22.157105980746245,8016,0.0042121103,0.975,0.0,0.025,0.0042121103
1719837,5327.169897556305,0.006031239,0.14458536585365853,36.146341463414636,0.0071830214,20.50900574370004,8057,0.0046264017,0.975609756097561,0.0,0.024390243902439025,0.0046264017
1729837,5357.461534976959,0.006223542,0.1436,35.9,0.0129460115,20.47858593510666,8097,0.004352725,1.0,0.0,0.0,0.004352725
1739837,5387.664177417755,0.0072728875,0.14700000000000005,36.75,0.018474497,20.89376872796998,8137,0.0054463805,1.0,0.0,0.0,0.0054463805
1749838,5418.882372140884,0.006408435,0.13814634146341465,34.53658536585366,0.028040746,19.66871594191168,8178,0.005325798,0.975609756097561,0.0,0.024390243902439025,0.005325798
1759840,5449.694171667099,0.0053020916,0.1397142857142857,34.92857142857143,0.036560714,19.95092902316208,8220,0.005211609,0.9523809523809523,0.0,0.047619047619047616,0.005211609
1769879,5481.3635811805725,0.005285428,0.15161475922451537,37.24390243902439,0.02716934,20.98139598610828,8261,0.003892962,0.975609756097561,0.0,0.024390243902439025,0.003892962
1779903,5511.595178127289,0.0059847124,0.1497538559691005,36.53658536585366,0.01524393,21.051291383112947,8302,0.0042531937,0.9512195121951219,0.0,0.04878048780487805,0.0042531937
1789905,5542.362471103668,0.0071703596,0.14152380952380958,35.38095238095238,0.00286448,20.263367490138137,8344,0.005573364,0.9523809523809523,0.0,0.047619047619047616,0.005573364
1799907,5573.052471637726,0.0038152123,0.1390476190476191,34.76190476190476,-0.016891818,19.708154873285533,8386,0.0027980926,0.9523809523809523,0.0,0.047619047619047616,0.0027980926
1809935,5603.181588888168,0.006699457,0.14407492370830266,35.02325581395349,0.010337978,19.902481588325525,8429,0.0055603404,0.9069767441860465,0.0,0.09302325581395349,0.0055603404
1819758,5634.822680950165,0.0065354356,0.1489705299326021,34.642857142857146,-0.025487915,19.657451913058683,8471,0.0032828392,0.9285714285714286,0.0,0.07142857142857142,0.0032828392
1829758,5665.351877450943,0.0070979316,0.14959999999999996,37.4,-0.025087357,21.475383647909318,8511,0.0048698853,1.0,0.0,0.0,0.0048698853
1839963,5696.358655452728,0.007653198,0.1425737516709916,34.77777777777778,-0.012242286,19.865298690299642,8556,0.005087482,0.8888888888888888,0.0,0.1111111111111111,0.005087482
1849929,5727.004464626312,0.0066488413,0.15144877698121273,35.04651162790697,-0.01880739,20.064552398024993,8599,0.00559348,0.9069767441860465,0.0,0.09302325581395349,0.00559348
1859922,5757.818747997284,0.0059494427,0.14402439433468617,34.285714285714285,-0.04258152,19.779497901522646,8641,0.0031260254,0.9285714285714286,0.0,0.07142857142857142,0.0031260254
1869989,5789.494192838669,0.005816641,0.15049368469789837,35.69047619047619,-0.04459957,20.38234646904797,8683,0.0025638496,0.9285714285714286,0.0,0.07142857142857142,0.0025638496
1879991,5820.030619621277,0.006092607,0.1386666666666667,34.666666666666664,-0.051296234,19.630482441061037,8725,0.003871635,0.9523809523809523,0.0,0.047619047619047616,0.003871635
1889772,5851.041343688965,0.0062089143,0.1576387096774194,38.35,-0.01218942,21.879776547002088,8765,0.0045105345,0.975,0.0,0.025,0.0045105345
1899773,5881.529143571854,0.006221562,0.14243902439024395,35.609756097560975,-0.032682408,20.54200487307754,8806,0.004275293,0.975609756097561,0.0,0.024390243902439025,0.004275293
1909808,5912.1182181835175,0.007607551,0.1487665505226481,36.292682926829265,-0.026502393,20.576992678391974,8847,0.006016197,0.975609756097561,0.0,0.024390243902439025,0.006016197
1919780,5942.814153909683,0.0072719124,0.14545237832468821,36.292682926829265,-0.015732402,20.881092826992795,8888,0.0045355866,0.9512195121951219,0.0,0.04878048780487805,0.0045355866
1929907,5973.783973455429,0.0061043547,0.1541824467063568,38.073170731707314,-0.0053085564,21.478865520079328,8929,0.0039529614,0.975609756097561,0.0,0.024390243902439025,0.0039529614
1939914,6004.965212345123,0.0076259095,0.14865505226480838,36.31707317073171,-0.04612538,20.49307725678852,8970,0.0041121994,0.975609756097561,0.0,0.024390243902439025,0.0041121994
1949914,6035.512078285217,0.0069760843,0.15189999999999998,37.975,-0.022743225,21.78394956009681,9010,0.0050278353,1.0,0.0,0.0,0.0050278353
1959915,6065.821279764175,0.00712856,0.13658536585365857,34.146341463414636,-0.032478523,19.12876753265792,9051,0.0054823044,0.975609756097561,0.0,0.024390243902439025,0.0054823044
1969915,6096.1562063694,0.004575074,0.156,39.0,-0.042403635,21.87437072682643,9091,0.0026078674,1.0,0.0,0.0,0.0026078674
