entropy,TimestepsSoFar,TimeElapsed,AttC,meankl,TtR,MtR,AttNC,Tmt,entloss,Tmc,Tbt,Ptt,surrgain,MpbtN,MpbtA,EpisodesSoFar,optimgain
0.29424313,859692,17887.36890769005,0.42105263157894735,0.0067645144,-66.55263157894737,-37.58354671015752,0.5789473684210527,82.28947368421052,0.0,21.657894736842106,337057.6842105263,80.03675877824725,0.0068005677,80.85111186031584,19.148888139684168,6655,0.0068005677
0.2468969,869785,18005.02777504921,0.6190476190476191,0.003652553,-67.54761904761905,-38.887987244577744,0.38095238095238093,82.21428571428571,0.0,21.761904761904763,336749.71428571426,79.94379405121836,0.005740106,82.10703393495018,17.892966065049823,6697,0.005740106
0.25276434,879979,18118.641511917114,0.475,0.0033913753,-65.825,-37.26946729668826,0.525,81.575,0.0,22.425,334131.2,79.33205414872913,0.005337683,80.67208501695971,19.32791498304028,6737,0.005337683
0.24229431,889770,18235.54990506172,0.6428571428571429,0.0034473115,-67.88095238095238,-39.565116607546265,0.35714285714285715,82.64285714285714,0.0,21.285714285714285,338505.14285714284,80.38127866933354,0.004972812,82.12040094842627,17.879599051573695,6779,0.004972812
0.2590272,899975,18349.333713769913,0.6585365853658537,0.0055718077,-65.6829268292683,-36.347296345852186,0.34146341463414637,81.92682926829268,0.0,22.0,335572.2926829268,79.71361077466051,0.005918222,80.17844607687456,19.821553923125446,6820,0.005918222
0.23292781,909744,18462.707036972046,0.3157894736842105,0.0043725977,-66.97368421052632,-37.977820089179524,0.6842105263157895,83.21052631578948,0.0,20.68421052631579,340830.3157894737,80.93593674604308,0.003999833,80.47798244461933,19.52201755538066,6858,0.003999833
0.22326441,919837,18574.78429222107,0.5121951219512195,0.0048264074,-66.41463414634147,-37.46584274940656,0.4878048780487805,81.46341463414635,0.0,22.51219512195122,333674.14634146343,79.24470756319,0.004647505,81.50352349723474,18.496476502765272,6899,0.004647505
0.23795126,929932,18684.327678203583,0.46153846153846156,0.0028666218,-65.3076923076923,-36.99961798148112,0.5384615384615384,82.0,0.0,21.94871794871795,335872.0,79.7682396299196,0.004695712,79.65759318528868,20.342406814711335,6938,0.004695712
0.2142461,939990,18797.84037423134,0.425,0.005599646,-66.75,-37.89092974719562,0.575,82.45,0.0,21.5,337715.2,80.18507552054265,0.006143039,80.97882951012208,19.021170489877928,6978,0.006143039
0.20970108,949786,18908.064672470093,0.23684210526315788,0.005420677,-66.71052631578948,-37.250647084620475,0.7631578947368421,81.6842105263158,0.0,22.289473684210527,334578.5263157895,79.45484726683317,0.005001925,81.66524494153248,18.334755058467533,7016,0.005001925
