TimestepsSoFar,Fce,meankl,optimgain,entloss,AttNC,AttC,MtR,TimeElapsed,EpisodesSoFar,surrgain,entropy,TtR
2009985,0.16778362049501325,0.0044270437,0.0015989898,0.0,1.3488372093023255,1.6511627906976745,22.304117095494597,8310.49326968193,8971,0.0015989898,0.56807774,115.25581395348837
2019961,0.1655948765854407,0.0051675877,0.0022783107,0.0,1.3953488372093024,1.6046511627906976,22.07515845688325,8352.925303697586,9014,0.0022783107,0.54834604,114.48837209302326
2029961,0.16450000000000004,0.003771579,0.0012656128,0.0,1.775,1.225,23.014583652429423,8393.594101428986,9054,0.0012656128,0.5336073,123.375
2039961,0.19110000000000002,0.0057718935,0.0018552276,0.0,2.325,0.675,26.547746748699307,8434.020528316498,9094,0.0018552276,0.54531133,143.325
2049986,0.15960975609756098,0.0044415034,0.0018292643,0.0,2.097560975609756,0.9024390243902439,21.769918923433405,8474.044749736786,9135,0.0018292643,0.5068953,116.41463414634147
2059909,0.16316878612716765,0.0056891977,0.001889416,0.0,2.125,0.875,22.810654092448797,8516.618976593018,9175,0.001889416,0.46810234,121.275
2069834,0.1875656032164064,0.0034105652,0.0013451815,0.0,1.8636363636363635,1.1363636363636365,24.124180362515496,8556.254647493362,9219,0.0013451815,0.47024578,126.3409090909091
2079943,0.1682181535873714,0.0047362507,0.0018667515,0.0,1.7209302325581395,1.2790697674418605,22.723641551555897,8597.527920246124,9262,0.0018667515,0.45004967,120.4186046511628
2089859,0.18885182524447167,0.006161619,0.0013870789,0.0,2.3658536585365852,0.6341463414634146,26.135954738815503,8639.00889468193,9303,0.0013870789,0.3945943,137.26829268292684
2099762,0.17394836601307187,0.004727599,0.0016816775,0.0,2.2,0.8,23.868634468358753,8679.29794549942,9343,0.0016816775,0.36902073,129.225
2109756,0.1919257789707084,0.0045175804,0.0016070615,0.0,2.4146341463414633,0.5853658536585366,25.743503115835694,8720.718587636948,9384,0.0016070615,0.36753234,137.0487804878049
2119756,0.18289999999999998,0.0041064173,0.0012717376,0.0,2.475,0.525,25.530962507983674,8760.35536313057,9424,0.0012717376,0.37012786,137.175
2129776,0.19744736421457737,0.0040655085,0.0016812215,0.0,2.3333333333333335,0.6666666666666666,25.036254336270414,8801.941682100296,9469,0.0016812215,0.32350656,132.93333333333334
2139831,0.19029711751662973,0.007625661,0.0019051458,0.0,2.4390243902439024,0.5609756097560976,26.02851789237156,8843.629428386688,9510,0.0019051458,0.2445341,139.609756097561
2149831,0.2048,0.0013070625,0.00042075958,0.0,2.675,0.325,28.584971418776792,8884.75289607048,9550,0.00042075958,0.24808055,153.6
2159831,0.19649999999999998,0.005879971,0.0015344025,0.0,2.775,0.225,27.745995593844846,8924.811509609222,9590,0.0015344025,0.31121495,147.375
2169901,0.1868791707159054,0.0037295236,0.0016008179,0.0,2.2857142857142856,0.7142857142857143,25.72284569162215,8965.221016407013,9632,0.0016008179,0.27394027,135.28571428571428
2179901,0.1931,0.0047579063,0.00096679764,0.0,2.55,0.45,27.567181974562637,9005.492106676102,9672,0.00096679764,0.22190768,144.825
2189901,0.20149999999999996,0.006495825,0.0015344018,0.0,2.775,0.225,28.258648180124645,9046.945398330688,9712,0.0015344018,0.18291172,151.125
2199901,0.19769999999999993,0.0062970794,0.00089008105,0.0,2.85,0.15,27.869276798095672,9086.794337272644,9752,0.00089008105,0.11436249,148.275
2209901,0.2137,0.0020250333,0.0007529205,0.0,2.925,0.075,30.11010930332435,9127.326641082764,9792,0.0007529205,0.141289,160.275
2219901,0.19639999999999996,0.006590276,0.0014167461,0.0,2.75,0.25,27.669543493817674,9167.28833270073,9832,0.0014167461,0.07784207,147.3
2229901,0.21160000000000007,0.0033343951,0.0006776774,0.0,2.85,0.15,29.537031410752604,9208.450983285904,9872,0.0006776774,0.081902295,158.7
2239901,0.20479999999999995,0.0064186957,0.00149429,0.0,2.825,0.175,28.67339990555654,9251.180608510971,9912,0.00149429,0.074791126,153.6
2249953,0.20726105558382915,0.007978267,0.0032119553,0.0,2.511627906976744,0.4883720930232558,27.35613061108919,9292.173834562302,9955,0.0032119553,-0.008231194,145.46511627906978
2259900,0.20651878172588828,0.0047774413,0.0011982579,0.0,2.725,0.275,28.533032062589587,9332.223874092102,9995,0.0011982579,0.007256543,154.425
2269900,0.19880000000000003,0.010290968,0.0009831027,0.0,2.925,0.075,27.78781992356832,9371.491736650467,10035,0.0009831027,-0.07750211,149.1
2279900,0.20550000000000002,0.00754524,0.00090893556,0.0,2.9,0.1,29.125619591265597,9414.077927827835,10075,0.00090893556,-0.11580488,154.125
2289895,0.2042989445086688,0.005552166,0.0021938842,0.0,2.533333333333333,0.4666666666666667,25.973091952787367,9454.048686981201,10120,0.0021938842,-0.1411748,136.06666666666666
2299895,0.21580000000000005,0.0017765332,0.00070959475,0.0,2.975,0.025,30.348052303480493,9495.081597805023,10160,0.00070959475,-0.13500829,161.85
2309805,0.2230206316962601,0.0067178328,0.0029094783,0.0,2.7209302325581395,0.27906976744186046,29.373903716828817,9534.76419711113,10203,0.0029094783,-0.12798119,156.48837209302326
2319816,0.20421211057918556,0.007709355,0.001997283,0.0,2.6511627906976742,0.3488372093023256,26.92646111527935,9577.946511745453,10246,0.001997283,-0.20326263,142.95348837209303
2329831,0.23523725413306507,0.0038457902,0.0008306577,0.0,2.7857142857142856,0.21428571428571427,31.21760954822386,9617.340496301651,10288,0.0008306577,-0.18046136,166.0
2339831,0.21779999999999994,0.0024876974,0.0002727478,0.0,2.9,0.1,30.875597063996576,9659.16840171814,10328,0.0002727478,-0.17898011,163.35
2349970,0.2007573258466397,0.0029174539,0.00036538238,0.0,2.8780487804878048,0.12195121951219512,28.142680543265296,9699.828249692917,10369,0.00036538238,-0.17318848,149.0487804878049
2359884,0.21690405322045042,0.006917453,0.0016882833,0.0,2.8048780487804876,0.1951219512195122,29.791574527861112,9740.8746676445,10410,0.0016882833,-0.1035994,158.85365853658536
2369907,0.20496288441145283,0.0019271864,0.0007008143,0.0,2.8536585365853657,0.14634146341463414,28.585203328269532,9780.352880001068,10451,0.0007008143,-0.07918239,153.0
2379934,0.21078229448961153,0.001738809,0.00042981465,0.0,2.8536585365853657,0.14634146341463414,29.36131521562892,9821.537812948227,10492,0.00042981465,-0.073181994,156.8780487804878
2389934,0.2016,0.0039963485,0.00031479722,0.0,2.95,0.05,28.088569222827573,9863.445788145065,10532,0.00031479722,-0.016009346,151.2
2399934,0.19640000000000005,0.0059945993,0.0019397766,0.0,2.85,0.15,27.62760551716122,9903.266114711761,10572,0.0019397766,-0.08125807,147.3
2409934,0.20590000000000003,0.0033798483,0.0005359553,0.0,2.95,0.05,28.804993449431116,9944.811404466629,10612,0.0005359553,-0.039774593,154.425
2419934,0.19629999999999997,0.010756749,0.00094510906,0.0,2.925,0.075,27.46132663238256,9984.573617458344,10652,0.00094510906,-0.045201447,147.225
2429780,0.22167176996445287,0.0034051526,0.0006474258,0.0,2.7560975609756095,0.24390243902439024,29.759597601899564,10028.950276851654,10693,0.0006474258,-0.020690316,157.609756097561
2439780,0.21809999999999996,0.005798276,0.0008345129,0.0,2.85,0.15,30.681499361991957,10068.795643568039,10733,0.0008345129,-0.079579554,163.575
2449780,0.21199999999999997,0.0052927043,0.00063618826,0.0,2.85,0.15,29.51465661224186,10112.074169635773,10773,0.00063618826,-0.13559912,159.0
2459780,0.2185,0.011766354,0.0007665446,0.0,2.9,0.1,30.977433660934032,10151.287598848343,10813,0.0007665446,-0.18577467,163.875
