Ptt,MpbtA,TimestepsSoFar,MpbtN,surrgain,optimgain,entropy,Tmc,entloss,AttC,meankl,EpisodesSoFar,AttNC,TimeElapsed,TtR,Tbt,MtR,Tmt
54.38274287450384,81.88921000876316,2649845,18.110789991236835,0.0029835845,0.0029835845,0.260843,49.46666666666667,0.0,4.816666666666666,0.0064006373,18050,5.183333333333334,91031.37319135666,-101.16666666666667,228420.26666666666,-7.000316831033595,55.766666666666666
54.930664948984024,82.48593736658259,2659870,17.51406263341739,0.0028361531,0.0028361531,0.25014874,48.885245901639344,0.0,5.721311475409836,0.0065191644,18111,4.278688524590164,91376.39510345459,-98.68852459016394,230786.09836065574,-7.1592564664842255,56.34426229508197
55.48247780548044,81.9405355206269,2669988,18.059464479373126,0.002557374,0.002557374,0.26607344,48.26229508196721,0.0,5.114754098360656,0.0063347453,18172,4.885245901639344,91712.37197518349,-102.45901639344262,233001.96721311475,-7.104520399657951,56.885245901639344
54.62853962600976,82.39344645409925,2679954,17.60655354590075,0.0023028594,0.0023028594,0.26062596,49.19672131147541,0.0,4.950819672131147,0.005686439,18233,5.049180327868853,92046.64443302155,-98.68852459016394,229443.1475409836,-7.076390321005728,56.01639344262295
55.64223625686282,83.15668562201218,2689889,16.843314377987806,0.0027596857,0.0027596857,0.2777488,48.06896551724138,0.0,5.379310344827586,0.006574586,18291,4.620689655172414,92365.12556314468,-96.37931034482759,233613.24137931035,-6.936689310242985,57.03448275862069
56.02640706404182,81.69432493378036,2699914,18.305675066219656,0.0024254422,0.0024254422,0.2586974,47.67796610169491,0.0,5.8474576271186445,0.0057661016,18350,4.1525423728813555,92658.48033189774,-107.11864406779661,235346.4406779661,-7.150208129139047,57.45762711864407
55.11925043687079,80.66151663915971,2709944,19.338483360840275,0.0030840882,0.0030840882,0.26796412,48.622950819672134,0.0,5.836065573770492,0.0070916433,18411,4.163934426229508,92928.55086112022,-109.18032786885246,231323.2786885246,-7.864722695100905,56.47540983606557
56.283499430377766,79.23344521634507,2719902,20.766554783654925,0.0024301752,0.0024301752,0.2790156,47.41379310344828,0.0,5.620689655172414,0.0066767363,18469,4.379310344827586,93216.35150647163,-121.89655172413794,236508.6896551724,-7.844604989318769,57.741379310344826
56.13917773897876,79.30133776768689,2729996,20.69866223231309,0.002788922,0.002788922,0.2606401,47.53448275862069,0.0,4.568965517241379,0.006197412,18527,5.431034482758621,93523.70123100281,-120.34482758620689,235731.8620689655,-8.190854791117617,57.55172413793103
54.85089111529371,83.48753386531098,2739996,16.512466134689024,0.002910772,0.002910772,0.26932254,48.96610169491525,0.0,3.7288135593220337,0.005912341,18586,6.271186440677966,93843.20620012283,-93.05084745762711,230417.35593220338,-6.7129319774484335,56.25423728813559
55.3915823524366,78.83836776776984,2749894,21.161632232230122,0.0025601,0.0025601,0.27616975,48.339285714285715,0.0,4.285714285714286,0.0061624767,18642,5.714285714285714,94165.46192336082,-120.0,232521.14285714287,-8.189571625126849,56.767857142857146
55.643070437118986,81.57290261366212,2759965,18.427097386337863,0.001969211,0.001969211,0.263081,48.06896551724138,0.0,5.051724137931035,0.004974372,18700,4.948275862068965,94489.62452292442,-105.86206896551724,233613.24137931035,-7.252214440508593,57.03448275862069
