TimestepsSoFar,TimeElapsed,Fce,TtR,AttC,entropy,optimgain,entloss,EpisodesSoFar,MtR,surrgain,AttNC,meankl
709806,4454.557530403137,0.15053538461538463,88.8,1.9,1.6007891,0.00079076743,0.0,3304,17.100370006848692,0.00079076743,1.1,0.0028644195
719945,4516.585404872894,0.12995649068914708,86.88235294117646,1.803921568627451,1.5984768,0.00045356445,0.0,3355,16.736224633077168,0.00045356445,1.196078431372549,0.003162204
729814,4578.365608215332,0.12510915171784742,90.81818181818181,1.4772727272727273,1.5999343,0.0008617462,0.0,3399,17.225756389281994,0.0008617462,1.5227272727272727,0.0031745788
739846,4640.293154001236,0.11971014492753626,88.76086956521739,1.391304347826087,1.6035181,0.0009029017,0.0,3445,17.17700177775907,0.0009029017,1.608695652173913,0.0014203477
749926,4698.613399505615,0.12880171048463732,93.95454545454545,1.4318181818181819,1.6092612,0.000669421,0.0,3489,17.965938906453214,0.000669421,1.5681818181818181,0.0015459213
759959,4761.808872938156,0.14964091710758376,91.33333333333333,1.3555555555555556,1.6215823,0.00061996025,0.0,3534,17.33254679055866,0.00061996025,1.6444444444444444,0.0012256645
769792,4828.9317145347595,0.1646128172000265,85.4375,1.6041666666666667,1.599853,0.0008175135,0.0,3582,16.427565691695882,0.0008175135,1.3958333333333333,0.005795474
779839,4888.381036043167,0.11614184397163121,86.1063829787234,1.4042553191489362,1.5922931,0.0009244934,0.0,3629,16.295761961771763,0.0009244934,1.5957446808510638,0.0019879618
789849,4957.614188194275,0.11972727272727277,89.79545454545455,1.4090909090909092,1.5994555,0.0010352255,0.0,3673,17.070484192274492,0.0010352255,1.5909090909090908,0.00851241
799935,5017.481754779816,0.12871637645550693,90.06521739130434,1.6521739130434783,1.6013575,0.0006307376,0.0,3719,17.24850372280673,0.0006307376,1.3478260869565217,0.0007431263
809792,5072.550950288773,0.1178947318739408,81.25,1.5208333333333333,1.6085612,0.0014162717,0.0,3767,15.584444919295242,0.0014162717,1.4791666666666667,0.005241424
819991,5135.437695026398,0.15548699454426382,87.76470588235294,1.7450980392156863,1.6085209,0.00080425735,0.0,3818,16.74974411239044,0.00080425735,1.2549019607843137,0.0012457011
829909,5198.048681974411,0.13627663749963326,80.52941176470588,1.7450980392156863,1.6057233,0.0008946777,0.0,3869,15.367510080493956,0.0008946777,1.2549019607843137,0.0017419868
839868,5257.677432060242,0.14177116644155185,83.0625,1.5416666666666667,1.5972484,0.0017387434,0.0,3917,16.1783552247628,0.0017387434,1.4583333333333333,0.0075142407
849908,5322.775412321091,0.10606481481481483,77.875,1.375,1.6084791,0.0007324163,0.0,3965,15.018071847615085,0.0007324163,1.625,0.00058371644
859942,5383.637465953827,0.12034782608695653,88.5,1.434782608695652,1.6120917,0.0007341492,0.0,4011,16.70771511064874,0.0007341492,1.565217391304348,0.00376553
869998,5448.649434328079,0.11943328335832086,84.3913043478261,1.434782608695652,1.5974224,0.00047840207,0.0,4057,16.09698927424766,0.00047840207,1.565217391304348,0.003073286
879756,5507.030371427536,0.14186046511627912,89.02325581395348,1.3255813953488371,1.6291523,0.00039101564,0.0,4100,16.942601349815945,0.00039101564,1.6744186046511629,0.0017039189
889825,5570.334354877472,0.14261454075393915,83.29787234042553,1.3404255319148937,1.6280211,0.00079863385,0.0,4147,16.102096730659117,0.00079863385,1.6595744680851063,0.0035601414
899861,5631.661710977554,0.13603766565914902,83.47826086956522,1.5434782608695652,1.5832546,0.0005178548,0.0,4193,15.920069170685812,0.0005178548,1.4565217391304348,0.0033648943
909991,5693.048446416855,0.13737433155080217,84.47727272727273,1.3409090909090908,1.5967212,0.00012406718,0.0,4237,16.211936918635658,0.00012406718,1.6590909090909092,0.0006629981
919779,5754.523913860321,0.13587479091995222,77.93333333333334,1.3111111111111111,1.5985086,0.00030030467,0.0,4282,14.972167899621963,0.00030030467,1.6888888888888889,0.0026804516
929782,5815.7109961509705,0.12439024390243908,93.29268292682927,1.170731707317073,1.6008716,0.00017173818,0.0,4323,17.30101897283319,0.00017173818,1.829268292682927,0.0023399552
939802,5874.419564247131,0.11467928721776988,77.3265306122449,1.5918367346938775,1.5848383,0.00065763807,0.0,4372,14.74407168092618,0.00065763807,1.4081632653061225,0.00068643026
949901,5931.311447381973,0.12031033138401562,84.73333333333333,1.488888888888889,1.5954909,0.0004811157,0.0,4417,16.146671750385565,0.0004811157,1.511111111111111,0.0015849457
959909,5991.269432544708,0.1179047619047619,88.42857142857143,1.3095238095238095,1.5929276,0.00023837661,0.0,4459,16.762827389104807,0.00023837661,1.6904761904761905,0.0041933125
969936,6062.01966381073,0.14310077519379846,87.76744186046511,1.2790697674418605,1.6066896,0.00049347075,0.0,4502,16.728908550209212,0.00049347075,1.7209302325581395,0.00963713
979928,6116.172726631165,0.1245468026638987,82.40816326530613,1.6734693877551021,1.6000978,0.0007638987,0.0,4551,16.07145834502592,0.0007638987,1.3265306122448979,0.0015787389
989805,6178.723167657852,0.1299931374097198,76.09615384615384,1.7692307692307692,1.5810869,0.0010196137,0.0,4603,14.34460621071223,0.0010196137,1.2307692307692308,0.004555444
999940,6241.1776423454285,0.13502501102501105,94.46511627906976,1.3953488372093024,1.582431,0.0010093353,0.0,4646,18.181221549415973,0.0010093353,1.6046511627906976,0.0021338891
1009921,6305.2696352005005,0.12836287289092793,87.625,1.7916666666666667,1.581675,0.0034252927,0.0,4694,17.26312109376835,0.0034252927,1.2083333333333333,0.0071042003
1019926,6360.151389837265,0.12579844961240313,88.6046511627907,1.3953488372093024,1.6351317,0.0004524343,0.0,4737,16.774791552038455,0.0004524343,1.6046511627906976,0.0046658935
1029780,6422.450471639633,0.14514655244813973,86.06666666666666,1.5333333333333334,1.6400248,0.0009202911,0.0,4782,16.48934613967037,0.0009202911,1.4666666666666666,0.0010395276
1039854,6479.2377207279205,0.11771407206189814,83.6086956521739,1.4565217391304348,1.6247885,0.0009044932,0.0,4828,16.09240056167895,0.0009044932,1.5434782608695652,0.0014122152
1049891,6549.821346759796,0.1097029239766082,81.46666666666667,1.3111111111111111,1.627164,0.0003361847,0.0,4873,15.354279763785815,0.0003361847,1.6888888888888889,0.0035742084
1059923,6603.767248392105,0.11754545454545456,88.1590909090909,1.3181818181818181,1.6136495,0.0006891154,0.0,4917,16.650332620680874,0.0006891154,1.6818181818181819,0.0016393252
1069833,6665.578896999359,0.11863841008416737,78.55102040816327,1.5918367346938775,1.5961994,6.390381e-05,0.0,4966,15.055764389445068,6.390381e-05,1.4081632653061225,0.0035825982
1079871,6728.97336769104,0.12170709382151029,84.91304347826087,1.3478260869565217,1.5707903,0.00012429581,0.0,5012,16.13818875248225,0.00012429581,1.6521739130434783,0.005605759
1089927,6786.179916858673,0.11622526166643811,77.8125,1.6041666666666667,1.5623804,3.1890868e-05,0.0,5060,14.775260729648343,3.1890868e-05,1.3958333333333333,0.006055179
1099956,6844.732214450836,0.1373523497778817,80.36170212765957,1.4042553191489362,1.5583473,0.00050093356,0.0,5107,15.450658482585416,0.00050093356,1.5957446808510638,0.008896191
1109929,6901.706038713455,0.15216904620849203,90.68181818181819,1.3863636363636365,1.5598118,0.0005637807,0.0,5151,17.782557973584517,0.0005637807,1.6136363636363635,0.003900625
1119946,6955.4606075286865,0.12419181708104549,78.18367346938776,1.5918367346938775,1.562418,0.0002604889,0.0,5200,15.192111156444115,0.0002604889,1.4081632653061225,0.007269277
1129823,7015.933294296265,0.11770015576323985,70.875,1.3541666666666667,1.559605,0.0012671946,0.0,5248,13.377691417504147,0.0012671946,1.6458333333333333,0.004080949
1139840,7074.579559087753,0.11606153846153847,83.4,1.4222222222222223,1.577035,0.0006674093,0.0,5293,15.793471277997469,0.0006674093,1.5777777777777777,0.0037719936
1149827,7135.828731298447,0.10920958273837857,79.23913043478261,1.565217391304348,1.5608789,0.00060838624,0.0,5339,15.089360714395381,0.00060838624,1.434782608695652,0.0046425983
1159851,7199.3498203754425,0.11740559440559445,85.56818181818181,1.3636363636363635,1.5569739,0.00024640298,0.0,5383,16.60761931358812,0.00024640298,1.6363636363636365,0.003770726
1169872,7251.635099411011,0.12641493804074186,79.68,1.6,1.5430583,0.00045932058,0.0,5433,15.466812987906332,0.00045932058,1.4,0.0011657494
1179968,7308.616177082062,0.11308779013126839,79.69565217391305,1.3043478260869565,1.5593257,0.0007645317,0.0,5479,15.253868220908915,0.0007645317,1.6956521739130435,0.0060878084
1189829,7371.573382616043,0.14626732687701727,73.35849056603773,1.7358490566037736,1.5608709,0.0012435125,0.0,5532,13.870591412839035,0.0012435125,1.2641509433962264,0.0036891627
1199840,7430.642076015472,0.12336974882142387,79.94117647058823,1.8235294117647058,1.5773951,0.0012869088,0.0,5583,15.368295802254327,0.0012869088,1.1764705882352942,0.007142099
1209794,7488.822092056274,0.11712008964527088,86.4,1.5555555555555556,1.5729576,0.0013501673,0.0,5628,16.947987576603364,0.0013501673,1.4444444444444444,0.0071448586
1219853,7547.797309875488,0.12515427834576773,83.48936170212765,1.3191489361702127,1.5593234,0.0006779465,0.0,5675,16.104363750650343,0.0006779465,1.6808510638297873,0.0071849986
1229848,7608.859344244003,0.13856474095903235,78.5625,1.5,1.5719876,0.00051013083,0.0,5723,15.108115643846816,0.00051013083,1.5,0.0019345573
1239846,7666.16209602356,0.122431704829949,78.24489795918367,1.6326530612244898,1.5797198,0.0005679727,0.0,5772,14.988324965258753,0.0005679727,1.3673469387755102,0.001165535
1249795,7729.612104892731,0.12170371567430388,79.3125,1.5416666666666667,1.5749593,0.00057575735,0.0,5820,15.243974472001929,0.00057575735,1.4583333333333333,0.005282452
1259872,7789.172191858292,0.13936732233283958,77.88,1.54,1.5622641,0.00060687255,0.0,5870,15.151793242798847,0.00060687255,1.46,0.007632419
1269950,7850.007971048355,0.10950406926406925,75.72,1.6,1.5616354,0.0004904424,0.0,5920,14.606646182294186,0.0004904424,1.4,0.0032062298
1279944,7906.384598016739,0.1204747697792237,88.11627906976744,1.3255813953488371,1.559451,0.0006785004,0.0,5963,16.755994317241694,0.0006785004,1.6744186046511629,0.006590646
1289863,7961.506670951843,0.1292223189027184,72.5,1.7592592592592593,1.557774,0.00096976827,0.0,6017,14.057892055818984,0.00096976827,1.2407407407407407,0.0026548686
1299984,8021.814404249191,0.12336246259735287,75.6470588235294,1.5294117647058822,1.5295413,3.0395253e-05,0.0,6068,14.816209617914183,3.0395253e-05,1.4705882352941178,0.0063631176
1309995,8079.124185800552,0.13360403505417026,77.0625,1.3333333333333333,1.5323833,0.00014470266,0.0,6116,14.7570147276666,0.00014470266,1.6666666666666667,0.006251792
1319834,8135.799835443497,0.1212618781709691,84.06818181818181,1.1818181818181819,1.527379,0.0007200094,0.0,6160,16.291315938403997,0.0007200094,1.8181818181818181,0.003260665
1329968,8192.422380447388,0.11970711683896625,73.03636363636363,1.8181818181818181,1.5299177,0.0017663216,0.0,6215,14.097125440447682,0.0017663216,1.1818181818181819,0.006821645
1339924,8256.205999851227,0.14333085755465236,78.79591836734694,1.5918367346938775,1.5139158,0.00014917094,0.0,6264,14.969198723409535,0.00014917094,1.4081632653061225,0.0044304514
1349967,8309.796058654785,0.13593238366571697,81.13333333333334,1.488888888888889,1.4945933,0.0002788208,0.0,6309,15.253453118238298,0.0002788208,1.511111111111111,0.000822803
1359999,8367.064836502075,0.12005331510594668,84.47727272727273,1.3863636363636365,1.4882835,0.00041042228,0.0,6353,15.799667210389522,0.00041042228,1.6136363636363635,0.0025586726
