optimgain,AttNC,EpisodesSoFar,AttC,Fce,surrgain,TimestepsSoFar,entropy,TimeElapsed,MtR,meankl,entloss,TtR
0.0039059287,0.975609756097561,6833,0.024390243902439025,0.12536585365853659,0.0039059287,1389920,0.32610723,10829.043675899506,17.927214316639436,0.0071281744,0.0,31.341463414634145
0.0021938293,0.9523809523809523,6875,0.047619047619047616,0.1279047619047619,0.0021938293,1399922,0.35357252,10896.610162258148,18.16118258182474,0.0041849623,0.0,31.976190476190474
0.0040131044,0.9090909090909091,6919,0.09090909090909091,0.12472727272727274,0.0040131044,1409926,0.36109918,10971.221073150635,17.927024499418522,0.0062056202,0.0,31.181818181818183
0.0020712798,0.9523809523809523,6961,0.047619047619047616,0.133687074829932,0.0020712798,1419934,0.35896307,11056.540185689926,18.67846017895136,0.002692721,0.0,32.595238095238095
0.0024494203,0.9302325581395349,7004,0.06976744186046512,0.13330232558139535,0.0024494203,1429937,0.37898356,11140.026353597641,19.03056360152474,0.005012681,0.0,33.325581395348834
0.002582277,0.9090909090909091,7048,0.09090909090909091,0.12881818181818183,0.002582277,1439941,0.36561581,11216.94247841835,18.290528379087142,0.0045780176,0.0,32.20454545454545
0.0022364785,0.9090909090909091,7092,0.09090909090909091,0.12672727272727277,0.0022364785,1449959,0.3705447,11294.612117290497,18.003121087168672,0.0040322016,0.0,31.681818181818183
0.0028039,0.8478260869565217,7138,0.15217391304347827,0.12384189723320159,0.0028039,1459848,0.35873085,11380.751616477966,17.052673375458195,0.0069604316,0.0,29.847826086956523
0.0026102203,0.9302325581395349,7181,0.06976744186046512,0.12967441860465118,0.0026102203,1469855,0.3360326,11459.731639623642,18.628199818814764,0.0052753678,0.0,32.41860465116279
0.0015785533,0.9302325581395349,7224,0.06976744186046512,0.12483720930232559,0.0015785533,1479858,0.31394967,11527.62024641037,17.82585802513412,0.002299117,0.0,31.209302325581394
0.0039439285,0.9302325581395349,7267,0.06976744186046512,0.12288372093023256,0.0039439285,1489861,0.34873852,11607.058411121368,17.176411003628616,0.004713988,0.0,30.72093023255814
0.0037352906,0.9302325581395349,7310,0.06976744186046512,0.12493023255813954,0.0037352906,1499864,0.34228167,11685.225699663162,17.609579743716782,0.0058156797,0.0,31.232558139534884
0.0015393265,0.9090909090909091,7354,0.09090909090909091,0.13449392318911035,0.0015393265,1509894,0.3578633,11765.684470415115,18.598343346085965,0.0019132843,0.0,32.81818181818182
0.002257286,0.8333333333333334,7402,0.16666666666666666,0.11306060606060607,0.002257286,1519912,0.37145576,11841.519481897354,15.780657757702606,0.0044108885,0.0,27.8125
0.0010529323,0.9090909090909091,7446,0.09090909090909091,0.11918181818181822,0.0010529323,1529916,0.3811185,11925.312092065811,17.210084606611677,0.0048864433,0.0,29.795454545454547
0.00251615,0.9523809523809523,7488,0.047619047619047616,0.12342857142857143,0.00251615,1539918,0.38491416,12008.939462661743,17.251542462822165,0.004887745,0.0,30.857142857142858
0.0022643767,0.9302325581395349,7531,0.06976744186046512,0.12506553911205076,0.0022643767,1549937,0.3417618,12086.68549489975,17.18794589933459,0.005944055,0.0,30.25581395348837
0.0022193335,0.9523809523809523,7573,0.047619047619047616,0.12161904761904765,0.0022193335,1559939,0.32859805,12151.903595685959,17.29261595080582,0.0029104766,0.0,30.404761904761905
0.0020057862,1.0,7613,0.0,0.13360000000000002,0.0020057862,1569939,0.31734172,12226.7202501297,19.05967856365656,0.0036280006,0.0,33.4
0.00249823,0.9302325581395349,7656,0.06976744186046512,0.12493023255813954,0.00249823,1579942,0.30823234,12303.631190538406,17.726764022428632,0.008460773,0.0,31.232558139534884
0.0027917153,0.975609756097561,7697,0.024390243902439025,0.12565853658536588,0.0027917153,1589943,0.3538056,12372.177883148193,17.976388526548913,0.0056060734,0.0,31.414634146341463
0.0029144362,0.9523809523809523,7739,0.047619047619047616,0.13333333333333336,0.0029144362,1599947,0.33938164,12457.32634806633,19.058327694472563,0.0044536744,0.0,33.333333333333336
0.0026410804,1.0,7779,0.0,0.1386,0.0026410804,1609947,0.30208933,12518.604702234268,19.977508577033753,0.0050217994,0.0,34.65
0.002836322,0.975609756097561,7820,0.024390243902439025,0.13395121951219513,0.002836322,1619948,0.31723398,12605.327414751053,19.17848259024828,0.0050352644,0.0,33.48780487804878
0.0027674094,0.9302325581395349,7863,0.06976744186046512,0.13581395348837208,0.0027674094,1629955,0.2996215,12682.876101255417,18.714779219783463,0.0046720067,0.0,32.81395348837209
0.0035958367,1.0,7903,0.0,0.1409,0.0035958367,1639955,0.3141287,12760.879707574844,20.270508905105647,0.0063277124,0.0,35.225
0.0031078125,0.9523809523809523,7945,0.047619047619047616,0.13257142857142862,0.0031078125,1649957,0.3548747,12834.629490852356,18.572008659682393,0.0053426386,0.0,33.142857142857146
0.0029599157,0.9090909090909091,7989,0.09090909090909091,0.12672727272727274,0.0029599157,1659961,0.34187287,12905.03009057045,17.72089950580709,0.0060319193,0.0,31.681818181818183
0.002783453,0.9523809523809523,8031,0.047619047619047616,0.13399999999999998,0.002783453,1669963,0.34599325,12994.943854093552,19.105204342858986,0.0064524156,0.0,33.5
0.0028450836,0.9090909090909091,8075,0.09090909090909091,0.13581818181818187,0.0028450836,1679971,0.35271028,13062.237456321716,19.534936000121636,0.0041294503,0.0,33.95454545454545
0.0035348786,0.8888888888888888,8120,0.1111111111111111,0.13351111111111116,0.0035348786,1689976,0.32313535,13139.05096244812,18.918205609654244,0.0056416155,0.0,33.37777777777778
0.003851529,0.9512195121951219,8161,0.04878048780487805,0.14066947014297732,0.003851529,1699756,0.35981342,13210.446938753128,19.7848416057012,0.0060046935,0.0,34.609756097560975
0.0030055123,0.9090909090909091,8205,0.09090909090909091,0.13163636363636366,0.0030055123,1709762,0.30620947,13289.580321788788,18.448208155661742,0.006212371,0.0,32.90909090909091
0.0048707062,0.9090909090909091,8249,0.09090909090909091,0.13054545454545455,0.0048707062,1719766,0.28137726,13366.52087187767,18.305773190598106,0.006637407,0.0,32.63636363636363
0.0029419234,0.9523809523809523,8291,0.047619047619047616,0.1373333333333333,0.0029419234,1729768,0.29133716,13441.4211602211,19.810611997513195,0.004961203,0.0,34.333333333333336
0.0038483306,0.8888888888888888,8336,0.1111111111111111,0.12835555555555558,0.0038483306,1739797,0.29107162,13506.086463928223,17.986284385349688,0.0055495356,0.0,31.68888888888889
0.0025912032,0.8888888888888888,8381,0.1111111111111111,0.12764444444444445,0.0025912032,1749802,0.23901378,13590.213824510574,18.230689277129844,0.005345437,0.0,31.91111111111111
0.003592987,0.975609756097561,8422,0.024390243902439025,0.139609756097561,0.003592987,1759805,0.22670114,13670.386558055878,19.67631117540217,0.0053065345,0.0,34.90243902439025
0.002572868,0.8888888888888888,8467,0.1111111111111111,0.16411124106562708,0.002572868,1769836,0.2074066,13746.267938137054,19.696981249236305,0.0044879615,0.0,34.08888888888889
0.001739093,0.9302325581395349,8510,0.06976744186046512,0.14260908084163904,0.001739093,1779873,0.20870374,13820.90448641777,19.41497709585496,0.002795648,0.0,34.16279069767442
0.0028571647,1.0,8550,0.0,0.14409999999999998,0.0028571647,1789873,0.17192884,13889.99028134346,20.51533708159417,0.0063872025,0.0,36.025
0.0025010451,0.9302325581395349,8593,0.06976744186046512,0.13932225913621268,0.0025010451,1799896,0.17737634,13970.012881755829,19.407494819973586,0.0049628885,0.0,34.06976744186046
0.0030037928,0.9523809523809523,8635,0.047619047619047616,0.1415795586527294,0.0030037928,1809938,0.14782153,14046.943472862244,19.726039976786854,0.0059751207,0.0,34.666666666666664
0.0042798743,0.975609756097561,8676,0.024390243902439025,0.1450731707317073,0.0042798743,1819939,0.14506263,14116.645155191422,20.465840004552287,0.007438912,0.0,36.26829268292683
0.005557988,0.975609756097561,8717,0.024390243902439025,0.14507317073170733,0.005557988,1829940,0.15022525,14198.002820253372,20.656113696052802,0.006073462,0.0,36.26829268292683
0.0039189863,0.975609756097561,8758,0.024390243902439025,0.14848780487804877,0.0039189863,1839941,0.13745122,14263.473499298096,20.926968615902574,0.00720679,0.0,37.1219512195122
0.0020287079,0.9302325581395349,8801,0.06976744186046512,0.145477096546864,0.0020287079,1849976,0.1300806,14345.509019374847,20.338257268040014,0.0046443962,0.0,35.604651162790695
