EpisodesSoFar,AttC,AttNC,MtR,MpbtN,TimeElapsed,Ptt,TtR,meankl,Tmc,optimgain,TimestepsSoFar,entropy,Tmt,entloss,MpbtA,surrgain,Tbt
18879,2.066666666666667,0.9333333333333333,-27.60201191819388,60.21405381322445,49019.089711904526,74.08054983657998,-137.2,0.0055350414,28.066666666666666,0.006273097,3659803,0.2059887,75.95555555555555,0.0,39.78594618677554,0.006273097,311113.9555555555
18926,2.1702127659574466,0.8297872340425532,-28.00273043963034,60.90566137415833,49137.69166851044,75.07163097566671,-140.61702127659575,0.0055247275,27.0,0.0055148033,3669920,0.19559987,77.0,0.0,39.09433862584167,0.0055148033,315392.0
18972,1.9130434782608696,1.0869565217391304,-28.498556498839083,59.87615833401247,49261.26710939407,74.72441741090937,-137.80434782608697,0.0058246064,27.369565217391305,0.0062639224,3679898,0.18171337,76.6304347826087,0.0,40.123841665987534,0.0062639224,313878.26086956525
19016,1.7272727272727273,1.2727272727272727,-27.088456736241017,58.33387637901305,49381.315376996994,74.16219526717462,-133.22727272727272,0.0055135824,27.977272727272727,0.0057197763,3689772,0.19668303,76.04545454545455,0.0,41.666123620986944,0.0057197763,311482.1818181818
19061,1.9777777777777779,1.0222222222222221,-27.423677767149346,59.58416393247449,49498.89339208603,74.01602150641124,-135.8,0.0059579005,28.133333333333333,0.007001833,3699797,0.21112746,75.88888888888889,0.0,40.415836067525504,0.007001833,310840.8888888889
19106,1.9111111111111112,1.0888888888888888,-27.570276388924462,60.003794031594275,49619.38782405853,74.4735730979947,-137.66666666666666,0.0047729053,27.644444444444446,0.006435341,3709820,0.19656894,76.37777777777778,0.0,39.9962059684057,0.006435341,312843.3777777778
19152,1.8478260869565217,1.1521739130434783,-27.332965216990182,59.2439646478729,49740.18264126778,74.07405359655021,-135.1304347826087,0.0056026713,28.065217391304348,0.0064846333,3719990,0.20407292,75.93478260869566,0.0,40.7560353521271,0.0064846333,311028.8695652174
19198,2.130434782608696,0.8695652173913043,-28.15598744278184,61.89729453761303,49858.22750878334,74.58967463924658,-142.43478260869566,0.00509375,27.52173913043478,0.0057119546,3729975,0.18778154,76.5,0.0,38.102705462386936,0.0057119546,313344.0
19244,2.0434782608695654,0.9565217391304348,-28.32493169964684,61.16250475894903,49980.729614019394,73.81090484608647,-138.7826086956522,0.005001164,28.347826086956523,0.005271877,3739982,0.19899453,75.65217391304348,0.0,38.83749524105095,0.005271877,309871.3043478261
19289,2.088888888888889,0.9111111111111111,-28.702862770918934,62.40723817001885,50105.73355102539,74.28006140864386,-142.73333333333332,0.0051604034,27.844444444444445,0.005855654,3749764,0.18920846,76.15555555555555,0.0,37.59276182998114,0.005855654,311933.15555555554
