Tbt,Tmc,AttNC,AttC,EpisodesSoFar,TimestepsSoFar,Ptt,surrgain,optimgain,TimeElapsed,meankl,Tmt,MpbtA,MpbtN,TtR,MtR,entropy,entloss
336652.1904761905,21.80952380952381,0.6428571428571429,0.35714285714285715,8810,1369882,79.90453111263034,0.006363977,0.006363977,22354.21519613266,0.005372044,82.19047619047619,19.267284305467616,80.73271569453239,-66.38095238095238,-38.37613392228539,0.18058905,0.0
336922.25641025644,21.743589743589745,0.6410256410256411,0.358974358974359,8849,1379825,79.96573664944889,0.006071625,0.006071625,22438.6170668602,0.004081949,82.25641025641026,20.846068927035187,79.15393107296482,-65.1025641025641,-36.702178863940404,0.17112148,0.0
339337.8461538461,21.128205128205128,0.7435897435897436,0.2564102564102564,8888,1389814,80.53573546638827,0.006529617,0.006529617,22518.38360261917,0.006450996,82.84615384615384,20.712896455744122,79.28710354425587,-65.6923076923077,-37.60024124497996,0.17140774,0.0
337552.41025641025,21.58974358974359,0.717948717948718,0.28205128205128205,8927,1399853,80.10980781605822,0.0045070476,0.0045070476,22597.933180093765,0.0033642433,82.41025641025641,20.810431827509532,79.18956817249045,-65.25641025641026,-37.27331429818989,0.16603646,0.0
336626.5263157895,21.789473684210527,0.8947368421052632,0.10526315789473684,8965,1409888,79.91947001811793,0.005335306,0.005335306,22676.90451836586,0.0041518207,82.1842105263158,20.724963196955372,79.27503680304461,-65.1842105263158,-36.89558469441685,0.18072101,0.0
334438.4,22.3,0.625,0.375,9005,1419875,79.44109466906136,0.007002933,0.007002933,22758.860677480698,0.0057357233,81.65,20.283515177373207,79.71648482262681,-65.1,-37.1940548916071,0.17008692,0.0
335656.4210526316,22.026315789473685,0.7631578947368421,0.23684210526315788,9043,1429793,79.69863011901123,0.0060888994,0.0060888994,22843.159764289856,0.0055567184,81.94736842105263,20.908334453251317,79.09166554674866,-64.8157894736842,-37.024880166910584,0.17337358,0.0
338243.36842105264,21.342105263157894,0.8157894736842105,0.18421052631578946,9081,1439759,80.32687733301498,0.005433687,0.005433687,22922.698016643524,0.0048012403,82.57894736842105,21.094512858026178,78.90548714197384,-65.1842105263158,-36.77556567617316,0.17579138,0.0
336486.4,21.85,0.7,0.3,9121,1449995,79.86528479632253,0.0046927305,0.0046927305,23004.69085907936,0.0034557327,82.15,19.89760539742852,80.10239460257148,-65.8,-37.375020687446785,0.1680661,0.0
332218.8108108108,22.89189189189189,0.6756756756756757,0.32432432432432434,9158,1459932,78.89704377694181,0.004893721,0.004893721,23084.07956981659,0.004493421,81.10810810810811,21.527255978554727,78.47274402144527,-63.62162162162162,-35.73398715321219,0.16493876,0.0
334147.36842105264,22.394736842105264,0.7894736842105263,0.21052631578947367,9196,1469969,79.35617093577245,0.0054046144,0.0054046144,23168.47129535675,0.005782843,81.57894736842105,20.361511723725897,79.6384882762741,-64.97368421052632,-36.620330820974694,0.1774058,0.0
333325.8378378378,22.62162162162162,0.7567567567567568,0.24324324324324326,9233,1479925,79.1481289407062,0.005557532,0.005557532,23244.713948965073,0.005079622,81.37837837837837,21.309258497877646,78.69074150212234,-64.05405405405405,-35.45700572599925,0.16598865,0.0
339022.76923076925,21.23076923076923,0.8717948717948718,0.1282051282051282,9272,1489992,80.44383975325782,0.0068516457,0.0068516457,23322.716293096542,0.007627002,82.76923076923077,20.363457703714424,79.63654229628558,-65.92307692307692,-37.509224154920446,0.18244001,0.0
