EpisodesSoFar,TimeElapsed,MtR,Fce,AttNC,entropy,meankl,AttC,optimgain,surrgain,TtR,entloss,TimestepsSoFar
4391,2904.4836144447327,13.346096252179834,0.11428313009771458,0.6557377049180327,0.5095942,0.007887294,0.3442622950819672,0.0026568824,0.0026568824,23.295081967213115,0.0,799921
4443,2938.836035966873,16.83458196522598,0.15517207362771052,0.75,0.5159117,0.00345945,0.25,0.002343596,0.002343596,29.096153846153847,0.0,809998
4495,2975.9657678604126,15.945271358317381,0.13617753292137527,0.7307692307692307,0.4991885,0.007888202,0.2692307692307692,0.0027941924,0.0027941924,27.25,0.0,819774
4553,3015.1384642124176,14.452095679894702,0.1082500169356153,0.6896551724137931,0.50027716,0.014558304,0.3103448275862069,0.0026997398,0.0026997398,24.862068965517242,0.0,829944
4595,3053.6902480125427,17.703259287117287,0.12228571428571433,0.9523809523809523,0.50473005,0.0044832523,0.047619047619047616,0.0015681656,0.0015681656,30.571428571428573,0.0,839946
4648,3090.109989643097,13.888164072342647,0.11599640610961366,0.7358490566037735,0.48483214,0.0047524627,0.2641509433962264,0.0027098595,0.0027098595,24.735849056603772,0.0,849756
4699,3123.0379478931427,14.360949552543689,0.13976470588235293,0.7843137254901961,0.47203574,0.0067596827,0.21568627450980393,0.0022791794,0.0022791794,25.176470588235293,0.0,859767
4747,3156.9355053901672,15.57335756759864,0.11350779727095517,0.8333333333333334,0.47952208,0.0021477356,0.16666666666666666,0.00075247575,0.00075247575,27.3125,0.0,869803
4797,3195.46626496315,15.973852024528417,0.1232875272637466,0.78,0.44123468,0.0033205415,0.22,0.0014742897,0.0014742897,27.52,0.0,879990
4852,3232.8098998069763,14.265668042109796,0.11202607268385134,0.7090909090909091,0.3870547,0.0066791885,0.2909090909090909,0.0033130432,0.0033130432,25.2,0.0,889898
4900,3271.6460494995117,16.37457052829143,0.12731951888878776,0.7916666666666666,0.46130687,0.00738482,0.20833333333333334,0.0028605652,0.0028605652,28.270833333333332,0.0,899894
4949,3305.4572927951813,16.08071197101851,0.11893589792132069,0.8163265306122449,0.45666778,0.003729496,0.1836734693877551,0.0019806686,0.0019806686,28.428571428571427,0.0,909965
5004,3339.9217228889465,15.717905073922587,0.12846795757284585,0.6909090909090909,0.478717,0.005229385,0.3090909090909091,0.0017783792,0.0017783792,27.12727272727273,0.0,919920
5050,3376.8336157798767,19.672339435567597,0.1398799657103905,0.8478260869565217,0.43338302,0.005795732,0.15217391304347827,0.0026719945,0.0026719945,34.19565217391305,0.0,929927
5096,3414.4840943813324,16.872228560094303,0.12158765778401123,0.8695652173913043,0.4018516,0.0056737834,0.13043478260869565,0.002235875,0.002235875,29.782608695652176,0.0,939963
5148,3450.632157802582,15.256866262048922,0.14620179287482377,0.7307692307692307,0.40621635,0.0049934066,0.2692307692307692,0.0017748718,0.0017748718,26.53846153846154,0.0,949937
5192,3485.321093559265,17.871832719826138,0.13051948051948056,0.9090909090909091,0.45604116,0.0067015504,0.09090909090909091,0.0024997834,0.0024997834,31.84090909090909,0.0,959949
5238,3521.519469022751,17.036238057325203,0.12083150998401307,0.8478260869565217,0.47571808,0.003566528,0.15217391304347827,0.0017904404,0.0017904404,29.152173913043477,0.0,969820
5284,3557.794892311096,17.48923462367873,0.12295652173913049,0.8695652173913043,0.4872101,0.0026828933,0.13043478260869565,0.0007397873,0.0007397873,30.73913043478261,0.0,979826
5329,3595.8736913204193,18.750119665125773,0.1347822573561704,0.8888888888888888,0.42739862,0.008324652,0.1111111111111111,0.0020771148,0.0020771148,32.733333333333334,0.0,989933
5380,3633.331990480423,15.560355413653596,0.10789542483660133,0.7843137254901961,0.48816943,0.0065753786,0.21568627450980393,0.0021700792,0.0021700792,26.666666666666668,0.0,999958
5426,3672.400961637497,17.096703015303852,0.12824249012960728,0.8478260869565217,0.48602602,0.006861403,0.15217391304347827,0.001452951,0.001452951,29.869565217391305,0.0,1009815
5474,3705.40749835968,16.95102732799725,0.1439318181818182,0.8333333333333334,0.47279814,0.004395562,0.16666666666666666,0.002165605,0.002165605,29.4375,0.0,1019857
5527,3739.1826808452606,14.994067494696115,0.12301886792452828,0.7547169811320755,0.42031837,0.007886287,0.24528301886792453,0.0031766363,0.0031766363,26.056603773584907,0.0,1029876
5577,3777.071852684021,16.653281511521786,0.11886159677020683,0.78,0.4525756,0.008288285,0.22,0.0026038627,0.0026038627,29.14,0.0,1039929
5627,3813.501420021057,17.313083400245254,0.12630062678062678,0.8,0.396576,0.00797158,0.2,0.0027189818,0.0027189818,30.02,0.0,1049991
5681,3851.280831336975,16.340381551911648,0.12696328516305852,0.7037037037037037,0.43035543,0.0070127975,0.2962962962962963,0.004081366,0.004081366,27.814814814814813,0.0,1059947
5739,3890.387545108795,14.628659436339888,0.11532508768807695,0.6724137931034483,0.39050674,0.007956043,0.3275862068965517,0.003441327,0.003441327,25.344827586206897,0.0,1069976
5783,3925.238799095154,18.300212998800436,0.13167832167832172,0.8863636363636364,0.3440247,0.005596697,0.11363636363636363,0.0019000034,0.0019000034,32.09090909090909,0.0,1079759
5836,3961.0954456329346,15.55007974559669,0.11420781291522725,0.7547169811320755,0.30482507,0.006293663,0.24528301886792453,0.0017870629,0.0017870629,27.30188679245283,0.0,1089870
5882,3998.050236940384,17.912291301153967,0.12829667519181587,0.8695652173913043,0.31947428,0.005845004,0.13043478260869565,0.002115525,0.002115525,31.47826086956522,0.0,1099892
5931,4033.751402616501,17.300201520808724,0.12941496598639454,0.8163265306122449,0.2812958,0.0061573656,0.1836734693877551,0.0028585317,0.0028585317,30.6734693877551,0.0,1109905
5975,4071.633836746216,18.3966788741358,0.13119122257053295,0.9090909090909091,0.32058623,0.0074666915,0.09090909090909091,0.0029024994,0.0029024994,31.931818181818183,0.0,1119937
6025,4107.7212290763855,16.98905487091706,0.12566526691059196,0.78,0.33921728,0.0046669804,0.22,0.0022011902,0.0022011902,29.78,0.0,1129876
6081,4141.110463380814,15.055893372494895,0.12961979004067786,0.7142857142857143,0.33943206,0.011603573,0.2857142857142857,0.0017036049,0.0017036049,26.571428571428573,0.0,1139986
6132,4178.272129058838,14.53610652903653,0.10634300416999379,0.7647058823529411,0.29978934,0.0056330757,0.23529411764705882,0.0024362954,0.0024362954,25.333333333333332,0.0,1149790
