AttC,optimgain,surrgain,Tbt,entloss,MtR,EpisodesSoFar,AttNC,Tmc,Ptt,MpbtA,TtR,Tmt,MpbtN,TimestepsSoFar,entropy,meankl,TimeElapsed
0.21621621621621623,0.0058811354,0.0058811354,334654.2702702703,0.0,-36.33438921864922,5214,0.7837837837837838,22.216216216216218,79.5123631151499,18.90872765268263,-66.29729729729729,81.70270270270271,81.09127234731736,499709,0.29597902,0.0065224823,13544.28027176857
0.23809523809523808,0.0039706053,0.0039706053,338115.04761904763,0.0,-39.137258220292516,5256,0.7619047619047619,21.428571428571427,80.2546607973288,18.690344429013344,-67.14285714285714,82.54761904761905,81.30965557098668,509990,0.23955931,0.0049297395,13655.689372777939
0.10810810810810811,0.005112348,0.005112348,337311.13513513515,0.0,-38.419398140623755,5293,0.8918918918918919,21.594594594594593,80.09613984925483,18.158391418459555,-67.43243243243244,82.35135135135135,81.84160858154044,519790,0.30241293,0.0063903164,13761.377889871597
0.2682926829268293,0.0032611268,0.0032611268,339768.1951219512,0.0,-39.5732171821343,5334,0.7317073170731707,21.024390243902438,80.63093935146149,18.37601472630236,-67.73170731707317,82.95121951219512,81.62398527369764,529786,0.23348594,0.0055502886,13873.625965833664
0.1282051282051282,0.003167407,0.003167407,340913.23076923075,0.0,-38.193242484282266,5373,0.8717948717948718,20.743589743589745,80.89162155888128,18.574436971639944,-67.7948717948718,83.23076923076923,81.42556302836005,539921,0.23066448,0.005421345,13979.188576936722
0.05263157894736842,0.006318666,0.006318666,342447.15789473685,0.0,-39.63678231604599,5411,0.9473684210526315,20.342105263157894,81.26151177197349,16.87809151627727,-69.52631578947368,83.60526315789474,83.12190848372275,549847,0.27243838,0.00781338,14084.056744098663
0.5121951219512195,0.0038780305,0.0038780305,339968.0,0.0,-38.4514869897551,5452,0.4878048780487805,20.951219512195124,80.69580525955631,17.694452642326905,-68.3170731707317,83.0,82.30554735767309,560000,0.27330005,0.006713395,14193.883451223373
0.41025641025641024,0.004916687,0.004916687,340808.2051282051,0.0,-38.26040140719912,5491,0.5897435897435898,20.76923076923077,80.86753775764718,18.687711716217187,-67.66666666666667,83.2051282051282,81.3122882837828,569773,0.26514915,0.0062869545,14305.49225449562
0.375,0.0033305695,0.0033305695,341094.4,0.0,-37.83477936074256,5531,0.625,20.625,80.99063187202316,20.50876534040494,-66.2,83.275,79.49123465959505,579856,0.3076644,0.0061837137,14413.442621707916
0.5348837209302325,0.005152199,0.005152199,335967.25581395347,0.0,-39.40766314992349,5574,0.46511627906976744,21.976744186046513,79.748305949022,18.94670731346564,-66.51162790697674,82.02325581395348,81.05329268653438,589749,0.22971626,0.006764609,14534.765044212341
0.5121951219512195,0.0038962495,0.0038962495,336771.1219512195,0.0,-38.02167885926943,5615,0.4878048780487805,21.78048780487805,79.93174152861246,18.11874199345203,-67.34146341463415,82.21951219512195,81.88125800654797,599863,0.2522851,0.007213282,14646.520557880402
0.21052631578947367,0.0075112074,0.0075112074,334470.7368421053,0.0,-36.80427053483749,5653,0.7894736842105263,22.31578947368421,79.43016953890904,19.298620829895643,-65.92105263157895,81.65789473684211,80.70137917010435,609781,0.29210472,0.00843584,14754.62747335434
0.23809523809523808,0.0057952576,0.0057952576,338992.7619047619,0.0,-38.629328503027295,5695,0.7619047619047619,21.166666666666668,80.49273626952741,18.767331305319626,-67.26190476190476,82.76190476190476,81.2326686946804,619895,0.24318376,0.0068883765,14867.17185497284
0.13157894736842105,0.0022882049,0.0022882049,337704.4210526316,0.0,-37.50838450307106,5733,0.868421052631579,21.473684210526315,80.20483350790923,18.909022530054955,-66.86842105263158,82.44736842105263,81.09097746994503,629938,0.2811274,0.0042290054,14971.105278491974
0.3333333333333333,0.003962395,0.003962395,337237.3333333333,0.0,-39.168283828674284,5775,0.6666666666666666,21.571428571428573,80.1114312807317,18.111937292213202,-67.45238095238095,82.33333333333333,81.88806270778679,639845,0.234145,0.006431498,15087.245025396347
0.07894736842105263,0.0020552704,0.0020552704,336734.3157894737,0.0,-37.46345286675573,5813,0.9210526315789473,21.789473684210527,79.92238640502262,19.246287149309158,-66.39473684210526,82.21052631578948,80.75371285069085,649918,0.24931313,0.004653172,15193.608173370361
0.10526315789473684,0.003990054,0.003990054,337596.63157894736,0.0,-37.71819867096999,5851,0.8947368421052632,21.55263157894737,80.13862548480498,18.479114484364175,-67.21052631578948,82.42105263157895,81.52088551563584,659851,0.25513265,0.0058523812,15300.968661308289
0.07894736842105263,0.0051238076,0.0051238076,338997.8947368421,0.0,-37.98681461405308,5889,0.9210526315789473,21.105263157894736,80.53985374590276,18.180948720918014,-67.76315789473684,82.76315789473684,81.81905127908199,669935,0.22710179,0.0076363035,15409.698389530182
