TimestepsSoFar,surrgain,entropy,TimeElapsed,AttC,TtR,optimgain,AttNC,Tbt,MpbtA,Ptt,Tmt,entloss,Tmc,MpbtN,MtR,EpisodesSoFar,meankl
4229892,0.0015337159,0.13089265,53446.97960329056,0.0,-69.38888888888889,0.0015337159,1.0,337009.77777777775,15.668927638419966,80.00563006370706,82.27777777777777,0.0,21.694444444444443,84.33107236158001,-38.655592192631644,19879,0.0085106995
4239735,0.004818163,0.17617603,53552.409435510635,0.0,-69.91666666666667,0.004818163,1.0,341560.8888888889,16.153421559954527,81.10409440786498,83.38888888888889,0.0,20.5,83.84657844004546,-39.208834693900585,19915,0.011364256
4249865,0.0065416833,0.18371886,53658.56811738014,0.02702702702702703,-68.91891891891892,0.0065416833,0.972972972972973,339968.0,16.97905872741245,80.71925834379024,83.0,0.0,20.91891891891892,83.02094127258755,-37.820552573478,19952,0.010980885
4259778,0.0035848601,0.17638496,53762.90731883049,0.07894736842105263,-67.26315789473684,0.0035848601,0.9210526315789473,337920.0,18.545324780175815,80.25301880902377,82.5,0.0,21.42105263157895,81.45467521982417,-38.67695898419282,19990,0.009207295
4269805,0.0050107366,0.16484357,53868.04761171341,0.02702702702702703,-67.91891891891892,0.0050107366,0.972972972972973,337975.35135135136,17.722256695916176,80.26773011036273,82.51351351351352,0.0,21.405405405405407,82.2777433040838,-37.93078273308419,20027,0.008214611
4279734,0.004150203,0.18894091,53970.04032301903,0.0,-68.10810810810811,0.004150203,1.0,341075.02702702704,18.229928874495894,80.95167630844504,83.27027027027027,0.0,20.675675675675677,81.77007112550412,-38.080369248337306,20064,0.010645054
4289772,0.0054342165,0.16093488,54073.62183403969,0.05128205128205128,-67.07692307692308,0.0054342165,0.9487179487179487,337447.3846153846,18.56803109734818,80.14651355130381,82.38461538461539,0.0,21.53846153846154,81.43196890265183,-37.772222597412124,20103,0.007937039
4299924,0.004530359,0.14234577,54184.112276792526,0.125,-67.325,0.004530359,0.875,336486.4,18.073699408362533,79.88579499365227,82.15,0.0,21.825,81.92630059163746,-38.438391231022024,20143,0.008667066
4309980,0.0039804587,0.1634187,54283.669669151306,0.0,-68.08108108108108,0.0039804587,1.0,337532.54054054053,17.429324734151955,80.16650774685472,82.4054054054054,0.0,21.513513513513512,82.57067526584802,-37.51861623399904,20180,0.00506062
4319847,0.004078057,0.15293042,54386.58318042755,0.05263157894736842,-69.36842105263158,0.004078057,0.9473684210526315,340722.5263157895,16.59558273675025,80.94994608573523,83.1842105263158,0.0,20.657894736842106,83.40441726324975,-39.01270390130739,20218,0.00917848
4329999,0.002872927,0.1434379,54490.78208208084,0.02702702702702703,-67.56756756756756,0.002872927,0.972972972972973,335429.1891891892,17.510270322247546,79.64791663779559,81.89189189189189,0.0,22.08108108108108,82.48972967775245,-37.945627246411526,20255,0.0093494
4339940,0.0040663476,0.15094045,54593.54821443558,0.027777777777777776,-68.83333333333333,0.0040663476,0.9722222222222222,339854.22222222225,17.071130157582626,80.6736285710799,82.97222222222223,0.0,20.97222222222222,82.92886984241737,-37.397647010917154,20291,0.009308208
4349962,0.0046270997,0.16706611,54700.32145500183,0.07894736842105263,-68.76315789473684,0.0046270997,0.9210526315789473,338782.3157894737,16.881966736574622,80.42884802769865,82.71052631578948,0.0,21.236842105263158,83.11803326342539,-38.18046279066515,20329,0.010685902
4359971,0.0043075318,0.15397727,54805.35741567612,0.15789473684210525,-68.86842105263158,0.0043075318,0.8421052631578947,338890.1052631579,16.79928699202587,80.47427624069446,82.73684210526316,0.0,21.18421052631579,83.20071300797413,-38.30690438110292,20367,0.010122551
4369830,0.005350604,0.13947982,54909.940757751465,0.0,-69.88888888888889,0.005350604,1.0,340081.77777777775,15.861699746154232,80.68158014173214,83.02777777777777,0.0,20.97222222222222,84.13830025384576,-38.814685093531786,20403,0.009479242
4379865,0.0032828483,0.15103395,55016.72556900978,0.07894736842105263,-69.10526315789474,0.0032828483,0.9210526315789473,336949.8947368421,16.03053789871953,79.99231583894775,82.26315789473684,0.0,21.710526315789473,83.96946210128046,-38.7568807631606,20441,0.008222472
4389926,0.0038985147,0.16047788,55135.606828689575,0.3023255813953488,-69.18604651162791,0.0038985147,0.6976744186046512,338443.9069767442,16.353266850462372,80.38223467827346,82.62790697674419,0.0,21.27906976744186,83.64673314953762,-39.979380536673126,20484,0.009038581
4399728,0.006329993,0.1521494,55247.191110134125,0.15,-68.625,0.006329993,0.85,339046.4,17.1325725512222,80.54548044332839,82.775,0.0,21.1,82.86742744877778,-39.61906589903785,20524,0.00792427
4409961,0.0027643372,0.17968689,55351.76159739494,0.10526315789473684,-67.02631578947368,0.0027643372,0.8947368421052632,337488.84210526315,18.645760896435558,80.13513908269087,82.39473684210526,0.0,21.55263157894737,81.35423910356445,-36.887808244281125,20562,0.009254802
4419812,0.005451746,0.15712985,55461.240001916885,0.125,-69.625,0.005451746,0.875,339968.0,16.16161816419682,80.7148731190463,83.0,0.0,20.925,83.83838183580319,-40.344840136781706,20602,0.00928562
4429864,0.004092015,0.18049733,55564.52918100357,0.02631578947368421,-68.07894736842105,0.004092015,0.9736842105263158,339968.0,17.952983708509986,80.65868320812876,83.0,0.0,21.0,82.04701629149001,-38.18537883182722,20640,0.0105843535
4439785,0.005593885,0.18903655,55669.31953167915,0.13513513513513514,-65.75675675675676,0.005593885,0.8648648648648649,336757.6216216216,20.02367734961299,79.94846790715924,82.21621621621621,0.0,21.756756756756758,79.97632265038699,-37.01810566179167,20677,0.010533056
4449749,0.0051481444,0.17514715,55786.5976061821,0.2558139534883721,-69.06976744186046,0.0051481444,0.7441860465116279,338634.4186046512,16.467801954038304,80.40874338210295,82.67441860465117,0.0,21.25581395348837,83.5321980459617,-40.32852517110255,20720,0.009331897
4459748,0.0039064307,0.17653102,55896.96572589874,0.275,-65.875,0.0039064307,0.725,337715.2,20.09201037162736,80.16529917202324,82.45,0.0,21.525,79.90798962837263,-37.16745554682844,20760,0.009144269
4469925,0.0037407055,0.19241245,56007.44379353523,0.24390243902439024,-65.48780487804878,0.0037407055,0.7560975609756098,335272.5853658537,20.00493431332725,79.63030302510836,81.85365853658537,0.0,22.097560975609756,79.99506568667273,-37.837339944712056,20801,0.009980173
4479929,0.0052631837,0.19867805,56121.43329668045,0.23809523809523808,-66.16666666666667,0.0052631837,0.7619047619047619,338895.2380952381,20.03113131742135,80.47045799126833,82.73809523809524,0.0,21.19047619047619,79.96886868257863,-37.770900281124185,20843,0.008369805
4489957,0.006089142,0.17675444,56235.25115323067,0.23255813953488372,-66.16279069767442,0.006089142,0.7674418604651163,337872.37209302327,19.841048687908206,80.2172533618947,82.48837209302326,0.0,21.46511627906977,80.15895131209179,-39.74682126731789,20886,0.0077381255
4499755,0.0063372194,0.19750501,56341.07214522362,0.05263157894736842,-67.39473684210526,0.0063372194,0.9473684210526315,342339.36842105264,19.378576373546206,81.23802928783293,83.57894736842105,0.0,20.36842105263158,80.62142362645382,-38.284607420384184,20924,0.01052337
4509738,0.004677498,0.1711174,56463.16072058678,0.4186046511627907,-66.74418604651163,0.004677498,0.5813953488372093,336824.5581395349,18.800689997913967,79.96095208830904,82.23255813953489,0.0,21.74418604651163,81.19931000208605,-38.777850818636445,20967,0.00889519
4519818,0.0043123644,0.1939121,56567.54672765732,0.07692307692307693,-64.8974358974359,0.0043123644,0.9230769230769231,335451.89743589744,20.797066561807277,79.63298548190294,81.8974358974359,0.0,22.102564102564102,79.20293343819273,-36.66766324535747,21006,0.010711465
4529917,0.0040149745,0.18180832,56673.49006462097,0.12195121951219512,-65.6829268292683,0.0040149745,0.8780487804878049,336671.2195121951,20.08905651103972,79.93012243161418,82.1951219512195,0.0,21.78048780487805,79.91094348896027,-38.40883337964088,21047,0.009355768
4540000,0.0031594315,0.1714158,56778.282156705856,0.13157894736842105,-64.89473684210526,0.0031594315,0.868421052631579,333608.4210526316,20.331839198862593,79.25376452306124,81.44736842105263,0.0,22.5,79.66816080113742,-36.84546734764086,21085,0.008615331
4549906,0.0032158638,0.18360518,56879.45793843269,0.07894736842105263,-66.47368421052632,0.0032158638,0.9210526315789473,337812.2105263158,19.424479452012623,80.20980812681405,82.47368421052632,0.0,21.473684210526315,80.5755205479874,-37.47215671841769,21123,0.0099028675
4559902,0.0038359424,0.19408777,56983.0705242157,0.1282051282051282,-65.0,0.0038359424,0.8717948717948718,339547.89743589744,21.601513887394187,80.6231918514168,82.8974358974359,0.0,21.025641025641026,78.39848611260582,-36.680730641787214,21162,0.009565343
4569897,0.0035520112,0.16723996,57088.54061150551,0.07692307692307693,-65.6923076923077,0.0035520112,0.9230769230769231,340178.0512820513,20.889103396151896,80.70462737058553,83.05128205128206,0.0,20.94871794871795,79.11089660384812,-37.70610765532698,21201,0.008409887
4579936,0.0027541686,0.15160918,57193.347839832306,0.05128205128205128,-65.02564102564102,0.0027541686,0.9487179487179487,337237.3333333333,21.036586003987846,80.05781544050683,82.33333333333333,0.0,21.641025641025642,78.96341399601215,-37.35025311121924,21240,0.0087801395
4589986,0.0026382843,0.16196917,57300.25806760788,0.02631578947368421,-65.39473684210526,0.0026382843,0.9736842105263158,336949.8947368421,20.51841784858985,80.01314522934322,82.26315789473684,0.0,21.68421052631579,79.48158215141018,-37.003682282346425,21278,0.009608632
4599890,0.0031701454,0.13762821,57410.45051455498,0.07692307692307693,-66.84615384615384,0.0031701454,0.9230769230769231,337657.4358974359,18.97221767804744,80.1502443506223,82.43589743589743,0.0,21.53846153846154,81.02778232195256,-38.869705547170554,21317,0.0075136214
