TtR,AttNC,Fce,EpisodesSoFar,TimeElapsed,AttC,entropy,meankl,optimgain,TimestepsSoFar,surrgain,MtR,entloss
82.13333333333334,1.6,0.13473015873015873,4245,5342.087315320969,1.4,1.5985115,0.001912327,0.0002830775,909878,0.0002830775,15.574250971928864,0.0
88.71428571428571,1.7619047619047619,0.1182857142857143,4287,5410.223783493042,1.2380952380952381,1.6042475,0.0033701945,5.024872e-05,919888,5.024872e-05,17.176947818115806,0.0
81.12765957446808,1.5957446808510638,0.1160260919993782,4334,5467.628287553787,1.4042553191489362,1.6083575,0.009656546,0.00015905348,929775,0.00015905348,15.749341236086526,0.0
73.90384615384616,1.2307692307692308,0.11295271811782134,4386,5530.760620594025,1.7692307692307692,1.611082,0.0016738538,0.0008103536,939873,0.0008103536,14.354894089016321,0.0
81.23529411764706,1.0784313725490196,0.1228819911968868,4437,5584.37732219696,1.9215686274509804,1.596688,0.0010760312,0.00074984896,949987,0.00074984896,15.647251686257462,0.0
71.05555555555556,1.2777777777777777,0.13959495849936446,4491,5647.796414136887,1.7222222222222223,1.5876487,0.0060228114,0.00053411914,959757,0.00053411914,13.684090419779059,0.0
85.17391304347827,1.5869565217391304,0.14599230608735156,4537,5712.051065206528,1.4130434782608696,1.5682474,0.0063932226,0.00066698814,969881,0.00066698814,16.303262468962497,0.0
83.13333333333334,1.6444444444444444,0.11684742575918815,4582,5768.136379957199,1.3555555555555556,1.5719892,0.0018753923,0.0011048635,979794,0.0011048635,16.08560011034311,0.0
85.56521739130434,1.6304347826086956,0.13978407897500525,4628,5822.6828010082245,1.3695652173913044,1.5586753,0.00087582285,0.0007420898,989842,0.0007420898,16.141539502640654,0.0
89.47826086956522,1.6304347826086956,0.12396135265700482,4674,5885.859651327133,1.3695652173913044,1.5343107,0.002050439,0.00078819273,999880,0.00078819273,17.20165728250004,0.0
83.5909090909091,1.7272727272727273,0.12499318930603849,4718,5942.333988666534,1.2727272727272727,1.5431015,0.0014538665,0.000656605,1009827,0.000656605,16.05002804449609,0.0
