EpisodesSoFar,meankl,TimestepsSoFar,MtR,optimgain,AttNC,surrgain,TimeElapsed,entloss,AttC,entropy,TtR,Fce
11620,0.006392077,2599901,21.154762924841886,0.0042262343,0.9523809523809523,0.0042262343,7712.310508012772,0.0,0.047619047619047616,-0.101623595,36.80952380952381,0.15436991028295374
11660,0.007917756,2609901,22.5273993988619,0.0049061193,1.0,0.0049061193,7738.99808382988,0.0,0.0,-0.11631859,39.4,0.15760000000000002
11700,0.006823652,2619901,22.077739525002023,0.0033277054,1.0,0.0033277054,7766.140627622604,0.0,0.0,-0.079863355,39.125,0.15650000000000003
11743,0.007969099,2629938,19.447112509350507,0.0051815542,0.9302325581395349,0.0051815542,7794.017664909363,0.0,0.06976744186046512,-0.11221749,34.25581395348837,0.14323044397463
11783,0.007438646,2639938,21.261183024617416,0.003968859,1.0,0.003968859,7820.583040237427,0.0,0.0,-0.1307038,37.75,0.15099999999999997
11823,0.009122323,2649938,21.043119361998347,0.0028856017,1.0,0.0028856017,7848.080824136734,0.0,0.0,-0.13494878,37.3,0.14919999999999997
11863,0.007578328,2659938,21.338266114359424,0.00516045,1.0,0.00516045,7875.488572835922,0.0,0.0,-0.11586272,36.875,0.14749999999999996
11904,0.013199952,2669949,21.796206890419608,0.005260655,0.975609756097561,0.005260655,7905.122362375259,0.0,0.024390243902439025,-0.1052808,37.8780487804878,0.15787139689578716
11945,0.0077529144,2679950,20.860427970310912,0.0043019652,0.975609756097561,0.0043019652,7932.528637647629,0.0,0.024390243902439025,-0.14040098,37.1219512195122,0.14848780487804877
11985,0.007322627,2689950,20.07087115032553,0.00277846,1.0,0.00277846,7959.655684709549,0.0,0.0,-0.11201809,35.475,0.14190000000000003
12026,0.0070157014,2699951,20.095786713212426,0.004444601,0.975609756097561,0.004444601,7986.731589078903,0.0,0.024390243902439025,-0.10451898,35.048780487804876,0.14019512195121953
12066,0.0077145873,2709951,20.24754093201505,0.0053033205,1.0,0.0053033205,8012.811861276627,0.0,0.0,-0.11712318,35.75,0.143
12106,0.0065343566,2719951,21.031820256275093,0.0040337914,1.0,0.0040337914,8040.343735218048,0.0,0.0,-0.12026213,36.9,0.1476
12147,0.011201634,2729952,19.932309521486555,0.005606087,0.975609756097561,0.005606087,8066.5477068424225,0.0,0.024390243902439025,-0.12641984,35.46341463414634,0.14185365853658538
12188,0.008394067,2739953,19.895256640000472,0.0055887117,0.975609756097561,0.0055887117,8093.474449396133,0.0,0.024390243902439025,-0.17460041,34.4390243902439,0.1377560975609756
12228,0.0076216096,2749953,19.71637970239361,0.0053720544,1.0,0.0053720544,8119.839754581451,0.0,0.0,-0.15456405,34.925,0.1397
12269,0.009610683,2759954,19.162151753849013,0.0032870162,0.975609756097561,0.0032870162,8145.975927591324,0.0,0.024390243902439025,-0.15974231,33.36585365853659,0.13346341463414635
12310,0.005479225,2769955,20.238089936022877,0.0033234253,0.975609756097561,0.0033234253,8172.733798265457,0.0,0.024390243902439025,-0.15765429,35.048780487804876,0.14019512195121953
12350,0.006015612,2779955,18.848649379896095,0.0044628936,1.0,0.0044628936,8197.89814543724,0.0,0.0,-0.17378417,32.925,0.1317
12392,0.0070228926,2789963,19.708343724312105,0.0046573435,0.9523809523809523,0.0046573435,8224.29117178917,0.0,0.047619047619047616,-0.15378061,34.404761904761905,0.14423129251700684
12433,0.0057295975,2799970,20.409156008849784,0.0024355033,0.975609756097561,0.0024355033,8250.089883804321,0.0,0.024390243902439025,-0.19301644,35.853658536585364,0.146801393728223
12473,0.006549914,2809970,19.55064026285971,0.0017871063,1.0,0.0017871063,8275.770886182785,0.0,0.0,-0.17137922,34.425,0.1377
12513,0.005858102,2819970,19.90438829133719,0.0042567994,1.0,0.0042567994,8300.839154481888,0.0,0.0,-0.17583258,35.025,0.1401
12553,0.0054675466,2829970,20.780611148925658,0.0036969811,1.0,0.0036969811,8327.245153188705,0.0,0.0,-0.14331804,35.8,0.14320000000000005
12593,0.007501424,2839970,19.536520720330024,0.0047951713,1.0,0.0047951713,8353.926727056503,0.0,0.0,-0.11487898,34.525,0.1381
12633,0.0065011573,2849970,20.80880748892936,0.004256413,1.0,0.004256413,8380.439023733139,0.0,0.0,-0.10379719,36.175,0.14470000000000005
12674,0.0077231573,2859971,19.6981708385896,0.0051257354,0.975609756097561,0.0051257354,8407.394438505173,0.0,0.024390243902439025,-0.093296304,34.609756097560975,0.13843902439024391
12716,0.006163636,2869985,19.106602341525168,0.0045864508,0.9523809523809523,0.0045864508,8433.52959895134,0.0,0.047619047619047616,-0.097679384,33.285714285714285,0.13835164835164837
12756,0.0067234137,2879985,19.916076329475825,0.0051743393,1.0,0.0051743393,8460.047797203064,0.0,0.0,-0.096152484,34.675,0.1387
12796,0.006443933,2889985,19.641369307784128,0.004840235,1.0,0.004840235,8485.792666196823,0.0,0.0,-0.111666456,34.325,0.13730000000000003
12839,0.006126381,2899988,19.002578133379195,0.0032890632,0.9302325581395349,0.0032890632,8511.967679738998,0.0,0.06976744186046512,-0.108410776,33.76744186046512,0.1350697674418605
12879,0.005561608,2909988,20.051134863530528,0.0051332414,1.0,0.0051332414,8537.560562849045,0.0,0.0,-0.11678998,35.75,0.14300000000000002
12919,0.0084141325,2919988,20.13356991887817,0.005449633,1.0,0.005449633,8563.189900398254,0.0,0.0,-0.1447042,34.725,0.1389
12959,0.006280164,2929988,20.27828849105655,0.0056235124,1.0,0.0056235124,8588.767293691635,0.0,0.0,-0.1260881,35.05,0.1402
12999,0.007220921,2939988,20.651777606836088,0.0045257644,1.0,0.0045257644,8613.45132613182,0.0,0.0,-0.14640556,36.125,0.14450000000000002
13039,0.0053060693,2949988,20.214003545686865,0.0042083235,1.0,0.0042083235,8638.374035835266,0.0,0.0,-0.1371641,35.625,0.14250000000000002
13080,0.0074798614,2959989,19.884548409232167,0.005685919,0.975609756097561,0.005685919,8663.17645406723,0.0,0.024390243902439025,-0.15359306,34.8780487804878,0.1395121951219512
13120,0.0037229278,2969989,20.26715658870379,0.0024764931,1.0,0.0024764931,8687.625319004059,0.0,0.0,-0.13455218,35.4,0.14159999999999998
13160,0.00533079,2979989,20.877516603214055,0.0037984184,1.0,0.0037984184,8712.597731351852,0.0,0.0,-0.10562874,37.0,0.14800000000000002
13201,0.008943039,2989990,19.679059328046282,0.0040849266,0.975609756097561,0.0040849266,8737.618475198746,0.0,0.024390243902439025,-0.10990816,34.78048780487805,0.1391219512195122
13243,0.005761519,2999992,18.22622734236628,0.004353288,0.9523809523809523,0.004353288,8762.125621080399,0.0,0.047619047619047616,-0.11629423,31.547619047619047,0.12619047619047621
13283,0.0060002315,3009992,20.559944578215728,0.005058847,1.0,0.005058847,8785.146264791489,0.0,0.0,-0.13142453,36.0,0.14400000000000002
13325,0.0057021664,3019994,18.932989819550173,0.0046400344,0.9523809523809523,0.0046400344,8810.158258676529,0.0,0.047619047619047616,-0.13021089,33.142857142857146,0.1325714285714286
13365,0.0053858818,3029994,20.90318925429207,0.0038789215,1.0,0.0038789215,8834.132978439331,0.0,0.0,-0.12909757,36.575,0.14630000000000004
13406,0.006830027,3039995,18.668505701548114,0.0058175637,0.975609756097561,0.0058175637,8859.6427795887,0.0,0.024390243902439025,-0.12065144,32.4390243902439,0.12975609756097561
13446,0.007525279,3049995,20.16500308362938,0.0040015224,1.0,0.0040015224,8884.253535270691,0.0,0.0,-0.15609178,36.025,0.1441
13487,0.007847245,3060000,19.778634671803914,0.005780306,0.975609756097561,0.005780306,8909.158332586288,0.0,0.024390243902439025,-0.19068193,34.58536585365854,0.1431219512195122
13528,0.0062152757,3069756,19.557706243939563,0.0036899948,0.9512195121951219,0.0036899948,8934.62711262703,0.0,0.04878048780487805,-0.18094473,34.51219512195122,0.14282926829268294
13568,0.0064419876,3079756,18.65519065228702,0.0037730606,1.0,0.0037730606,8958.896659612656,0.0,0.0,-0.15306647,33.0,0.132
13608,0.006339936,3089756,19.394546329587392,0.004680359,1.0,0.004680359,8981.14233636856,0.0,0.0,-0.16140044,33.75,0.13500000000000004
13648,0.00759516,3099756,20.90439586140734,0.0056667076,1.0,0.0056667076,9005.482181549072,0.0,0.0,-0.17312443,36.425,0.14570000000000002
13688,0.0069858627,3109756,20.263128547357976,0.0038071563,1.0,0.0038071563,9031.243740081787,0.0,0.0,-0.14864853,35.175,0.1407
13728,0.006428702,3119756,19.440197354951128,0.005217353,1.0,0.005217353,9056.27496933937,0.0,0.0,-0.10770074,34.3,0.13720000000000002
13770,0.0057359915,3129762,19.14520218454258,0.0042810724,0.9523809523809523,0.0042810724,9080.201834440231,0.0,0.047619047619047616,-0.11353038,33.595238095238095,0.13438095238095243
13811,0.0071004564,3139763,18.619656047071917,0.004016307,0.975609756097561,0.004016307,9105.580921173096,0.0,0.024390243902439025,-0.10788728,32.78048780487805,0.13112195121951217
13851,0.007185556,3149763,18.88736921077333,0.0059597986,1.0,0.0059597986,9130.566392660141,0.0,0.0,-0.07580438,33.125,0.1325
13891,0.005558209,3159763,18.9529507682088,0.003401317,1.0,0.003401317,9155.348418951035,0.0,0.0,-0.05569461,33.3,0.13320000000000007
13931,0.0041564344,3169763,18.648505587815684,0.0036242935,1.0,0.0036242935,9180.005136728287,0.0,0.0,-0.039623734,32.525,0.13010000000000002
13971,0.006889586,3179763,20.071738656355045,0.004851174,1.0,0.004851174,9204.820311307907,0.0,0.0,-0.053111922,34.475,0.13790000000000005
14011,0.0051011397,3189763,19.344161979498637,0.0044635246,1.0,0.0044635246,9229.744108438492,0.0,0.0,-0.03518487,34.275,0.13710000000000003
14052,0.005821086,3199764,19.549476722881945,0.005251384,0.975609756097561,0.005251384,9254.641922950745,0.0,0.024390243902439025,-0.009565353,33.97560975609756,0.13590243902439025
14095,0.0056742444,3209767,18.50463563511616,0.0039084777,0.9302325581395349,0.0039084777,9278.790164470673,0.0,0.06976744186046512,-0.02505201,32.0,0.128
14136,0.006626111,3219768,19.820739154128276,0.004680777,0.975609756097561,0.004680777,9303.396199703217,0.0,0.024390243902439025,-0.017029785,34.926829268292686,0.13970731707317074
14176,0.006914128,3229768,20.36742694254128,0.0046630865,1.0,0.0046630865,9327.183824539185,0.0,0.0,-0.026829462,35.225,0.14089999999999997
