entloss,EpisodesSoFar,entropy,surrgain,AttC,AttNC,meankl,TimeElapsed,Fce,TtR,MtR,TimestepsSoFar,optimgain
0.0,8367,1.350086,0.00091517845,1.25,1.75,0.002437577,25200.664826393127,0.11210743801652895,79.63636363636364,15.399712853422766,1809900,0.00091517845
0.0,8409,1.3443109,0.0008997167,1.0238095238095237,1.9761904761904763,0.003918343,25358.369961977005,0.11354578754578756,83.85714285714286,15.93682335155372,1819926,0.0008997167
0.0,8455,1.2994411,0.00056366523,1.2608695652173914,1.7391304347826086,0.0039110365,25488.06905579567,0.11007867494824017,78.65217391304348,15.138913646709955,1829966,0.00056366523
0.0,8500,1.2917506,0.0012092682,1.2,1.8,0.0034326222,25626.155396938324,0.11826737213403883,76.73333333333333,14.883409892271589,1839788,0.0012092682
0.0,8546,1.2976807,0.00084234617,1.0869565217391304,1.9130434782608696,0.0033099987,25764.014142751694,0.10551046698872786,71.6086956521739,13.727258630023545,1849836,0.00084234617
0.0,8590,1.2580568,0.0007445872,1.1590909090909092,1.8409090909090908,0.0035093236,25896.518617153168,0.11547888763678237,79.22727272727273,15.03971692776134,1859922,0.0007445872
0.0,8636,1.2720948,0.00081335247,1.1956521739130435,1.8043478260869565,0.003304832,26036.469883918762,0.11064309395226911,72.91304347826087,13.982131002894352,1869925,0.00081335247
0.0,8681,1.2752713,0.0004277349,1.3333333333333333,1.6666666666666667,0.003059296,26171.35757613182,0.10863510197763071,75.73333333333333,14.609626734191124,1879785,0.0004277349
0.0,8725,1.2612412,0.0013686809,1.1818181818181819,1.8181818181818181,0.0017956501,26314.38829922676,0.12316686343959073,82.43181818181819,15.539020654849434,1889857,0.0013686809
0.0,8771,1.2543936,0.00011352743,1.1956521739130435,1.8043478260869565,0.0020381906,26449.18608212471,0.10807090180943632,75.32608695652173,14.459833691302505,1899993,0.00011352743
0.0,8818,1.2647179,0.0010991537,1.1702127659574468,1.8297872340425532,0.0029982373,26592.59181690216,0.09948437783088242,68.29787234042553,13.076124942871413,1909865,0.0010991537
0.0,8862,1.231326,9.4191484e-05,1.0454545454545454,1.9545454545454546,0.006100821,26723.313702344894,0.11427106885209652,80.31818181818181,15.15818050526925,1919959,9.4191484e-05
0.0,8904,1.2405903,0.000893868,1.0714285714285714,1.9285714285714286,0.004999233,26878.5966091156,0.11209523809523812,84.07142857142857,16.08144012682127,1929969,0.000893868
0.0,8947,1.2650046,0.0010871557,1.0930232558139534,1.9069767441860466,0.0049792062,27006.626848459244,0.1109075458267057,75.90697674418605,14.404811774427014,1939756,0.0010871557
0.0,8996,1.234012,0.0004565501,1.4081632653061225,1.5918367346938775,0.004637102,27135.684351444244,0.11731301725977861,75.9795918367347,14.430879282341094,1949857,0.0004565501
0.0,9041,1.2377938,0.0012241496,1.1333333333333333,1.8666666666666667,0.004239182,27286.264714717865,0.10231649831649832,73.46666666666667,14.02849743297499,1959922,0.0012241496
0.0,9082,1.2638361,0.00075997214,1.1219512195121952,1.8780487804878048,0.002845174,27427.30916428566,0.12532994062765057,88.6829268292683,17.028586993800854,1969812,0.00075997214
0.0,9126,1.2699099,0.0009622434,0.9772727272727273,2.022727272727273,0.0051483554,27560.91397714615,0.13179220779220782,72.81818181818181,13.95023014661686,1979828,0.0009622434
0.0,9173,1.2602541,0.0006596659,1.148936170212766,1.851063829787234,0.0051935944,27706.477803230286,0.11181087470449176,73.59574468085107,14.32619068591201,1989897,0.0006596659
0.0,9217,1.2733122,0.00061468047,1.3636363636363635,1.6363636363636365,0.001009747,27845.001046180725,0.12101175015460731,86.6590909090909,16.488436822455395,1999971,0.00061468047
0.0,9261,1.290723,0.0010182264,1.2272727272727273,1.7727272727272727,0.004472902,27976.189025640488,0.11243499511241449,75.3409090909091,14.673347718152366,2009776,0.0010182264
0.0,9308,1.3107526,0.0008465403,1.446808510638298,1.553191489361702,0.0044127353,28107.85133075714,0.11330788548776319,78.8936170212766,15.241500125987713,2019913,0.0008465403
0.0,9353,1.332201,0.0003972885,1.3555555555555556,1.6444444444444444,0.0026922508,28243.880247831345,0.11402004459409966,81.2,15.61930562059802,2029859,0.0003972885
0.0,9402,1.333083,0.0011120845,1.4489795918367347,1.5510204081632653,0.0034243916,28374.519520521164,0.12830928888071752,75.91836734693878,14.466014223820972,2039954,0.0011120845
0.0,9445,1.3330072,0.00045601756,1.0465116279069768,1.9534883720930232,0.002470998,28515.7520506382,0.11931930601698043,83.44186046511628,15.969448218807516,2049989,0.00045601756
0.0,9488,1.2910278,0.000585262,1.4186046511627908,1.5813953488372092,0.007044073,28657.42296075821,0.12532742709486894,87.83720930232558,16.597016806856924,2059763,0.000585262
0.0,9529,1.2904539,0.0011079261,1.1951219512195121,1.8048780487804879,0.007859823,28800.690462827682,0.11531707317073173,86.48780487804878,16.418929884191524,2069764,0.0011079261
0.0,9576,1.2823877,0.0006029213,1.1914893617021276,1.8085106382978724,0.0029805817,28930.576496124268,0.14459983387642963,73.85106382978724,14.220543043740305,2079829,0.0006029213
0.0,9620,1.298169,0.001050443,1.1818181818181819,1.8181818181818181,0.0035232867,29073.086528539658,0.11535154500671747,80.04545454545455,15.020640866133489,2089937,0.001050443
0.0,9666,1.3209133,0.00065962627,1.1521739130434783,1.8478260869565217,0.0050118715,29201.21890282631,0.11443490156426576,75.0,14.554656459807248,2099790,0.00065962627
0.0,9708,1.3014729,0.0012679484,1.0714285714285714,1.9285714285714286,0.0045157084,29343.72089600563,0.11304761904761908,84.78571428571429,16.225293970034166,2109802,0.0012679484
0.0,9749,1.3111675,0.0013141001,1.0731707317073171,1.9268292682926829,0.003938763,29495.515724420547,0.11346341463414637,85.09756097560975,16.069291650890012,2119803,0.0013141001
0.0,9794,1.2914622,0.00059167785,1.4222222222222223,1.5777777777777777,0.002310716,29638.070405244827,0.11473778791623104,81.8,15.601714025803865,2129757,0.00059167785
0.0,9840,1.2856451,0.0007530164,1.391304347826087,1.608695652173913,0.003303389,29769.134735822678,0.10904347826086959,81.78260869565217,15.407199419056166,2139787,0.0007530164
0.0,9884,1.2907223,0.0010410167,1.0909090909090908,1.9090909090909092,0.0017702044,29903.74955511093,0.11663665151135016,81.47727272727273,15.495831869512408,2149913,0.0010410167
0.0,9929,1.2760011,0.00074695435,1.1555555555555554,1.8444444444444446,0.0016675263,30036.256457805634,0.1337777777777778,77.2,14.569429068674953,2159938,0.00074695435
0.0,9971,1.2583406,0.0003766978,0.9761904761904762,2.0238095238095237,0.004377201,30180.27180457115,0.11461423500840653,80.92857142857143,15.636358271856292,2169895,0.0003766978
0.0,10021,1.2515461,0.0008401217,1.62,1.38,0.005141329,30324.792212963104,0.13785982189234608,85.2,16.264810203122952,2179860,0.0008401217
0.0,10067,1.2387822,0.0006730708,1.3043478260869565,1.6956521739130435,0.0076090866,30460.69106030464,0.12539760554505358,87.78260869565217,16.778606986009336,2189938,0.0006730708
0.0,10110,1.2420244,0.0005452067,1.4186046511627908,1.5813953488372092,0.0020587668,30599.087928771973,0.13013222624149373,92.02325581395348,17.50679941296955,2199816,0.0005452067
0.0,10156,1.2260207,0.0007075134,1.2608695652173914,1.7391304347826086,0.004256795,30727.51875257492,0.1415449373071885,81.84782608695652,15.685695597535513,2209924,0.0007075134
0.0,10206,1.2057438,0.0013454045,1.54,1.46,0.0072121164,30887.52598786354,0.1284514111394942,81.24,15.807156969048286,2219961,0.0013454045
0.0,10247,1.2104493,0.0021373779,0.9512195121951219,2.048780487804878,0.0057080104,31041.619017601013,0.12573064687168614,92.85365853658537,17.792988828368134,2229984,0.0021373779
0.0,10289,1.2110589,0.0021837454,1.0952380952380953,1.9047619047619047,0.0058769286,31203.201041698456,0.11164721663313217,79.28571428571429,15.320014295240592,2239833,0.0021837454
0.0,10332,1.1892757,0.0009386027,1.186046511627907,1.813953488372093,0.002872864,31343.393815517426,0.1325581395348837,82.04651162790698,15.548460322514568,2249844,0.0009386027
