TtR,Ptt,entropy,TimestepsSoFar,AttNC,surrgain,AttC,entloss,Tmt,EpisodesSoFar,Tmc,MtR,MpbtA,meankl,Tbt,optimgain,TimeElapsed,MpbtN
-68.625,80.11625295636152,0.20729238,1699826,0.625,0.008318076,0.375,0.0,82.4,10042,21.575,-39.08051589448595,16.765754656570326,0.004887167,337510.4,0.008318076,27505.14355444908,83.23424534342968
-69.13157894736842,80.11464148137509,0.21325706,1709904,0.7368421052631579,0.008622745,0.2631578947368421,0.0,82.39473684210526,10080,21.57894736842105,-38.51806065430516,16.126288255871096,0.0044995984,337488.84210526315,0.008622745,27616.638051986694,83.87371174412893
-69.48648648648648,80.53082782266831,0.23281352,1719989,0.7567567567567568,0.010677924,0.24324324324324326,0.0,82.86486486486487,10117,21.135135135135137,-38.48323418212847,16.148370669935186,0.00614009,339414.4864864865,0.010677924,27723.042642593384,83.85162933006481
-69.86842105263158,80.48095912956359,0.20357572,1729783,0.6578947368421053,0.008334057,0.34210526315789475,0.0,82.78947368421052,10155,21.18421052631579,-39.80065648385764,15.631763967524645,0.004879442,339105.6842105263,0.008334057,27838.17025923729,84.36823603247534
-69.8157894736842,80.37081273004301,0.21067065,1739758,0.6578947368421053,0.00846994,0.34210526315789475,0.0,82.60526315789474,10193,21.289473684210527,-38.794714407543964,15.495237547678396,0.0035806873,338351.15789473685,0.00846994,27951.391765117645,84.50476245232161
-69.76315789473684,80.57948518406121,0.23847541,1749716,0.5526315789473685,0.011096478,0.4473684210526316,0.0,82.89473684210526,10231,21.07894736842105,-39.137460672361556,15.835749830618475,0.0055384636,339536.84210526315,0.011096478,28059.02145075798,84.16425016938153
-70.275,80.74557528938438,0.21455991,1759969,0.65,0.0076977783,0.35,0.0,83.075,10271,20.9,-39.667975678073276,15.411242456645812,0.0048202765,340275.2,0.0076977783,28171.841673612595,84.58875754335416
-68.97435897435898,80.19876719364576,0.2084551,1769822,0.5128205128205128,0.0070150374,0.48717948717948717,0.0,82.48717948717949,10310,21.487179487179485,-37.62550641566337,16.406818486616764,0.0037698795,337867.4871794872,0.0070150374,28286.5736348629,83.59318151338326
-69.07692307692308,80.07444036999716,0.21694927,1779868,0.5641025641025641,0.0064297346,0.4358974358974359,0.0,82.33333333333333,10349,21.615384615384617,-38.62515215510142,16.12498333635145,0.0034542964,337237.3333333333,0.0064297346,28399.61988735199,83.87501666364855
-68.25,79.49311048029722,0.24746586,1789968,0.5,0.008528534,0.5,0.0,81.75,10389,22.25,-38.530703480493635,16.492009218291184,0.0041773804,334848.0,0.008528534,28518.69038295746,83.50799078170883
-69.02631578947368,80.00662730596322,0.20514563,1799741,0.5789473684210527,0.010383527,0.42105263157894735,0.0,82.23684210526316,10427,21.68421052631579,-39.1277486705497,16.107606743658348,0.0054812324,336842.1052631579,0.010383527,28634.391082286835,83.89239325634163
-69.53846153846153,80.55312868840657,0.2207065,1809949,0.6666666666666666,0.008505853,0.3333333333333333,0.0,82.84615384615384,10466,21.102564102564102,-38.67990667855485,16.086997718465714,0.00428817,339337.8461538461,0.008505853,28742.7928109169,83.9130022815343
-68.21052631578948,80.36243536122026,0.2200081,1819840,0.4473684210526316,0.008425253,0.5526315789473685,0.0,82.6842105263158,10504,21.31578947368421,-37.28578757500858,17.504190438939656,0.004636643,338674.5263157895,0.008425253,28857.354563474655,82.49580956106036
-69.35897435897436,79.64714790159991,0.21402156,1829843,0.6410256410256411,0.00843723,0.358974358974359,0.0,81.87179487179488,10543,22.076923076923077,-39.74398938295848,15.311791293129508,0.0034864945,335346.8717948718,0.00843723,28973.19327688217,84.68820870687051
-69.85,80.58042279566878,0.20607917,1839856,0.575,0.00685898,0.425,0.0,82.875,10583,21.075,-39.08696928041262,15.733573959597805,0.0040881233,339456.0,0.00685898,29083.670067310333,84.2664260404022
