entropy,EpisodesSoFar,surrgain,Fce,TimeElapsed,AttC,MtR,meankl,TtR,entloss,AttNC,optimgain,TimestepsSoFar
7.390006,11637,-2.746582e-09,0.164979242979243,22733.010395765305,6.738095238095238,23.48641655726625,0.008933196,402.14285714285717,0.0,3.261904761904762,-2.746582e-09,2829899
7.2924685,11679,4.577637e-09,0.1624489795918367,22808.97574186325,6.642857142857143,22.909494502304327,0.010174781,397.85714285714283,0.0,3.357142857142857,4.577637e-09,2839923
7.2924685,11720,4.577637e-09,0.17353929539295396,22881.857484579086,6.146341463414634,24.320632632010984,0.010174781,427.3170731707317,0.0,3.8536585365853657,4.577637e-09,2849932
7.2926126,11762,-1.2054444e-08,0.16721386228910168,22967.123685836792,6.642857142857143,23.64136774453867,0.0,405.95238095238096,0.0,3.357142857142857,-1.2054444e-08,2859765
7.2926126,11803,-1.2054444e-08,0.16600832837596669,23040.779638051987,6.926829268292683,23.494498263396885,0.0,407.5609756097561,0.0,3.073170731707317,-1.2054444e-08,2869806
7.390006,11846,9.765625e-09,0.1646788964321826,23120.213632822037,6.604651162790698,23.47171978234836,0.008933204,405.1162790697674,0.0,3.395348837209302,9.765625e-09,2879871
7.4876323,11887,-1.8310546e-09,0.16718449030644153,23195.64683818817,6.902439024390244,23.691390058102456,0.008933196,412.6829268292683,0.0,3.097560975609756,-1.8310546e-09,2889910
7.4876323,11930,-1.8310546e-09,0.16160546003048012,23270.55508875847,6.976744186046512,22.65033191321892,0.008933196,386.74418604651163,0.0,3.0232558139534884,-1.8310546e-09,2899993
7.585129,11970,-5.9509278e-09,0.1692,23345.16706776619,6.175,24.686203310542414,0.008933204,423.0,0.0,3.825,-5.9509278e-09,2909993
7.585129,12012,-5.9509278e-09,0.17236777885757482,23418.53820014,6.595238095238095,23.820162110008805,0.008933204,415.23809523809524,0.0,3.4047619047619047,-5.9509278e-09,2919814
7.585129,12054,-5.9509278e-09,0.1639047619047619,23492.17371058464,6.285714285714286,23.6022018429913,0.008933204,409.76190476190476,0.0,3.7142857142857144,-5.9509278e-09,2929828
7.585129,12095,-5.9509278e-09,0.16848780487804876,23566.8947122097,6.463414634146342,24.26538284885081,0.008933204,421.219512195122,0.0,3.5365853658536586,-5.9509278e-09,2939837
7.591306,12136,-1.5258789e-09,0.16435772357723577,23646.70640873909,6.804878048780488,23.885294528077587,3.707409e-05,407.5609756097561,0.0,3.1951219512195124,-1.5258789e-09,2949882
7.591306,12178,-1.5258789e-09,0.17133333333333334,23722.932054281235,6.0,24.27451545603286,3.707409e-05,421.9047619047619,0.0,4.0,-1.5258789e-09,2959920
7.591306,12219,-1.5258789e-09,0.18468292682926835,23796.362568616867,5.609756097560975,26.610736400198633,3.707409e-05,461.7073170731707,0.0,4.390243902439025,-1.5258789e-09,2969929
7.4936624,12261,1.0223388e-08,0.17987301587301588,23872.924007177353,6.619047619047619,23.748936542093087,0.010174863,410.4761904761905,0.0,3.380952380952381,1.0223388e-08,2979939
7.3960385,12302,5.1879883e-09,0.16424178154825028,23946.080349445343,7.317073170731708,23.31690249999629,0.01017476,400.9756097560976,0.0,2.682926829268293,5.1879883e-09,2989962
7.3960385,12343,5.1879883e-09,0.1676004645760743,24019.15522646904,6.487804878048781,24.240541126041997,0.01017476,416.3414634146341,0.0,3.5121951219512195,5.1879883e-09,2999983
