TimestepsSoFar,TtR,Ptt,entropy,MpbtA,optimgain,surrgain,Tmc,EpisodesSoFar,MtR,AttNC,Tmt,MpbtN,TimeElapsed,Tbt,AttC,entloss,meankl
4569874,-118.8157894736842,61.783721408964155,0.12871552,81.25815922651066,0.0022900708,0.0022900708,41.51315789473684,33178,-8.409123820394784,0.6710526315789473,63.48684210526316,18.741840773489347,65576.48112750053,260042.1052631579,9.328947368421053,0.0,0.004480003
4579904,-111.55844155844156,62.22427154672181,0.124110654,82.53574321609308,0.0028977785,0.0028977785,41.02597402597402,33255,-7.97253616990388,0.6233766233766234,63.935064935064936,17.464256783906897,65688.29267835617,261878.02597402598,9.376623376623376,0.0,0.005317026
4589887,-105.0,61.34566678487335,0.14716431,83.29613500733404,0.0025609846,0.0025609846,41.96052631578947,33331,-7.621550769264907,0.7368421052631579,63.0,16.703864992665967,65797.01730751991,258048.0,9.263157894736842,0.0,0.005600166
4599981,-105.71428571428571,61.1374243572005,0.12667373,83.09598374083873,0.0018687301,0.0018687301,42.1948051948052,33408,-7.489556522815718,0.5714285714285714,62.79220779220779,16.90401625916129,65909.78591418266,257196.8831168831,9.428571428571429,0.0,0.0036498304
4609923,-100.93333333333334,61.770705973588335,0.14815624,84.0533655811297,0.0023407664,0.0023407664,41.50666666666667,33483,-7.474075643946617,0.92,63.44,15.946634418870305,66018.84940624237,259850.24,9.08,0.0,0.005473755
4619883,-115.58441558441558,60.33952495459765,0.13383654,81.26649552507286,0.002363027,0.002363027,43.03896103896104,33560,-8.143808522464692,0.5064935064935064,61.94805194805195,18.733504474927166,66127.03877902031,253739.22077922078,9.493506493506494,0.0,0.0049739573
4629931,-121.92307692307692,61.881559051844704,0.13223447,80.91592038937029,0.0018452207,0.0018452207,41.3974358974359,33638,-8.589989365342834,0.5384615384615384,63.57692307692308,19.084079610629693,66238.21566033363,260411.07692307694,9.461538461538462,0.0,0.0033543308
4639888,-108.42105263157895,60.360588818967926,0.12187004,82.42939957180351,0.0023558645,0.0023558645,43.03947368421053,33714,-7.769959867823402,0.6447368421052632,62.0,17.570600428196457,66344.72166204453,253952.0,9.355263157894736,0.0,0.005082749
4649895,-97.53246753246754,60.94807973021578,0.14454846,84.27195479373756,0.0026894363,0.0026894363,42.38961038961039,33791,-7.246957952189866,0.8181818181818182,62.58441558441559,15.728045206262411,66459.22217917442,256345.76623376625,9.181818181818182,0.0,0.004398544
4659873,-99.21052631578948,59.321041177095616,0.1392203,83.50584962484366,0.001968229,0.001968229,44.13157894736842,33867,-7.352593802462269,0.9473684210526315,60.88157894736842,16.49415037515632,66571.18758678436,249370.94736842104,9.052631578947368,0.0,0.003215655
4669989,-96.3157894736842,59.75879130554085,0.14336163,84.18377586579756,0.002531647,0.002531647,43.671052631578945,33943,-7.090877129411288,0.881578947368421,61.3421052631579,15.816224134202443,66680.59721517563,251257.26315789475,9.118421052631579,0.0,0.005966471
4679974,-99.73684210526316,59.52001775396133,0.14831372,83.56391116203717,0.0025569194,0.0025569194,43.93421052631579,34019,-7.234472896659969,0.7368421052631579,61.10526315789474,16.43608883796284,66791.09186077118,250287.15789473685,9.263157894736842,0.0,0.004516045
4689898,-108.05194805194805,60.65900209015437,0.15181416,82.651427750113,0.002988962,0.002988962,42.701298701298704,34096,-7.852909703129573,0.5454545454545454,62.285714285714285,17.34857224988698,66897.50860524178,255122.2857142857,9.454545454545455,0.0,0.0050033946
4699977,-108.60759493670886,59.73486243141975,0.14324743,82.09419430675463,0.0029432096,0.0029432096,43.69620253164557,34175,-7.685356307533768,0.46835443037974683,61.31645569620253,17.905805693245345,67002.43363451958,251152.20253164557,9.531645569620252,0.0,0.004526846
4709946,-89.60526315789474,60.064398341946166,0.14606507,85.47887577513109,0.0027448041,0.0027448041,43.35526315789474,34251,-6.526731714421182,1.131578947368421,61.671052631578945,14.521124224868899,67108.26841068268,252604.63157894736,8.868421052631579,0.0,0.0048717814
4719905,-94.0,60.90220828420246,0.14977872,84.92807002578655,0.0027175278,0.0027175278,42.45333333333333,34326,-6.767952642704539,1.0,62.56,15.071929974213438,67215.15964865685,256245.76,9.0,0.0,0.0056531243
4729973,-102.17948717948718,61.17824438498735,0.14766541,83.63924700192378,0.002361154,0.002361154,42.14102564102564,34404,-7.295206794712742,0.6282051282051282,62.82051282051282,16.360752998076176,67326.79412126541,257312.8205128205,9.371794871794872,0.0,0.0049718632
4739930,-117.59493670886076,61.55830273588152,0.14443226,81.3925691946864,0.0019182018,0.0019182018,41.734177215189874,34483,-8.125841670445146,0.5569620253164557,63.21518987341772,18.607430805313577,67439.87354159355,258929.41772151898,9.443037974683545,0.0,0.0036199659
4749901,-112.65822784810126,60.97711636235615,0.15037222,81.79249608999102,0.0026665223,0.0026665223,42.36708860759494,34562,-7.978386660633697,0.6708860759493671,62.620253164556964,18.20750391000893,67547.26164698601,256492.55696202532,9.329113924050633,0.0,0.0049738316
4759940,-105.71428571428571,62.380226079946105,0.13809972,83.58306897749969,0.0021377918,0.0021377918,40.857142857142854,34639,-7.552864276403309,0.7142857142857143,64.0909090909091,16.4169310225003,67651.2740573883,262516.36363636365,9.285714285714286,0.0,0.005127706
4769902,-98.2051282051282,62.34688075032401,0.14743403,84.76158239961794,0.0027605572,0.0027605572,40.87179487179487,34717,-7.039023081380444,0.6410256410256411,64.01282051282051,15.23841760038203,67756.95446634293,262196.5128205128,9.35897435897436,0.0,0.0040862984
4779927,-119.87341772151899,61.78551868881153,0.13800676,81.11338666431139,0.0020948425,0.0020948425,41.49367088607595,34796,-8.424616365943569,0.6455696202531646,63.46835443037975,18.88661333568859,67863.4294257164,259966.37974683545,9.354430379746836,0.0,0.0050884597
4789941,-116.92307692307692,62.48616547844891,0.14886576,81.5613226463888,0.00299339,0.00299339,40.76923076923077,34874,-8.161443595226963,0.48717948717948717,64.24358974358974,18.438677353611194,67968.66721868515,263141.74358974356,9.512820512820513,0.0,0.0052707684
4799961,-103.76623376623377,62.33757844558249,0.14373448,83.72924913553764,0.0024285642,0.0024285642,40.90909090909091,34951,-7.469302780228406,0.7142857142857143,64.05194805194805,16.270750864462336,68070.60898447037,262356.7792207792,9.285714285714286,0.0,0.00522536
