meankl,MtR,AttC,EpisodesSoFar,TimestepsSoFar,AttNC,TtR,surrgain,optimgain,entloss,entropy,TimeElapsed,Fce
0.004317851,17.736254561717267,1.075,9968,2229764,1.925,93.45,0.0012836263,0.0012836263,0.0,0.9897905,9001.07003736496,0.12764827586206898
0.005059283,16.927108670219887,1.0930232558139534,10011,2239843,1.9069767441860466,88.53488372093024,0.0015571816,0.0015571816,0.0,0.995497,9041.264710187912,0.12320843564928502
0.0045553427,15.968236582503906,0.9047619047619048,10053,2249865,2.0952380952380953,84.28571428571429,0.0015099024,0.0015099024,0.0,1.0374604,9080.893148183823,0.11549659863945581
0.0028330823,18.439229267573165,1.0714285714285714,10095,2259903,1.9285714285714286,96.07142857142857,0.0015932785,0.0015932785,0.0,1.0522583,9121.511609315872,0.1304353741496599
0.004370849,17.847172408760407,1.3409090909090908,10139,2269941,1.6590909090909092,94.43181818181819,0.0020720053,0.0020720053,0.0,1.0667694,9161.606216907501,0.13376308539944903
0.0034051978,20.07583843425994,1.5116279069767442,10182,2279974,1.4883720930232558,104.5813953488372,0.0017779962,0.0017779962,0.0,1.0678099,9202.256923913956,0.14921963824289408
0.004865985,22.10699786249875,1.325,10222,2289974,1.675,114.825,0.0021201936,0.0021201936,0.0,1.0787994,9241.834514379501,0.1531
0.003323008,19.1578414306557,1.4523809523809523,10264,2299763,1.5476190476190477,101.0,0.0011418472,0.0011418472,0.0,1.0581666,9282.690613269806,0.14384440955869526
0.0042299205,19.157198986887995,1.2380952380952381,10306,2309773,1.7619047619047619,100.85714285714286,0.00201178,0.00201178,0.0,1.0553099,9322.250132083893,0.13447619047619047
0.0035100754,19.081821931020176,1.2093023255813953,10349,2319790,1.7906976744186047,100.95348837209302,0.0014524312,0.0014524312,0.0,1.0646942,9362.758910417557,0.14320507399577168
0.0027118435,18.6700865273529,1.4651162790697674,10392,2329835,1.5348837209302326,101.02325581395348,0.0014127897,0.0014127897,0.0,1.0615079,9403.690308570862,0.13848426812585501
0.0036568919,20.220696254841066,1.1951219512195121,10433,2339838,1.8048780487804879,106.02439024390245,0.0013703591,0.0013703591,0.0,1.0667106,9443.497106075287,0.1413658536585366
