optimgain,Fce,entloss,TimestepsSoFar,TtR,entropy,AttC,meankl,MtR,AttNC,surrgain,EpisodesSoFar,TimeElapsed
0.001818688,0.1476,0.0,809814,110.7,0.80877787,1.125,0.0030171557,20.71095120122509,1.875,0.001818688,3540,3341.942456007004
0.0017740758,0.14721951219512197,0.0,819815,110.41463414634147,0.82598466,1.146341463414634,0.003954142,21.10334459083308,1.853658536585366,0.0017740758,3581,3383.038407564163
0.0019744548,0.17048799685163318,0.0,829937,108.78571428571429,0.7907065,1.2142857142857142,0.003944076,20.862278352881646,1.7857142857142858,0.0019744548,3623,3424.7163729667664
0.0021228301,0.1526,0.0,839937,114.45,0.79803985,1.0,0.0050760466,21.991336514966882,2.0,0.0021228301,3663,3465.2270255088806
0.0017326426,0.1533658536585366,0.0,849962,113.04878048780488,0.7888741,1.1951219512195121,0.0041910904,21.577202329397725,1.8048780487804879,0.0017326426,3704,3506.5411508083344
0.0021240981,0.1539186991869919,0.0,859977,114.29268292682927,0.75764686,1.170731707317073,0.005084933,21.609834140171213,1.829268292682927,0.0021240981,3745,3547.3521015644073
0.002116351,0.14850320924261876,0.0,869996,110.48780487804878,0.72771657,0.975609756097561,0.0047189887,21.007549386543594,2.024390243902439,0.002116351,3786,3588.1842000484467
0.0015946047,0.1517,0.0,879996,113.775,0.7277818,1.075,0.0034285777,21.684363200190912,1.925,0.0015946047,3826,3630.1398968696594
0.002273073,0.16210000000000002,0.0,889996,121.575,0.7209079,0.75,0.005864677,22.932804357702526,2.25,0.002273073,3866,3670.885145664215
0.0017819883,0.16004665959703074,0.0,899784,117.14634146341463,0.72182375,1.170731707317073,0.0029316559,21.857982420276205,1.829268292682927,0.0017819883,3907,3711.956290960312
0.0016499519,0.15909273182957392,0.0,909806,116.71428571428571,0.72656244,1.3095238095238095,0.0038554335,22.28913015735488,1.6904761904761905,0.0016499519,3949,3753.2437131404877
0.0022776916,0.16028571428571428,0.0,919840,117.0,0.68528306,1.2142857142857142,0.005106243,22.557767599337073,1.7857142857142858,0.0022776916,3991,3793.914834022522
0.0021615757,0.1593766233766234,0.0,929876,115.14285714285714,0.63905793,1.1428571428571428,0.005100771,22.249877819558524,1.8571428571428572,0.0021615757,4033,3834.545646905899
0.0025907943,0.15921951219512195,0.0,939889,119.41463414634147,0.5951155,1.0731707317073171,0.005018442,22.747487377298697,1.9268292682926829,0.0025907943,4074,3875.288667678833
0.0022959483,0.1695,0.0,949889,127.125,0.59387743,0.9,0.006712636,24.019401347483203,2.1,0.0022959483,4114,3917.234925508499
