EpisodesSoFar,MtR,meankl,TimeElapsed,AttNC,Fce,TimestepsSoFar,entloss,surrgain,optimgain,AttC,entropy,TtR
4693,23.808035823480033,0.008933204,11017.700092792511,3.4634146341463414,0.16923827392120075,1119977,0.0,1.0154724e-07,1.0154724e-07,6.536585365853658,4.0739794,412.6829268292683
4733,22.861524243178273,0.008933204,11109.248095273972,3.575,0.1575,1129977,0.0,4.8950193e-07,4.8950193e-07,6.425,4.1716156,393.75
4773,23.699994964400837,0.008933196,11207.261865615845,3.3,0.1675,1139977,0.0,1.1219788e-06,1.1219788e-06,6.7,4.2692156,418.75
4814,23.245899101344527,0.01017476,11300.559896469116,3.1951219512195124,0.1628292682926829,1149994,0.0,1.1291504e-06,1.1291504e-06,6.804878048780488,4.1716156,407.0731707317073
4855,23.259546989544713,0.008933416,11394.26617360115,3.292682926829268,0.16533023615950443,1159788,0.0,2.3773194e-07,2.3773194e-07,6.7073170731707314,4.2692156,397.8048780487805
4895,24.486424967234914,0.008933196,11488.10118174553,3.525,0.1701,1169788,0.0,8.6532594e-07,8.6532594e-07,6.475,4.366755,425.25
4937,21.799973167350977,0.010174863,11591.535541296005,3.3095238095238093,0.15455026455026455,1179824,0.0,5.203247e-07,5.203247e-07,6.690476190476191,4.2692156,380.4761904761905
4978,23.068423774463152,0.010174781,11679.311455726624,3.2439024390243905,0.15999999999999998,1189837,0.0,6.124878e-07,6.124878e-07,6.7560975609756095,4.1716156,400.0
5018,21.60916177988343,0.008933416,11781.043545246124,3.275,0.1516,1199837,0.0,2.34375e-07,2.34375e-07,6.725,4.2692156,379.0
5060,21.508177974672154,0.010174751,11874.736956119537,2.9047619047619047,0.15649380733386864,1209959,0.0,2.8411864e-07,2.8411864e-07,7.095238095238095,4.1716156,375.23809523809524
5101,22.702939853599208,0.008933204,11972.86400103569,3.317073170731707,0.15832873806998934,1219982,0.0,4.2022705e-07,4.2022705e-07,6.682926829268292,4.2692156,393.4146341463415
5142,21.877740376033998,0.010174863,12067.487041950226,2.5609756097560976,0.153201540436457,1229756,0.0,3.0181886e-07,3.0181886e-07,7.439024390243903,4.1716156,377.0731707317073
5183,24.076700003165186,0.008933204,12165.939399242401,3.975609756097561,0.16692682926829272,1239761,0.0,3.6880493e-07,3.6880493e-07,6.024390243902439,4.2692156,417.3170731707317
5224,22.29599015135728,0.008933204,12251.566719770432,3.5609756097560976,0.15970731707317073,1249776,0.0,1.738739e-07,1.738739e-07,6.439024390243903,4.366755,387.8048780487805
5266,24.16003291613037,0.008933204,12345.600403785706,3.9761904761904763,0.1727165532879818,1259804,0.0,6.878662e-07,6.878662e-07,6.023809523809524,4.4643555,418.3333333333333
5309,22.765621257169155,0.010174781,12433.742579460144,3.302325581395349,0.16293676967697424,1269915,0.0,3.3721925e-08,3.3721925e-08,6.6976744186046515,4.366755,394.1860465116279
5349,23.104285968955203,0.008933204,12526.770734071732,3.4,0.15980000000000003,1279915,0.0,1.5884399e-07,1.5884399e-07,6.6,4.4643555,399.5
5390,23.689054151648175,0.010174863,12621.402728319168,3.4634146341463414,0.16587533875338756,1289960,0.0,4.824829e-07,4.824829e-07,6.536585365853658,4.366755,410.2439024390244
5430,21.582401401110417,0.00893351,12718.027994632721,3.4,0.15189999999999998,1299960,0.0,3.3882142e-07,3.3882142e-07,6.6,4.4643555,379.75
5472,21.89740773021864,0.008933067,12814.229359388351,2.857142857142857,0.1652810371614358,1309787,0.0,-6.1035155e-09,-6.1035155e-09,7.142857142857143,4.5619946,378.3333333333333
5513,23.176438256273222,0.008933204,12912.38235116005,3.658536585365854,0.16152568759730157,1319834,0.0,7.69043e-08,7.69043e-08,6.341463414634147,4.659492,401.7073170731707
5553,21.871661071904832,0.010174781,13003.515811443329,2.825,0.1545,1329834,0.0,5.996704e-08,5.996704e-08,7.175,4.5619946,386.25
5593,24.030706439839413,0.01017476,13095.649533033371,3.0,0.1657,1339834,0.0,3.4988403e-07,3.4988403e-07,7.0,4.4643555,414.25
5635,23.532925345934114,0.008933196,13190.041774272919,3.0952380952380953,0.16648366013071897,1349866,0.0,3.5888672e-07,3.5888672e-07,6.904761904761905,4.5619946,405.95238095238096
5677,22.290412010661118,0.010174781,13281.750808000565,2.8095238095238093,0.1579804305283757,1359964,0.0,2.4261476e-07,2.4261476e-07,7.190476190476191,4.4643555,381.42857142857144
5718,23.53191633039755,0.008933102,13376.615470647812,3.731707317073171,0.16095947185035764,1369854,0.0,6.669617e-07,6.669617e-07,6.2682926829268295,4.5619593,398.5365853658537
5759,22.642770283336183,0.010174863,13466.339457511902,3.4634146341463414,0.15929046563192906,1379865,0.0,2.1697998e-07,2.1697998e-07,6.536585365853658,4.4643555,392.9268292682927
5800,22.833480049947962,0.01017476,13556.456779241562,3.4634146341463414,0.1638499061913696,1389904,0.0,7.6782226e-07,7.6782226e-07,6.536585365853658,4.366755,401.7073170731707
5841,23.290652173316126,0.008933416,13647.410652637482,3.1951219512195124,0.16746883468834692,1399913,0.0,2.1743774e-07,2.1743774e-07,6.804878048780488,4.4643555,405.609756097561
5882,20.99054596515195,0.008933204,13738.176120758057,2.951219512195122,0.15092447622064345,1409767,0.0,1.2786865e-07,1.2786865e-07,7.048780487804878,4.5619593,364.390243902439
5924,23.102858490275743,0.008933204,13823.650815963745,3.357142857142857,0.1625957576869002,1419827,0.0,4.6173096e-07,4.6173096e-07,6.642857142857143,4.659492,402.3809523809524
