TimestepsSoFar,MtR,Tbt,MpbtA,EpisodesSoFar,MpbtN,Tmc,surrgain,meankl,AttNC,entloss,Tmt,AttC,Ptt,TtR,optimgain,TimeElapsed,entropy
2959943,-35.853744967157866,335661.9487179487,23.87927760972217,14817,76.12072239027785,22.0,0.0036794099,0.009700689,0.9487179487179487,0.0,81.94871794871794,0.05128205128205128,79.72153184476345,-62.41025641025641,0.0036794099,40280.74177598953,0.17345223
2969902,-38.10227038939975,336919.81395348837,22.041044106194217,14860,77.95895589380578,21.74418604651163,0.0048890198,0.009274097,0.7674418604651163,0.0,82.25581395348837,0.23255813953488372,79.96787873074827,-64.11627906976744,0.0048890198,40392.666751623154,0.15338396
2979968,-37.24085415071383,337822.4761904762,22.220817078613486,14902,77.77918292138654,21.452380952380953,0.0053781373,0.009816362,0.7619047619047619,0.0,82.47619047619048,0.23809523809523808,80.22682836203748,-64.14285714285714,0.0053781373,40504.71718740463,0.15062669
2989793,-35.74377019379505,334191.58974358975,23.314805947496783,14941,76.6851940525032,22.41025641025641,0.0018303583,0.008113871,0.8461538461538461,0.0,81.58974358974359,0.15384615384615385,79.3460728356452,-62.58974358974359,0.0018303583,40615.15266776085,0.1408616
2999751,-35.34075108331958,335225.2631578947,24.200402917799053,14979,75.79959708220095,22.13157894736842,0.0031554687,0.009214783,0.9210526315789473,0.0,81.84210526315789,0.07894736842105263,79.60259907751549,-62.026315789473685,0.0031554687,40719.10871100426,0.14801265
3009854,-35.37831335914606,336292.10256410256,24.37276444844,15018,75.62723555155999,21.897435897435898,0.0031179504,0.008589203,0.8205128205128205,0.0,82.1025641025641,0.1794871794871795,79.82170472200987,-62.1025641025641,0.0031179504,40823.789216041565,0.13437134
3019978,-36.08479213183916,335977.0256410256,23.13466107853881,15057,76.86533892146119,21.974358974358974,0.0032338272,0.010846674,0.9743589743589743,0.0,82.02564102564102,0.02564102564102564,79.75144546668635,-63.07692307692308,0.0032338272,40929.39379429817,0.14611144
3029766,-36.910246683461715,336771.1219512195,21.652095869537607,15098,78.34790413046238,21.75609756097561,0.0053873872,0.009132102,0.7073170731707317,0.0,82.21951219512195,0.2926829268292683,79.9514792874024,-64.41463414634147,0.0053873872,41040.10361075401,0.13242011
3040000,-35.5507086205158,334296.6153846154,22.617404313611285,15137,77.38259568638871,22.384615384615383,0.0034354127,0.011355333,0.9487179487179487,0.0,81.61538461538461,0.05128205128205128,79.37051435138922,-63.15384615384615,0.0034354127,41146.044826984406,0.13890752
3049822,-39.14220749197065,336523.63636363635,20.523679112778993,15181,79.476320887221,21.795454545454547,0.006818161,0.009143907,0.7045454545454546,0.0,82.1590909090909,0.29545454545454547,79.90974321993654,-65.3409090909091,0.006818161,41267.44499492645,0.12924272
