Tmc,entloss,surrgain,Ptt,AttC,EpisodesSoFar,TimestepsSoFar,TimeElapsed,meankl,AttNC,MtR,TtR,optimgain,MpbtA,MpbtN,entropy,Tbt,Tmt
46.84615384615385,0.0,0.0018993906,56.79971050637727,4.184615384615385,13420,1869910,66248.11683535576,0.006438517,5.815384615384615,-10.10353050729677,-148.76923076923077,0.0018993906,74.97913550862204,25.02086449137797,0.2561531,238639.26153846155,58.261538461538464
49.507936507936506,0.0,0.0021145614,54.354526637595825,3.3968253968253967,13483,1879868,66604.11329102516,0.0059284978,6.603174603174603,-9.24412371012378,-127.93650793650794,0.0021145614,77.08041061243244,22.91958938756753,0.2606364,228335.74603174604,55.74603174603175
49.09375,0.0,0.0026870356,54.7151218220705,2.578125,13547,1889910,66954.66087818146,0.0063403314,7.421875,-8.414356733287914,-112.34375,0.0026870356,79.81892451689153,20.181075483108444,0.26448423,229760.0,56.09375
49.41538461538462,0.0,0.0045058327,54.417035885852364,5.461538461538462,13612,1900000,67287.30471682549,0.0071247765,4.538461538461538,-9.487037316456398,-133.23076923076923,0.0045058327,76.26194169048757,23.7380583095124,0.27482226,228493.78461538462,55.784615384615385
49.698412698412696,0.0,0.0020572382,54.181970352983896,4.158730158730159,13675,1909830,67620.41861534119,0.004592999,5.841269841269841,-8.176680149800736,-107.3015873015873,0.0020572382,80.64295879714754,19.357041202852443,0.2809621,227620.57142857142,55.57142857142857
49.285714285714285,0.0,0.0020100893,54.542489928636414,4.365079365079365,13738,1919903,67921.02812457085,0.004583954,5.634920634920635,-8.45730188158615,-118.0952380952381,0.0020100893,78.91796641832984,21.082033581670146,0.29181704,229050.92063492062,55.92063492063492
48.38095238095238,0.0,0.0015891606,55.36878442988441,4.158730158730159,13801,1929887,68211.71959066391,0.003751956,5.841269841269841,-7.6667688106181355,-106.19047619047619,0.0015891606,81.37071825542937,18.629281744570626,0.29239747,232496.7619047619,56.76190476190476
48.903225806451616,0.0,0.001945665,54.86912793951691,4.709677419354839,13863,1939987,68533.2183611393,0.004108864,5.290322580645161,-8.443085332466254,-120.80645161290323,0.001945665,78.58974460006387,21.410255399936144,0.2882389,230300.90322580645,56.225806451612904
47.91935483870968,0.0,0.001958914,55.81538224838738,5.774193548387097,13925,1949995,68855.20226573944,0.00591246,4.225806451612903,-9.10479597449224,-137.25806451612902,0.001958914,76.335058776722,23.664941223278024,0.2719542,234529.03225806452,57.25806451612903
48.93333333333333,0.0,0.0019381305,54.8634612532886,3.55,13985,1959862,69206.29200458527,0.0038655566,6.45,-8.86708507929948,-124.0,0.0019381305,77.95647174761386,22.043528252386142,0.2747032,230400.0,56.25
48.317460317460316,0.0,0.0018063971,55.41333720610621,3.015873015873016,14048,1969975,69542.98928332329,0.0047980184,6.984126984126984,-8.005570884977102,-112.38095238095238,0.0018063971,80.25876128704593,19.741238712954072,0.2742316,232626.79365079364,56.79365079365079
45.847457627118644,0.0,0.0031144226,57.767760125364816,3.711864406779661,14107,1979911,69901.73410844803,0.007540119,6.288135593220339,-9.640600458377627,-142.3728813559322,0.0031144226,76.36128043353108,23.638719566468914,0.29617053,242983.05084745763,59.32203389830509
47.39344262295082,0.0,0.0020358483,56.26650013229481,2.7049180327868854,14168,1989970,70250.56700539589,0.004354327,7.295081967213115,-9.410835032828539,-129.50819672131146,0.0020358483,77.61443522219595,22.385564777804046,0.25336486,236225.04918032786,57.67213114754098
48.54838709677419,0.0,0.0029435193,55.204686894515085,1.903225806451613,14230,2000000,70595.06271195412,0.007098811,8.096774193548388,-8.947132792365817,-121.93548387096774,0.0029435193,78.49643246238394,21.503567537616068,0.28488013,231754.32258064515,56.58064516129032
46.4,0.0,0.0026360464,57.19400222087494,5.25,14290,2009882,70932.0875043869,0.0063845455,4.75,-9.416110460497407,-140.0,0.0026360464,76.43553218434361,23.56446781565635,0.2985647,240230.4,58.65
49.888888888888886,0.0,0.0017862836,53.98020249300385,2.619047619047619,14353,2019985,71267.33749485016,0.004135601,7.380952380952381,-8.179680862404137,-109.2063492063492,0.0017862836,80.15083956968549,19.84916043031451,0.26401004,226645.33333333334,55.333333333333336
49.377049180327866,0.0,0.001578718,54.4823331172323,4.016393442622951,14414,2029893,71603.78424215317,0.0029917846,5.983606557377049,-8.679697386374347,-122.1311475409836,0.001578718,78.3362897294603,21.663710270539696,0.25577992,228905.96721311475,55.885245901639344
48.75409836065574,0.0,0.0022271299,55.04008543938511,3.0327868852459017,14475,2039877,71927.79769015312,0.0048637497,6.967213114754099,-9.145227247058266,-124.42622950819673,0.0022271299,77.8521437974776,22.1478562025224,0.25582242,231188.9836065574,56.442622950819676
47.62068965517241,0.0,0.0021159614,56.066890424173714,3.5517241379310347,14533,2049849,72270.89079546928,0.006492623,6.448275862068965,-8.630823541077435,-129.82758620689654,0.0021159614,77.84490198148504,22.155098018514966,0.27507946,235449.37931034484,57.48275862068966
48.49152542372882,0.0,0.0019366214,55.29167807893308,2.406779661016949,14592,2059931,72603.23527431488,0.004916708,7.593220338983051,-9.035191306567565,-126.27118644067797,0.0019366214,77.81566764506607,22.184332354933915,0.25236934,232291.7966101695,56.71186440677966
49.38333333333333,0.0,0.00213204,54.462432185441905,4.733333333333333,14652,2069859,72925.01800346375,0.0037905953,5.266666666666667,-8.499504503914771,-124.83333333333333,0.00213204,77.80230345799848,22.19769654200151,0.2742923,228761.6,55.85
49.5,0.0,0.0025214714,54.352467996237145,3.8,14712,2079951,73263.21209812164,0.0059215343,6.2,-8.851637635562783,-126.83333333333333,0.0025214714,77.21572802034831,22.78427197965168,0.27048358,228283.73333333334,55.733333333333334
48.11666666666667,0.0,0.001966659,55.627497323164356,3.5,14772,2089883,73585.80402827263,0.0029876502,6.5,-9.280723710972564,-132.83333333333334,0.001966659,76.8416348428764,23.158365157123615,0.28973395,233676.8,57.05
47.459016393442624,0.0,0.0024828364,56.22019130322822,3.8688524590163933,14833,2099955,73911.55510115623,0.0061652563,6.131147540983607,-8.577465240709488,-127.04918032786885,0.0024828364,78.08231255875125,21.91768744124873,0.2794625,236090.75409836066,57.63934426229508
48.295081967213115,0.0,0.0034483161,55.45955614841772,2.901639344262295,14894,2109888,74234.06899762154,0.006824562,7.098360655737705,-8.324848910583082,-112.95081967213115,0.0034483161,80.12300910720438,19.876990892795614,0.28929704,232934.81967213115,56.868852459016395
46.049180327868854,0.0,0.002298851,57.52571278877011,4.409836065573771,14955,2119995,74562.20192408562,0.007797462,5.590163934426229,-10.030174491892293,-149.34426229508196,0.002298851,75.19631599192628,24.8036840080737,0.30797577,241664.0,59.0
49.403225806451616,0.0,0.0016999982,54.425338181202456,3.1451612903225805,15017,2129967,74891.5446126461,0.0060453718,6.854838709677419,-7.746888799061412,-105.64516129032258,0.0016999982,81.04779889458511,18.95220110541489,0.24686563,228517.16129032258,55.79032258064516
48.0,0.0,0.0023841218,55.68571799661832,1.360655737704918,15078,2139918,75224.39428377151,0.004822098,8.639344262295081,-8.627206216078106,-117.70491803278688,0.0023841218,79.33246685957819,20.667533140421835,0.2624759,233673.44262295082,57.049180327868854
46.483333333333334,0.0,0.0019908124,57.14126999604581,3.6,15138,2149821,75548.23988413811,0.0043437425,6.4,-8.840124631588223,-129.0,0.0019908124,78.07288486572301,21.927115134277003,0.29709992,240093.86666666667,58.61666666666667
