EpisodesSoFar,meankl,MtR,Ptt,Tbt,MpbtA,surrgain,MpbtN,entropy,TtR,entloss,optimgain,AttNC,TimeElapsed,AttC,Tmc,Tmt,TimestepsSoFar
2596,0.003079416,-12.3490489221071,59.36327554968525,249530.92063492062,71.29145550839976,0.0013616513,28.708544491600225,0.38801223,-175.3968253968254,0.0,0.0013616513,2.4126984126984126,7752.810564756393,7.587301587301587,44.07936507936508,60.92063492063492,159919
2663,0.0060790614,-15.122124085004698,60.68396833901669,255174.68656716417,62.79402484288501,0.0019339266,37.20597515711503,0.363527,-234.47761194029852,0.0,0.0019339266,1.0746268656716418,8053.970032930374,8.925373134328359,42.656716417910445,62.298507462686565,169956
2723,0.0048865583,-11.6650346049181,58.904454382967415,247534.93333333332,72.78638902165038,0.0016332528,27.213610978349625,0.3409777,-163.83333333333334,0.0,0.0016332528,4.816666666666666,8354.266997814178,5.183333333333334,44.56666666666667,60.43333333333333,179865
2784,0.0052244053,-12.30518603510383,58.30866664240105,244954.22950819673,72.18709660569436,0.0020177164,27.812903394305625,0.3839569,-166.72131147540983,0.0,0.0020177164,3.3278688524590163,8662.81878566742,6.672131147540983,45.19672131147541,59.80327868852459,189906
2850,0.0036586921,-12.840771721177862,59.99865174198371,252214.30303030304,68.69352378992225,0.0013117947,31.30647621007774,0.35726726,-193.78787878787878,0.0,0.0013117947,1.106060606060606,8979.634773254395,8.893939393939394,43.39393939393939,61.57575757575758,199881
2913,0.0020936248,-11.559044150242842,58.3810431942827,245369.90476190476,72.85195680109305,0.0014375278,27.148043198906972,0.35871,-163.17460317460316,0.0,0.0014375278,3.984126984126984,9315.81665968895,6.015873015873016,45.142857142857146,59.904761904761905,209971
2975,0.0050524827,-11.314641566652957,57.673628742490635,242324.64516129033,72.83132422149828,0.0016740806,27.16867577850171,0.34830126,-160.6451612903226,0.0,0.0016740806,2.7580645161290325,9653.773895978928,7.241935483870968,45.903225806451616,59.16129032258065,219931
3035,0.0044205254,-10.883450161728392,58.66092144748324,246510.93333333332,73.71329805182305,0.0016138882,26.286701948176994,0.38692594,-158.33333333333334,0.0,0.0016138882,3.85,9975.798613548279,6.15,44.833333333333336,60.18333333333333,229939
3101,0.005219646,-13.881183664197358,60.173299765398525,253145.21212121213,65.26458137713666,0.0019369214,34.73541862286335,0.3701697,-218.03030303030303,0.0,0.0019369214,1.4848484848484849,10310.722935199738,8.515151515151516,43.22727272727273,61.803030303030305,239876
3162,0.0033785792,-12.175573932677928,58.65533188134092,246565.77049180327,70.64644628735005,0.0019253421,29.35355371264996,0.35489118,-177.04918032786884,0.0,0.0019253421,4.065573770491803,10642.472034692764,5.934426229508197,44.85245901639344,60.19672131147541,249993
3222,0.0033724543,-11.318024113446095,58.503566413657445,245828.26666666666,73.12905805205993,0.0014656455,26.870941947940043,0.3441567,-160.83333333333334,0.0,0.0014656455,4.833333333333333,10953.354967355728,5.166666666666667,45.0,60.016666666666666,259923
3283,0.0033259213,-11.703585648115482,59.17479051024975,248781.6393442623,72.4404162352379,0.0013962932,27.559583764762092,0.36836544,-168.19672131147541,0.0,0.0013962932,4.672131147540983,11268.65070271492,5.327868852459017,44.295081967213115,60.73770491803279,269977
3344,0.004177417,-11.4355617837414,58.950898560775784,247774.4262295082,72.9516902563519,0.0014478705,27.048309743648087,0.37796375,-163.7704918032787,0.0,0.0014478705,2.901639344262295,11560.072585344315,7.098360655737705,44.52459016393443,60.49180327868852,279941
3405,0.0029280637,-11.508636491492549,59.31435222583574,249318.81967213115,72.57599351107302,0.0012185733,27.424006488926974,0.36130634,-166.72131147540983,0.0,0.0012185733,3.737704918032787,11852.542105913162,6.262295081967213,44.131147540983605,60.868852459016395,289924
3466,0.0049462803,-11.488885999934196,58.52772770608882,245961.44262295082,72.925501880278,0.0015219144,27.074498119722,0.39553258,-162.62295081967213,0.0,0.0015219144,3.918032786885246,12144.682520866394,6.081967213114754,44.98360655737705,60.049180327868854,299903
3533,0.004577863,-13.510126726058802,60.24120080644188,253340.6567164179,66.16419170262164,0.00175164,33.835808297378364,0.3711323,-211.6417910447761,0.0,0.00175164,1.1044776119402986,12443.614275693893,8.895522388059701,43.149253731343286,61.850746268656714,309901
3595,0.0044908198,-11.38884618581451,58.433327060373934,245561.8064516129,72.93823314516827,0.0008446512,27.061766854831742,0.33499134,-162.74193548387098,0.0,0.0008446512,3.6774193548387095,12759.326401948929,6.32258064516129,45.08064516129032,59.95161290322581,319845
3656,0.0065669385,-11.675911142722047,59.36616916707986,249654.55737704918,72.75468858902211,0.0015347925,27.245311410977912,0.37495095,-166.72131147540983,0.0,0.0015347925,5.0,13091.97382736206,5.0,44.09836065573771,60.950819672131146,329879
3720,0.003793507,-11.384387643127559,58.162815885989154,244416.0,72.59841055662126,0.0019083087,27.40158944337876,0.35485983,-163.75,0.0,0.0019083087,2.21875,13431.940046072006,7.78125,45.375,59.671875,339974
3781,0.0045339903,-11.613073646656778,58.40192915408761,245491.40983606558,71.82310379442143,0.0015138421,28.176896205578565,0.3679765,-169.8360655737705,0.0,0.0015138421,3.3934426229508197,13766.88125872612,6.60655737704918,45.131147540983605,59.9344262295082,349934
3843,0.0030309882,-10.98842931960741,58.98740970505581,247940.12903225806,74.0953004229326,0.0018066943,25.904699577067426,0.37079698,-156.7741935483871,0.0,0.0018066943,4.661290322580645,14101.933285951614,5.338709677419355,44.483870967741936,60.53225806451613,359961
3903,0.0047382875,-11.182594091609953,57.802787243463705,242892.8,72.427363228629,0.0017687,27.572636771370984,0.38207102,-163.83333333333334,0.0,0.0017687,3.683333333333333,14432.813679218292,6.316666666666666,45.766666666666666,59.3,369999
3965,0.00440681,-11.48034329379128,58.57252015064358,246090.32258064515,72.08209671905607,0.0014549393,27.91790328094394,0.35936046,-168.70967741935485,0.0,0.0014549393,2.903225806451613,14772.565485477448,7.096774193548387,44.91935483870968,60.08064516129032,379996
4027,0.0035011738,-11.735953861159912,57.34952740596133,240871.2258064516,72.09422038628134,0.0015560698,27.90577961371866,0.3620433,-164.03225806451613,0.0,0.0015560698,2.596774193548387,15109.754986524582,7.403225806451613,46.24193548387097,58.806451612903224,389957
